Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Soy Free,"Quench your thirst with Pure Kick Strawberry Watermelon Flavored Hydrate Zero Sugar Drink Mix Stick Packs. With only 5 calories per serving and zero sugar, this drink mix is a smart choice for those seeking a refreshing beverage without the guilt. The pack contains natural flavors, vitamins C and E, and minerals like magnesium and zinc that help keep you hydrated throughout the day. Each pack makes six servings of deliciously fruity, gluten-free, and kosher drink mix that's perfect for on-the-go hydration. Get your hands on Pure Kick Strawberry Watermelon Flavored Hydrate Zero Sugar Drink Mix Stick Packs through Instacart for same-day delivery or pickup."
"Liquid I.V. Electrolyte Drink Mix, Popsicle",,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b347cb8c-060b-4b80-bfad-5e06dc93f449.jpg 4x,"Gluten Free,Soy Free",,,"Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Vitamin C (ascorbic Acid), Natural Flavors, Stevia Leaf Extract (rebaudioside A), Vitamin B3 (niacinamide), Vitamin B5 (calcium D-pantothenate), Vitamin B6 (pyridoxine Hydrochloride), Vitamin B12 (cyanocobalamin)","Suggested Use: Add 1 stick to 16oz of water and mix thoroughly before drinking.,Store in a cool, dry place.",,,
"Liquid I.V. Electrolyte Drink Mix for Kids, Tropical Punch",,$15.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93bda4e1-c98e-4b36-b9eb-7226e5f8331d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e6fea95-cce1-47b5-baa8-46708773f6e9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_af9b000e-0b41-4e6a-83e8-f0d39e671c7d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0eed1123-9ae1-4344-b995-ff91220c83dc.jpg 4x",Soy Free,,,"Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Stevia Leaf Extract (Rebaudioside A), Vitamin C (Ascorbic Acid), Natural Flavors, Vitamin B3 (Niacinamide), Vitamin B5 (Calcium D-Pantothenate), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12 (Cyanocobalamin).","Store in a cool, dry place.","we recommend up to 2 sticks per day for daily hydration. for ages 1-3 or children with specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 2 sticks per day.",,
DripDrop Watermelon Electrolyte Powder Packets,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d362a2f-6c2e-46cd-92c4-3ccbe5772e04.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f6b6b6c-f49d-4327-bde1-aa3605beefb2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40042402-644a-4472-8ec0-c286c3b261ab.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d6902a3-6af0-4c0a-8744-f0c1a5b5b381.jpg 4x","Gluten Free,Soy Free",,,"Sugar, Fructose, Sodium Citrate, Citric Acid, Dextrose, Potassium Citrate, Magnesium Citrate, Silicon Dioxide, Natural Flavor, Salt, Ascorbic Acid (vitamin C), Fruit & Vegetable Juice As Color, Sucralose, Zinc Aspartate","Suggested Use: Mix one stick with 8 oz (237 ml) water.,Store in a cool dry place.",,,
Crystal Light Pink Lemonade Naturally Flavored Powdered Drink Mix,$4.99,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0231baa5-515e-4421-898d-64ae88360d65.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_258a79ba-956a-46ca-8218-cacb43ed7b6a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16868563-63d7-4408-bd0e-13203c37b279.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4563615-2006-438d-b8ba-88a552457de1.jpg 4x",Gluten Free,,"Crystal Light Naturally Flavored Pink Lemonade Powdered Drink Mix is a refreshing beverage you can enjoy at any time of day. With zero grams of sugar and only 5 calories per serving, Crystal Light water enhancer drink packets are a sweet alternative to juice and soda and have 90 percent fewer calories than leading beverages (this product 5 calories, leading beverages 70 calories), so you don't have to choose between taste and calories. Our flavored water powder is made with natural flavors for a refreshingly smooth taste you can appreciate. Each pitcher packet of powdered lemonade mix in our 6 count canister is perfectly portioned to make 2 quarts or 1 pitcher of Crystal Light sugar free lemonade, so there's plenty to share with family and friends. Simply mix one lemonade packet with 8 cups or 2 quarts of water, stir and enjoy! All the flavor and only 5 calories, just the way you like it. If you love our pitcher packets, try our drink mix singles.,• One 6 ct canister of Crystal Light Naturally Flavored Pink Lemonade Powdered Drink Mix,• Crystal Light Naturally Flavored Pink Lemonade Powdered Drink Mix is a revitalizing water enhancer that helps keep you hydrated and happy,• Each pitcher packet of Crystal Light lemonade drink powder makes 5 servings or one 2 quart pitcher,• Our lemonade mix is sugar free water flavor with only 5 calories per serving, perfect for guilt-free hydration,• Made with natural flavors for a refreshing taste,• 90 percent fewer calories than leading beverages; this product 5 calories, leading beverages 70 calories,• Comes in a variety of sizes for all your beverage needs","Citric Acid, Potassium Citrate, Maltodextrin, Aspartame†, Magnesium Oxide, Contains Less Than 2% Of Natural Flavor, Acesulfame Potassium, Soy Lecithin, Artificial Color, Red 40, †phenylketonurics: Contains Phenylalanine","1. Empty Contents Of 1 Packet Into Large Plastic Or Glass Pitcher.,2. Add 2 Quarts (8 Cups) Cold Water. Serve Over Ice Or Refrigerate.,Store Prepared Beverage, Covered, In Refrigerator.",Contains: soy.,,
"Liquid I.V. Electrolyte Drink, Raspberry Melon",,$14.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d0b528b6-90c7-4172-b057-8dd7831b8c06.jpg 4x,"Gluten Free,Soy Free",,,"Allulose*, L-glutamine, L-alanine, Citric Acid, Potassium Citrate, Salt, Sodium Citrate, Natural Flavors, Silicon Dioxide, Stevia Leaf Extract (rebaudioside A), Vitamin C (ascorbic Acid), Vitamin B3 (niacinamide), Vitamin B5 (calcium D-pantothenate), Vitamin B6 (pyridoxine Hydrochloride), Vitamin B12 (cyanocobalamin).","Suggested Use: Add 1 stick to 16 oz of water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool, dry place.",,,
Kool-Aid Unsweetened Blue Raspberry Lemonade Powdered Soft Drink Mix,,$0.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_610a3934-b354-4914-976d-78a1cd671c54.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ce1b276-ed3c-437e-9282-66ca0c0d7585.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f930370-ad49-4cf8-9059-3980bec62f3e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9fa01c52-b8dd-4026-8025-c73a95abd23d.jpg 4x",Gluten Free,,"Quench your thirst with the refreshing taste of Kool Aid Unsweetened Blue Raspberry Lemonade Artificially Flavored Powdered Drink Mix. Our unsweetened drink powder makes it easy to prepare a tasty pitcher of lemonade. Our artificially flavored water enhancer is caffeine free, a good source of vitamin C making it a great choice for the whole family. Each packet of Kool Aid mix ensures that you'll always have a refreshing beverage ready to go. To prepare, empty the contents of our 0.22 ounce blue raspberry lemonade water flavor packet into a pitcher. Add 1 cup of sugar or your sweetener of choice, add ice and water, and stir for 2 quarts of tasty blue raspberry lemonade Kool Aid. If you like our pitcher packs, try our Kool Aid drink mix singles, available in a wide variety of flavors.,• One 0.22 oz packet of Kool Aid Unsweetened Blue Raspberry Lemonade Artificially Flavored Powdered Drink Mix,• Every packet of artificially flavored Kool Aid Blue Raspberry Lemonade Drink Mix makes a 2 quart pitcher,• Use our powdered drink mix packets to prepare a quick and tasty beverage simply by adding our lemonade mix to water and sugar,• Our drink packets of flavored water powder are bursting with refreshing blue raspberry and lemonade flavor,• Unsweetened blue raspberry lemonade drink mix powder is a water enhancer that's a good source of vitamin C and contains no caffeine,• Ensure you always have our easy powdered blue raspberry lemonade mix on hand for a refreshing beverage the whole family loves,• Kool Aid packet is sealed until you're ready to enjoy","Citric Acid, Calcium Phosphate, Maltodextrin, Sodium Citrate, Contains Less Than 2% Of Modified Cornstarch, Ascorbic Acid (vitamin C), Natural And Artificial Flavor, Artificial Color, Blue 1","Empty Contents Into Large Plastic Or Glass Pitcher. Add 1 Cup Sugar Or 1 Cup Splenda® No Calorie Sweetener, Granulated (More Or Less To Taste). Add Cold Water And Ice To Make 2 Quarts; Stir To Dissolve. Do Not Store In Metal Container. When Prepared With Sugar, One Serving Contains 100 Calories, 25G Total Carb And 25G Sugars. When Prepared With Splenda® No Calories Sweetener, One Serving Contains 15 Calories, 3G Total Carb And 3G Sugars.",,,
Crystal Light Peach Mango Naturally Flavored Powdered Drink Mix with Caffeine,$5.19,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2df98e96-8fb2-49ab-a5e1-810612c3385c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e3768551-3dba-4afa-be25-c9f81c8afaa5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e20077ef-65bc-4896-8010-c2c00dd1d7ca.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0f497364-d261-44a0-a901-70aeec52aa28.jpg 4x",Gluten Free,,"Crystal Light Naturally Flavored Peach Mango On-the-Go Powdered Drink Mix with Caffeine is a light and refreshing beverage you can enjoy anywhere. With zero sugar and 5 calories per packet, Crystal Light flavored water powder is a sweet alternative to juice and soda and has 90 percent fewer calories than leading beverages (this product 5 calories, leading beverages 70 calories), so you don't have to compromise. Our sugar free fruit flavored drink packets contain 60 milligrams of caffeine so you can be at your best all day long. Each 0.07 ounce single serve powdered water flavor packet in our 10 count box fits easily in your bag, desk or glove box, so you can enjoy a refreshing glass of Crystal Light no matter where you are. Simply empty one packet of our water enhancer into a water bottle or a glass with 2 1/2 cups of water, shake or stir, and enjoy! All the flavor and only 5 calories per packet, just the way you like it.,• Ten 0.07 oz packets of Crystal Light Naturally Flavored Peach Mango On-The-Go Powdered Drink Mix with Caffeine,• Crystal Light Naturally Flavored Peach Mango On-the-Go Powdered Drink Mix with Caffeine offers a convenient and refreshing drink,• Our powdered drink mix singles are easy to pour and dissolve quickly in water,• Sweet peach mango drink powder with 60 mg of caffeine per packet,• Made with zero sugar and 5 calories per packet for guilt-free refreshment,• Empty the fruit drink single into your water bottle and shake for hydration anywhere,• 90 percent fewer calories than leading beverages; this product 5 calories, leading beverages 130 calories,• SNAP & EBT eligible food item","Citric Acid, Aspartame†, Maltodextrin, Caffeine, Magnesium Oxide, Contains Less Than 2% Of Natural Flavor, Soy Lecithin, Yellow 5, Red 40, † Phenylketonurics: Contains Phenylalanine","Makes 2 Servings.,1. Empty 1 Packet Into 16.9 Fl Oz Bottle Of Water, Replace Cap. (Or) Empty 1 Packet Into Tall Glass And Add 2 Cups Of Water.,2. Shake Or Stir Until Dissolved, And Enjoy!",Contains phenylalanine contains: soy.,,
"Liquid I.V. Electrolyte Drink Mix, Pear",,$13.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c416d84-d344-4e61-9065-d79ca7cb58a7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4b0f54e-1ada-4c55-8a77-1f1ae68a6289.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4481d997-7e2a-4d57-87c8-ed4310a0616f.png 4x",,,,"Pure Cane Sugar, Dextrose, Citric Acid, Salt, Potassium Citrate, Sodium Citrate, Dipotassium Phosphate, Silicon Dioxide, Vitamin C (ascorbic Acid), Stevia Leaf Extract (rebaudioside A), Natural Flavors, Vitamin B3 (niacinamide), Vitamin B5 (d-calcium Pantothenate), Vitamin B6 (pyridoxine Hydrochloride), Vitamin B12 (cyanocobalamin).","Suggested Use: Add 1 stick to 16 oz water and mix thoroughly before drinking. We recommend 1 stick per day for daily hydration. For ages 1-3, pregnant or breastfeeding population, or if you have specific dietary or medical concerns, please seek medical consultation if you wish to consume more than 1 stick per day.,Store in a cool, dry place.",,,
Kool-Aid Unsweetened Black Cherry Artificially Flavored Powdered Soft Drink Mix,,$0.55," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b3b30ca-232b-4bf4-9cf7-e09815509ee7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1e2c15e7-a951-4cf5-bb36-70f964827f34.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b703fe1-a987-417a-9e4c-f358ca21ebf6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a3ff803-1ff7-4484-890e-37c11fe80ed1.jpg 4x",Gluten Free,,"Kool-Aid Artificially Flavored Black Cherry Unsweetened Powdered Drink Mix is a delicious way to stay hydrated. This unsweetened powdered drink mix makes it easy to prepare a tasty black cherry drink. Just mix it with water and sugar or your sweetener of choice. Quench your thirst with the refreshingly sweet taste of black cherry. With no caffeine, this cherry artificially flavored powdered drink mix is always a great choice for the whole family. It's also a good source of vitamin C. These handy packets of unsweetened black cherry drink ensure that you always have a refreshing beverage ready-to-go. To prepare, empty contents of the 0.13 ounce drink mix packet into a plastic or glass pitcher. Add 1 cup of sugar or sweetener. Then, just add ice and water and stir for a 2 quart supply of tasty black cherry Kool-Aid.,• One 0.13 oz packet of Kool-Aid Artificially Flavored Black Cherry Unsweetened Powdered Drink Mix,• One packet of Kool-Aid Artificially Flavored Black Cherry Unsweetened Powdered Drink Mix makes a 2 quart pitcher,• Powdered drink mix packet makes it easy to prepare a tasty drink — just mix with water and sugar,• Bursting with refreshingly sweet black cherry flavor,• Unsweetened black cherry drink mix powder is a good source of vitamin C and contains no caffeine,• Combine powdered black cherry drink mix with sugar in a bottle of water to take on-the-go,• Packet is sealed until you're ready to enjoy","Citric Acid, Salt, Maltodextrin, Calcium Phosphate, Red 40, Contains Less Than 2% Of Ascorbic Acid (vitamin C), Artificial Flavor, Blue 1","Empty Contents Into Large Plastic Or Glass Pitcher. Add 1 Cup Sugar Or 1 Cup Splenda® Sweetener, Granulated (More Or Less To Taste). Add Cold Water And Ice To Make 2 Quarts; Stir To Dissolve. Do Not Store In Metal Container.",,,
"Gatorlyte Electrolyte Beverage Powder, Orange, Rapid Rehydration, 6 Pack",,$8.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45005b91-5ad9-4645-a7db-aa53cdc3f4dd.jpeg 4x,,,"5 Specialized blend of electrolytes. Helps rapidly replace fluids. Hydration with a specialized blend of 5 electrolytes to help replace what you sweat out.,• Kosher,• No Artificial Sweeteners,• No Artificial Flavors,• Low Calorie","Sugar, Citric Acid, Salt, Monopotassium Phosphate, Calcium Lactate, Modified Food Starch, Magnesium Oxide, Maltodextrin, Natural Flavor, Purified Stevia Leaf Extract, Silicon Dioxide, Yellow 6","Directions: Add contents of one packet to 16.9 fl oz water. Replace cap, shake and enjoy.,Tear here.",,,
Crystal Light Lemon Iced Tea Naturally Flavored Powdered Drink Mix,$4.99,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4874c291-9cc1-4c8f-a032-bc1885229fd8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_17b8c926-0808-436c-bb60-ab567a99afe7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8948a876-025f-4f8b-8bcc-3cb3af270b21.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a83e4a7f-dee9-4095-a021-0f645335b3c9.jpg 4x",Gluten Free,,"Crystal Light Naturally Flavored Lemon Iced Tea Powdered Drink Mix is a refreshing beverage you can enjoy any time of day. With zero sugar and only 5 calories per serving, Crystal Light flavored water powder is a sweet alternative to juice and soda and has 90 percent fewer calories than leading beverages (this product 5 calories, leading beverages 70 calories), so you don't have to choose between flavor and calories. Our water enhancer is made with real black tea for an authentic, smooth taste. Each pitcher packet of powdered iced tea mix in our 6 count canister is perfectly portioned to make 2 quarts or 1 pitcher of Crystal Light, so there's plenty to share with family and friends. Simply mix one packet of drink powder with 8 cups or 2 quarts of water, stir and enjoy! All the water flavor you expect with only 5 calories, just the way you like it. If you love our pitcher packs, try Crystal Light drink mix singles!,• One 6 ct canister of Crystal Light Naturally Flavored Lemon Iced Tea Powdered Drink Mix,• Crystal Light Naturally Flavored Lemon Iced Tea Powdered Drink Mix is a revitalizing water enhancer that helps keep you hydrated and happy,• Each pitcher packet of iced tea mix makes 5 servings or one 2 quart pitcher of refreshing iced tea with a bright twist of lemon flavor,• Our drink packets are made with zero sugar and 5 calories per serving for a guilt-free refreshment,• Made with real black tea,• 90 percent fewer calories than leading beverages; this product 5 calories, leading beverages 70 calories,• Comes in a variety of sizes for all your beverage needs","Citric Acid, Maltodextrin, Corn Syrup Solids†, Instant Tea, Aspartame††, Contains Less Than 2% Of Magnesium Oxide, Acesulfame Potassium, Red 40, Yellow 5, Natural Flavor, Blue 1.","1 Empty Contents Of 1 Packet Into Large Plastic Or Glass Pitcher.,2 Add 2 Quarts (8 Cups) Cold Water. Serve Over Ice Or Refrigerate.",Phenylketonurics: contains phenylalanine,,
Crystal Light Peach Mango Green Tea Naturally Flavored Powdered Drink Mix,$2.99,$3.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd888fd5-023e-48d1-aa1f-3d84d36dc284.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_13491acc-5089-419f-8541-d6b2fbce56bc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33def195-09f9-464d-8959-1a1015abbe17.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9d7e299d-2a43-42cd-9f2c-4a3fbff27857.jpg 4x",Gluten Free,,"Crystal Light Naturally Flavored Peach Mango Green Tea On-the-Go Powdered Drink Mix is a light and refreshing beverage you can enjoy any time of day. With zero sugar and 5 calories per packet, Crystal Light flavored water powder is a sweet alternative to juice and soda and has 90 percent fewer calories than leading beverages (this product 5 calories, leading beverages 70 calories), so you don't have to compromise. Crystal Light drink mix is made with real green tea for a smooth, authentic taste. Each 0.08 ounce single serve packet in our 10 count box of powdered iced tea drink mix singles fits easily in your bag, desk or glove box, so you can enjoy a refreshing glass of Crystal Light anywhere. Simply empty one packet of drink powder into a bottle of water or a glass with 2 1/2 cups of water, shake or stir, and enjoy! All the water flavor and only 5 calories per packet, just the way you like it.,• Ten 0.08 oz packets of Crystal Light Naturally Flavored Peach Mango Green Tea On-The-Go Powdered Drink Mix,• Crystal Light Naturally Flavored Peach Mango Green Tea On-the-Go Powdered Drink Mix is a convenient option for easy hydration,• Our iced tea mix drink packets are small, fast and easy to pour for refreshment on the go,• Refresh yourself with lively green tea water enhancer with sweet peach and mango flavor,• Made with zero sugar and 5 calories per packet for guilt-free refreshment,• Empty the iced tea packet into your water bottle and shake for hydration anywhere,• 90 percent fewer calories than leading beverages; this product 5 calories, leading beverages 130 calories,• SNAP & EBT eligible food item","Maltodextrin, Citric Acid, Instant Green Tea, Malic Acid, Aspartame†, Acesulfame Potassium, Contains Less Than 2% Of Magnesium Oxide, Ascorbic Acid (vitamin C), Natural Flavor, Red 40, Yellow 5, Blue 1, †phenylketonurics: Contains Phenylalanine","Makes 2 Servings.,1. Empty 1 Packet Into 16.9 Fl Oz Bottle Of Water, Replace Cap.,Or.,Empty 1 Packet Into Tall Glass And Add 2 Cups Of Water.,2. Shake Or Stir Until Dissolved, And Enjoy!,Store Prepared Beverage, Covered, In Refrigerator.,Do Not Store In Metal Container.",Contains phenylalanine,,
Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix,$0.59,$1.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e0b0e06-9b18-4c57-acb5-26380ed3b2b4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a6e4f8ea-8ccb-4a50-b6f8-3e33ce7203cb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_399d0ba7-364e-45d4-8450-c109938b9cda.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67e75379-8167-4e42-b07c-d12377d855c9.jpg 4x",Gluten Free,,"Kool Aid Artificially Flavored Cherry Unsweetened Powdered Drink Mix is a delicious way to stay hydrated. Our drink mix makes it simple to prepare a tasty cherry water flavor beverage with ease. Just mix with water and sugar or your sweetener of choice and quench your thirst with the refreshing taste of cherry Kool Aid. Our artificially flavored water enhancer is a great source of vitamin C and caffeine free, making it the perfect choice for the whole family. Our convenient 0.13 ounce packets of unsweetened cherry flavored water powder ensures that you always have a refreshing beverage ready to go. To prepare, empty contents of the drink mix packet into a pitcher, add 1 cup of sugar or sweetener, ice and water and stir. Each packet is perfectly portioned to make a 2 quart supply of tasty cherry Kool Aid. If you love our Kool Aid packets, try our drink mix singles for even more refreshment!,• One 0.13 oz packet of Kool-Aid Artificially Flavored Cherry Unsweetened Powdered Drink Mix,• One packet of Kool Aid Artificially Flavored Cherry Unsweetened Powdered Drink Mix makes a 2 quart pitcher,• Our drink packets make it easy to prepare a tasty drink; just mix with water and sugar, stir and enjoy,• Kool Aid mix drink powder delivers a burst of refreshingly sweet cherry flavor,• Unsweetened cherry drink mix powder is a good source of vitamin C and contains no caffeine,• Combine powdered cherry drink mix with sugar in a bottle of water to take on-the-go,• Packet is sealed until you're ready to enjoy","Citric Acid, Calcium Phosphate, Red 40, Salt, Contains Less Than 2% Of Ascorbic Acid (vitamin C), Artificial Flavor, Artificial Color, Blue 1, Bht (preservative)","Empty Contents Into Large Plastic Or Glass Pitcher. Add 1 Cup Sugar Or 1 Cup Splenda® Sweetener, Granulated (More Or Less To Taste). Add Cold Water And Ice To Make 2 Quarts; Stir To Dissolve. Do Not Store In Metal Container.",,,
Crystal Light Raspberry Lemonade Artificially Flavored Powdered Drink Mix,$4.99,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da9a562e-de9d-40b6-b343-6b644a4a0bbe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_035a6f53-afdc-48f0-99c4-096ef8fa76df.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4ddab9d-a33c-4e27-8f85-21c61b4e5ba5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c7ece678-398e-4a72-832c-94354b49fc0d.jpg 4x",Gluten Free,,"Crystal Light Artificially Flavored Raspberry Lemonade Powdered Drink Mix is a refreshing beverage you can enjoy any time of day. With zero sugar and only 5 calories per serving, Crystal Light flavored water powder is a sweet alternative to juice and soda and has 90 percent fewer calories than leading beverages (this product 5 calories, leading beverages 70 calories), so you don't have to choose between taste and calories. Our classic lemonade drink packets with raspberry flavoring offer a refreshingly smooth, bright citrus taste with notes of lush berry. Each pitcher packet of powdered lemonade mix in our 6 count canister is perfectly portioned to make 2 quarts or 1 pitcher of Crystal Light lemonade, so there's plenty to share with family and friends. Simply mix one powdered drink lemonade packet with 8 cups or 2 quarts of water, stir and enjoy! All the flavor and only 5 calories, just the way you like it. If you love our pitcher packets, try our drink mix singles.,• One 6 ct canister of Crystal Light Artificially Flavored Raspberry Lemonade Powdered Drink Mix,• Crystal Light Artificially Flavored Raspberry Lemonade Powdered Drink Mix is a revitalizing water enhancer that helps keep you hydrated and happy,• Each pitcher packet makes 5 servings or one 2 quart pitcher of lemonade mix, bursting with bright citrus and berry flavor,• Our water enhancer drink powder contains zero sugar and 5 calories per serving for a guilt-free refreshment,• Classic lemonade flavor with raspberry for a refreshing taste,• 90 percent fewer calories than leading beverages; this product 5 calories, leading beverages 70 calories,• Comes in a variety of sizes for all your beverage needs,• SNAP & EBT eligible food item","Citric Acid, Potassium Citrate, Maltodextrin, Calcium Phosphate Aspartame†, Contains Less Than 2% Of Natural And Artificial Flavor, Acesulfame Potassium, Soy Lecithin, Artificial Color, Red 40, Blue 1, Tocopherol (preserves Freshness), †phenylketonurics: Contains Phenylalanine","1. Empty Contents Of 1 Packet Into Large Plastic Or Glass Pitcher.,2. Add 2 Quarts (8 Cups) Cold Water. Serve Over Ice Or Refrigerate.,Store Prepared Beverage. Covered, In Refrigerator.,Do Not Store In Metal Container.",Contains: soy,,
