Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free,Egg Free,Fish Free,Peanut Free,Shellfish Free,Treenut Free,Wheat Free,"Craving something sweet and high in protein? Look no further than Premier Protein High Protein 30 G Shakes in Cake Batter Delight! Made with milk protein concentrate and natural and artificial flavors, this delicious shake is perfect for on-the-go or after a workout. With 30 grams of protein, only 3 grams of fat, and 1 gram of sugar per 11 fl oz serving, it's a guilt-free treat that will keep you feeling satisfied. Plus, it's kosher certified! Instacart offers same-day delivery or pickup so you can enjoy this tasty shake whenever you want!",Soy Free
"Slate Mocha Latte, 20g Protein, Lactose Free, 0g Added Sugar",,$4.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9441118a-8aae-4c2d-88e6-6d179e79e1cd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ed5b8a5-ebd0-4e53-ae59-f54ff1817b79.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_81e87896-facf-46af-8446-0a7c1555e4fc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3e438b6-0f08-4ffe-bed2-558c9d84e20a.jpg 4x","Gluten Free,Soy Free,Treenut Free",,,"Brewed Coffee (water, Coffee), Ultrafiltered Skim Milk, Less Than 2% Of Natural Flavors, Cocoa (processed With Alkali), Cellulose Gel, Dipotassium Phosphate, Pectin, Monk Fruit*, Salt, Cellulose Gum, Natural Caffeine, Stevia Leaf (reb M), Lactase Enzyme, Vitamin A Palmitate, Vitamin D3, *adds An Insignificant Amount Of Sugar","Shake gently, crack slowly.,Enjoy chilled.,Refrigerate after opening.",Contains: milk,,,,,,,,,
Bolthouse Farms Protein Plus® Coffee,,$6.49,,,,"When it comes to morning, our farmers don’t mess around. We blend rich, flavorful Arabica coffee with low-fat milk to create a wake-up call that will keep you going strong. With 30 grams of protein and 5 B vitamins per bottle.","Reduced Fat Milk, Coffee (water, Coffee Extract), Cane Sugar, Whey Protein Concentrate, Soy Protein Concentrate, Contains 2% Or Less: Soy Protein Isolate, Natural Flavors, Dipotassium Phosphate, Acacia Gum, Carrageenan, Vitamin C (ascorbic Acid), Vitamin A (palmitate), Vitamin B1 (thiamin Hcl), Vitamin B2 (riboflavin), Vitamin B6 (pyridoxine Hcl), Vitamin B9 (folic Acid), Vitamin B12 (cyanocobalamin)","Shake well. Settling is natural.,Perishable. Keep refrigerated.",Contains milk and soy.,,,,,,,,,
Remedy Organics Organic Matcha Oxidants Beverage,$3.99,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_020f5c19-2d35-47aa-89a1-b18908f3e554.png 4x,Gluten Free,,"All of our products are handcrafted locally in small batches. Our Organic Protein Blends are certified USDA organic, vegan, gluten-free, dairy-free, and soy-free. EACH bottle contains Probiotics that provide strong functional health benefits in the areas of immune health, digestive health and protein utilization. Our products also contain Adaptogens such as Maca and Ashwagandha which are botanicals that can impart strength, energy, stamina, endurance, and mental clarity.","Organic Almond Milk (water, Organic Almonds), Organic Coconut Sugar, Organic Pea Protein, Organic Matcha, Organic Natural Flavor, Organic Gum Acacia, Gellan Gum, Organic Sunflower Lecithin, Vitamin Blend (calcium Derived From Seaweed, Vitamin D), Organic Spirulina, Guar Gum, Organic Turmeric, Sea Salt, Organic Monk Fruit, Organic Prebiotic Powder (derived From Tapioca)","Shake well.,Perishable. Keep refrigerated.,Consume within 3 days of opening.",Contains almonds and coconut.,,,,,,,,,
"MUSCLE MILK Protein Shake, Non-Dairy, Chocolate Peanut Butter",,$4.93," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_20ad6d63-bf91-48cb-8170-55c6533eb357.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fb9058ff-b2b8-4eae-a662-3ee60f2e24fa.png 4x",Milk Free,,,"Water, Milk Protein Isolate, Calcium Caseinate, Contains Less Than 2% Of Sodium Caseinate, Soluble Corn Fiber, Natural And Artificial Flavor, Cocoa (processed With Alkali), High Oleic Sunflower Oil, Cellulose Gel, Inulin, Tripotassium Phosphate, Potassium Chloride, Potassium Phosphate, Sodium Polyphosphates, Cellulose Gum, Sucralose, Carrageenan, Acesulfame Potassium, Salt, Ascorbic Acid (preserves Freshness), Sodium Citrate, Ferric Pyrophosphate, Calcium Phosphate, Vitamin E Acetate, Niacinamide, Zinc Oxide, Copper Gluconate, Calcium Pantothenate, Vitamin A Palmitate, Pyridoxine Hydrochloride (vitamin B6), Vitamin D3, Thiamin Mononitrate (vitamin B1), Riboflavin, Folic Acid, Potassium Iodide, Chromium Chloride, Biotin, Cyanocobalamin (vitamin B12).","Shake well. Sealed for your protection.,Refrigerate after opening.",Contains milk ingredients.,,,,,,,,,
"Premier Protein Protein Shake, Chocolate",,$23.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74239de5-a46f-439d-8567-7bccd18d3fa9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_669dba17-0d9a-4fa4-be40-6c31e79d1a37.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3cca0dfa-4191-478a-b06d-aefbfca125c0.png 4x",,,,"Water, Milk Protein Concentrate†, Calcium Caseinate†, Cocoa Powder (processed With Alkali), Contains Less Than 1% Of High Oleic Sunflower Oil Or Soybean Oil, Natural And Artificial Flavors Inulin, Cellulose Gel And Cellulose Gum, Salt, Sucralose, Acesulfame Potassium, Carrageenan, Tripotassium Phosphate, Dipotassium Phosphate, Sodium Hexametaphosphate, Vitamin And Mineral Blend (dl-alpha-tocopheryl Acetate [vitamin E], Zinc Glycinate Chelate, Ferric Orthophosphate, Vitamin A Palmitate, Niacinamide, Phytonadione [vitamin K1], Potassium Iodide, Cholecalciferol [vitamin D3], Copper Gluconate, Calcium D-pantothenate, Manganese Sulfate, Sodium Selenite, Biotin, Sodium Molybdate, Folic Acid, Thiamine Mononitrate [vitamin B1], Cyanocobalamin [vitamin B12], Pyridoxine Hydrochloride [vitamin B6], Riboflavin [vitamin B2], Chromium Polynicotinate), Magnesium Phosphate, Sodium Ascorbate.","Recommended Usage: Shake well and serve cold. Shake well, serve cold & enjoy!,To ensure best quality, store in a cool, dry place. Refrigerate after opening.",Contains milk and soy.,,,,,,,,,
"Premier Protein Protein Shake, Vanilla",,$23.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40079acf-d26b-4f6f-bb8b-bae3c2cf50bc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94c357a4-dc8c-48e4-8c4c-da8fa2a83e0b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0ef3c244-8341-4822-a472-796d49c1687d.png 4x",Gluten Free,,,"Water, Milk Protein Concentrate†, Calcium Caseinate†, Contains Less Than 1% Of High Oleic Sunflower Oil Or Soybean Oil, Natural And Artificial Flavors, Inulin, Cellulose Gel And Cellulose Gum, Salt, Sucralose, Acesulfame Potassium, Carrageenan, Tripotassium Phosphate, Dipotassium Phosphate, Sodium Hexametaphosphate, Vitamin And Mineral Blend (dl-alpha-tocopheryl Acetate [vitamin E], Zinc Glycinate Chelate, Ferric Orthophosphate, Vitamin A Palmitate, Niacinamide, Phytonadione [vitamin K1], Potassium Iodide, Cholecalciferol [vitamin D3], Copper Gluconate, Calcium D-pantothenate, Manganese Sulfate, Sodium Selenite, Biotin, Sodium Molybdate, Folic Acid, Thiamine Mononitrate [vitamin B1], Cyanocobalamin [vitamin B12], Pyridoxine Hydrochloride [vitamin B6], Riboflavin [vitamin B2], Chromium Polynicotinate), Magnesium Phosphate, Sodium Ascorbate, †source Of Protein","Recommended Usage: Shake well and serve cold. Shake well, serve cold & enjoy!,To ensure best quality, store in a cool, dry place. Refrigerate after opening.",Contains milk and soy.,,,,,,,,,
OWYN Dark Chocolate Protein Shakes 4 Pack Case,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9107eb1e-90a9-47ff-84ce-a14557731743.png 4x,,,"Only what you need Owyn. What's Inside Matters: Only What You Need: 100% plant-based nutrition, greens blend, essential amino acids, peas from North America. Tested for top 8 allergens. Owyn's finished products are independently tested for detection of the top 8 allergens every lot, every time.","Water, Owyn Protein Blend (pea Protein, Organic Pumpkin Seed Protein, Organic Flax Oil), Vegetable Fiber, Organic Cane Sugar, Sunflower Oil, Cocoa Powder, Sunflower Lecithin, Natural Flavors, Himalayan Pink Salt, Guar Gum, Greens Blend (broccoli, Spinach, Kale), Monk Fruit Extract.",{},,,,,,,,,,
"Premier Protein 30g Protein Shake, Caramel, 30g Protein, 11 Fl Oz, 12 Count",,$34.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_304e2b1e-66c8-40d6-b690-92ecd8734031.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ae7a970-3de3-481e-ba00-f6a322c7b755.jpg 4x",Gluten Free,,"Life requires protein, but we know it's hard to get lean protein. That's why we make delicious protein products without all the sugar, fat, and calories to give you the energy you need every day. So whether you missed breakfast, have the 3 o'clock hunger pang, or need to refuel after a workout, we give you the protein you need, when you need it.,Premier Protein was judged Superior in a national triple blind taste test conducted by an American Masters of Taste Chef Panel.","Ingredients: Water, Premier Protein® Shake Protein Blend (milk Protein Concentrate, Calcium Caseinate, Whey Protein Concentrate), Contains 1% Or Less Of The Following: High Oleic Sunflower Oil, Inulin, Cellulose Gel And Cellulose Gum, Magnesium Phosphate, Datem, Salt, Natural And Artificial Flavors, Sucralose, Acesulfame Potassium, Carrageenan, Vitamin And Mineral Blend (sodium Ascorbate [vitamin C], Dl-alpha Tocopheryl Acetate [vitamin E], Zinc Amino Acid Chelate, Biotin, Vitamin A Palmitate, Niacinamide, Potassium Iodide, Copper Amino Acid Chelate, Calcium D-pantothenate, Chromium Chloride, Cyanocobalamin [vitamin B12], Phytonadione [vitamin K], Sodium Molybdate, Sodium Selenite, Folic Acid, Cholecalciferol [vitamin D3], Pyridoxine Hydrochloride [vitamin B6], Thiamine Mononitrate [vitamin B1], Riboflavin [vitamin B2]), Ferric Orthophosphate, Manganese Sulfate, Tripotassium Phosphate, Dipotassium Phosphate, Sodium Polyphosphate.","Shake well, serve cold, and enjoy our shakes:• As a delicious meal replacement• For a satisfying snack• As a base in smoothies• In hot or cold cereal Recommended Usage: Shake well and serve cold. Refrigerate after opening. To ensure best quality, store in a cool, dry place.",Contains milk.,,,,,,,,,
"MUSCLE MILK Protein Shake, Slammin' Strawberry",,$15.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c6a7aac-8d0d-4c99-b8c8-f491a9c1e09f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba4299d3-f132-4798-b0a4-26b6d6486167.png 4x",Milk Free,,"MUSCLE MILK provides products that amplify your lifestyle and help you become STRONGER EVERYDAY. You know your body. You care about what you put in your body. You know your body needs protein. You recognize that protein isn’t just about muscles, intense workouts or something only found at the gym. Protein is a fundamental to help you live and perform better. MUSCLE MILK protein is expertly formulated with high-quality ingredients and key nutrients. All MUSCLE MILK Protein Powder products are NSF Certified for Sport, ensuring that they are safe and free of banned substances.","Water, Milk Protein Isolate, Calcium Caseinate (milk Derivative), Contains Less Than 2% Of Sodium Caseinate (milk Derivative), Soluble Corn Fiber, Natural And Artificial Flavor, High Oleic Sunflower Oil, Inulin, Cellulose Gel, Tripotassium Phosphate, Potassium Chloride, Potassium Phosphate, Sodium Polyphosphates, Cellulose Gum, Carrageenan, Salt, Sucralose, Acesulfame Potassium, Ascorbic Acid (vitamin C), Sodium Citrate, Ferric Pyrophosphate, Calcium Phosphate, Vitamin E Acetate, Beta Carotene (color), Niacinamide, Zinc Oxide, Copper Gluconate, Calcium Pantothenate, Vitamin A Palmitate, Pyridoxine Hydrochloride (vitamin B6), Vitamin D3, Thiamin Mononitrate (vitamin B1), Riboflavin, Folic Acid, Potassium Iodide, Chromium Chloride, Biotin, Cyanocobalamin (vitamin B12).",{},Contains milk ingredients.,,,,,,,,,
"SlimFast Meal Replacement Shake, Creamy Chocolate, 8 Pack",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7499ea59-28dd-4205-968f-70053539fe05.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_30a55659-e84b-4cbf-afc1-c4342f233caa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56223cd8-c263-4041-9a33-83c7e80db4fe.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_15df7748-59a2-4037-8179-f9995f3afeb3.png 4x",,,"Better value (Compared to the price of a 4-pack). Clinically proven lose weight & keep it off (when used as part of the SlimFast plan. Individual results may vary). Clinically Proven: The SlimFast Plan: 1. One sensible meal, enjoy your favorite foods. 2. Replace two meals a day with shakes, smoothies or bars 3. Indulge in three snacks satisfying hunger between meals. The clinically proven way to lose weight fast and keep it off! (when used as part of the SlimFast plan. Individual results may vary). Nobody gives you more ways to lose weight than SlimFast. SlimFast Original: A taste you'll love, guaranteed. SlimFast Advanced Nutrition: Higher protein, lower sugar (94.7% reduction in sugar compared to original Slimfast meal replacement shakes, 19 g vs. 1 g), and lower carb (SlimFast Advanced has 20 g of protein and 7 g of carbohydrates compared to SlimFast original which has 10 g of protein and 25 g of carbohydrates). SlimFast Advanced Energy: Energy for hours, higher protein, lower sugar (94.7% reduction in sugar compared to original Slimfast meal replacement shakes, 19 g vs. 1 g), and lower carb (SlimFast Advanced has 20 g of protein and 7 g of carbohydrates compared to SlimFast original which has 10 g of protein and 25 g of carbohydrates). SlimFast Keto: Optimal low-carb ketogenic nutrition made easy. Advanced Nutrition: Specially formulated with high protein meal replacement ready-to-drink shakes for home, work, or on-the-go. 20 g of protein, only 1 g of sugar (94.7% reduction in sugar compared to original SlimFast meal replacement shakes, 19 g vs. 1 g). 5 g of fiber (Contains 9 g total fat per serving. Not a low calorie food) and 24 vitamins and minerals. Hunger control for 4 hours, satisfies you between meals. Lactose free (99.8% lactose free).","Water, Milk Protein Concentrate, Canola Oil, Cocoa (processed With Alkali), Maltodextrin, Cellulose Gel, Cellulose Gum, Potassium Phosphate, Mono And Diglycerides, Natural And Artificial Flavors, Potassium Citrate, Salt, Soy Lecithin, Sucralose Carrageenan, Caramel Color Vitamins And Minerals: Magnesium Phosphate, Sodium Ascorbate, Calcium Phosphate, Vitamin E Acetate, Zinc Gluconate, Ferric Orthophosphate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Vitamin A Palmitate, Pyridoxine Hydrochloride, Thiamin Mononitrate, Riboflavin, Chromium Chloride, Folic Acid, Biotin, Sodium Molybdate, Potassium Iodide, Phytonadione (vitamin K1), Sodium Selenite, Cyanocobalamin (vitamin B12), Cholecalciferol (vitamin D3).",{},Contains milk and soy.,,,,,,,,,
"Carnation Breakfast Essentials Nutritional Drink, Classic French Vanilla",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ee92e338-5680-4d30-8ef8-945b24040875.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1202f792-c1fa-40c0-a6ad-42dea8c33040.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_96eae880-96bd-44c9-9d55-4f72933076e3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5700f394-e3c8-4f86-b618-a2688a1ac450.jpg 4x",,,"Grab and go. Kid approved taste. Breakfast Essentials - Good nutrition from the start. Breakfast on-the-go drink. Excellent source of protein (10 g) to support growth and help build & maintain muscle. 25% DV of calcium to help build strong bones. 20% DV of iron to help blood deliver oxygen to the body. 100% DV of Vitamin C & 50% DV of Vitamin D, key nutrients for immune support. 21 Vitamins & minerals with 240 nutrient-rich calories for nutritional energy. Suitable for lactose intolerance. Not for individuals with galactosemia. FSC -Recycled. Board made from recycled material. We reduce our environmental impact by: The majority of this package is made of recycled paperboard. This material is responsibly sourced to protect biodiversity and the environment. You can help too! Dispose responsibly. Certified B Corporation. Our Mission - Give kids essential nutrients they need to start the day with easy yummy sip.","Water, Glucose Syrup, Milk Protein Concentrate, Sugar, Canola Oil, Less Than 2% Of Vitamins And Minerals‡, Soy Protein Isolate, Cellulose Gel And Gum, Salt, Natural Flavors, Stevia Leaf Extract, Carrageenan, ‡vitamins And Minerals: Magnesium Phosphate, Potassium Citrate, Potassium Chloride, Sodium Ascorbate, Calcium Carbonate, Choline Bitartrate, Calcium Phosphate, Ascorbic Acid, Ferrous Sulfate, Dl-alpha Tocopheryl Acetate, Niacinamide, Zinc Sulfate, Calcium Pantothenate, Manganese Sulfate, Pyridoxine Hydrochloride, Riboflavin, Thiamine Hydrochloride, Copper Sulfate, Vitamin A Palmitate, Folic Acid, Potassium Iodide, Vitamin K₁, Sodium Molybdate, Biotin, Chromium Chloride, Vitamin D₃, Sodium Selenite, Vitamin B₁₂","Shake well.,Serve cold.,Do not freeze. When unopened, store in a cool dry place. Once opened, reclose, refrigerate and use within 24 hours.",Contains: milk and soy ingredients,,,,,,,,,
Remedy Organics Organic Berry Immunity Beverage,$3.99,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_539929a6-8de8-4ac5-84b4-42b0674fbd38.png 4x,Gluten Free,,"Remedy Organics' craveable Berry Immunity pairs strawberry and dragon fruit with plant protein, prebiotics, and healing adaptogenic herbs, botanicals, and mushrooms to promote Immunity.","Organic Coconut Milk (water, Organic Coconut Cream), Organic Pea Protein, Organic Strawberry, Organic Coconut Sugar, Organic Natural Flavor, Organic Fruit And Vegetable Juice (for Color), Organic Coconut Oil, Organic Gum Acacia, Gellan Gum, Organic Sunflower Lecithin, Organic Camu Camu Powder, Organic Mct Oil, Organic Dragon Fruit, Vitamin Blend (calcium Derived From Seaweed, Vitamin D), Organic Lion's Mane Mushroom Extract, Organic Maca, Sea Salt, Guar Gum, Organic Elderberry Powder, Organic Monk Fruit, Organic Prebiotic Powder (derived From Tapioca)","Take a deep breath. Shake well. Our natural ingredients may separate.,Perishable. Keep refrigerated.,Consume within 3 days of opening.",Contains almonds and coconut.,,,,,,,,,
Glucerna Nutrition Shake Vanilla Ready-to-Drink 4-11 fl oz Bottles,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dc0a01e6-2bee-4a71-88fb-5cee3925c08f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9f51bc32-dcb1-49e3-a8fe-ac56cda8fc19.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8cb92208-c5a8-4847-a950-2f95b5bc1ff3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65ad9384-2d6a-4ba4-8b0e-0b1dbd0dd5c1.jpg 4x",,,"Glucerna Protein Smart nutrition shakes are scientifically designed to help people with diabetes manage blood sugar response.* Our protein shakes have CARBSTEADY, a unique blend of low-glycemic carbohydrates, as well as 30g of protein to support muscle health. Glucerna Protein Smart also contains nutrients for immune system support, like vitamins A & D, zinc, and antioxidants (vitamins C & E and selenium). They make a delicious small meal or snack, are gluten-free and suitable for lactose intolerance.† Glucerna is the #1 nutrition brand recommended by doctors for people with diabetes. * Designed to help minimize the blood sugar spike from consuming Glucerna compared to highglycemic carbohydrates. † Not for people with galactosemia.","Water, Milk Protein Concentrate, Calcium Caseinate, Soluble Corn Fiber, Less Than 1% Of: Vitamins And Minerals,‖ Natural And Artificial Flavors, Inulin, Fructose, Sunflower Oil, Cellulose Gel, Potassium Hydroxide, Cellulose Gum, Acesulfame Potassium, Carrageenan, Salt, And Sucralose, ‖vitamins And Minerals: Magnesium Phosphate, Potassium Chloride, Sodium Ascorbate, Potassium Phosphate, Sodium Phosphate, Choline Chloride, Ferrous Sulfate, Zinc Sulfate, Dl-alpha-tocopheryl Acetate, Niacinamide, Calcium Pantothenate, Manganese Sulfate, Copper Sulfate, Thiamine Hydrochloride, Pyridoxine Hydrochloride, Riboflavin, Vitamin A Palmitate, Folic Acid, Potassium Iodide, Chromium Chloride, Phylloquinone, Sodium Molybdate, Sodium Selenate, Vitamin D₃, Biotin, Vitamin B₁₂","Shake well.,Refrigerate after opening.",Contains milk ingredients.,,,,,,,,,
"BOOST Balanced Nutritional Drink, Creamy Strawberry, Glucose Control",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b44aa1d5-153a-488c-afa6-bd4659054448.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b951b619-5e53-4943-900e-d6c607f55bb9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2aead5c0-cfc7-4595-a4d1-540e0783b965.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40ae58c5-1d61-4095-94d2-736860121453.jpg 4x",,,"Helps manage blood sugar (Boost Glucose Control: Balanced Nutritional Drink is clinically shown to produce a lower blood sugar response vs. a standard nutritional drink in people with type 2 diabetes. Not a substitute for medication). No artificial colors. Immune support. Discover key nutrients found in Boost nutritional drinks to help support the immune system. Did you know? Boost glucose control drink contains a patented 1:1:1 balanced ratio of total calories from protein, carbs, and fat, and is designed to help manage blood sugar levels as part of a balanced diet. Balanced nutritional drink to help you be your best! FSC: Recycled - Board made from recycled material. www.fsc.org.","Water, Milk Protein Concentrate, Tapioca Dextrin, Canola Oil, And Less Than 2% Of Fructose, Soy Protein Isolate, Calcium Caseinate, Sodium Caseinate, Fructooligosaccharides. Vitamins And Minerals++, Partially Hydrolyzed Guar Gum, Salt, Cellulose Gel And Gum, Soy Lecithin, Natural And Artificial Flavor. Carrageenan, Sucralose","Shake well.,Chill. Do not freeze. When unopened, store in a cool dry place. Once opened, reclose, refrigerate and use within 24 hours.,Sealed for freshness. Twist cap to break safety ring & inner foil seal.",Contains: milk and soy ingredients,,,,,,,,,
Ensure Clear Nutrition Drink Blueberry Pomegranate Ready to Drink Bottles,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c1f120d-76c0-4570-830f-64bbe769cbe6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9af5c48b-c788-46b0-a126-9838131c31db.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78f389d9-d2d8-4dfd-ab97-5b8a12a19797.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d03730e-3231-4fda-834b-14b363977d05.jpg 4x",,,"From the #1 doctor-recommended brand, Ensure Clear Nutrition Drink provides daily nutrition with 15 vitamins and minerals, 8g protein, and 0g of fat. It’s a tasty way to help fill your nutrition gaps.","Water, Corn Maltodextrin, Sugar, Whey Protein Isolate, Less Than 0.5% Of: Natural Flavor, Phosphoric Acid, Malic Acid, Citric Acid, Acesulfame Potassium, Sucralose, Red 40, Ferrous Sulfate, Zinc Sulfate, Niacinamide, Calcium Pantothenate, Blue 1, Manganese Sulfate, Copper Sulfate, Pyridoxine Hydrochloride, Thiamine Hydrochloride, Riboflavin, Chromium Chloride, Potassium Iodide, Sodium Selenate, Sodium Molybdate, Biotin, And Vitamin B₁₂","Shake well.,Serve cold.,Refrigerate after opening.",Contains milk ingredients.,,,,,,,,,
"Premier Protein High Protein Shake, Cinnamon Roll, 4 Pack",,$13.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2336204f-b980-44a3-8243-4d4646a3f07e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fba978c5-948c-4643-b0b5-d9bb13642283.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62813d9e-a299-4efd-a37e-51d09ec1224e.png 4x",Gluten Free,,,"Water, Milk Protein Concentrate†, Calcium Caseinate†, Contains Less Than 1% Of High Oleic Sunflower Oil, Natural And Artificial Flavors, Inulin, Cellulose Gel And Cellulose Gum, Salt, Sucralose, Acesulfame Potassium, Carrageenan, Tripotassium Phosphate, Dipotassium Phosphate, Sodium Hexametaphosphate, Vitamin And Mineral Blend (dl-alpha-tocopheryl Acetate [vitamin E], Zinc Glycinate Chelate, Ferric Orthophosphate, Vitamin A Palmitate, Niacinamide, Phytonadione [vitamin K1], Potassium Iodide, Cholecalciferol [vitamin D3], Copper Gluconate, Calcium D-pantothenate, Manganese Sulfate, Sodium Selenite, Biotin, Sodium Molybdate, Folic Acid, Thiamine Mononitrate [vitamin B1], Cyanocobalamin [vitamin B12], Pyridoxine Hydrochloride [vitamin B6], Riboflavin [vitamin B2), Chromium Polynicotinate), Magnesium Phosphate, Sodium Ascorbate, †source Of Protein","Shake well, serve cold, & enjoy! Recommended Usage: Shake well and serve cold.,Refrigerate after opening. To ensure best quality, store in a cool, dry place.",Contains milk.,,,,,,,,,
"Purely Inspired Nutritional Shakes, Plant-Based, Organic, French Vanilla",,$11.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fbf75744-ecda-4a92-b6d1-e98a81a7f6be.png 4x,"Gluten Free,Soy Free",,"Purely Inspired™ 100% Plant-Based Protein* Nutritional Shake French Vanilla.,New!,America's #1 selling.,One serving gives you...,20g Protein.,7g Fiber.,2g Sugar.,130 Calories.,Fruit & vegetable blend.,No artificial sweeteners, colors or flavors.,USDA Organic.,Organic protein.,Gluten free.,100% Vegan.,Dairy, soy and cholesterol free.,Amazing taste!,Natural flavor.,Net Wt. 1.50 lbs. (680 g).","Organic Protein Blend (organic Pea Protein, Organic Brown Rice Protein), Organic Acacia Gum, Organic Cane Sugar, Organic Natural Flavor, Organic Guar Gum, Organic Rebaudioside A (stevia Extract).","Directions: Mix 1 serving (1 scoop) with 12 oz. of water or non - dairy beverage, like almond, rice or coconut beverage. Stir vigorously or shake well and enjoy. Shake container before use.,Store in a cool, dry place (60 degrees F to 80 degrees F).,For lot no. and best by date: See bottle.","Contains coconut ingredients., Notice: Use this product as a food supplement only. Do not use for weight reduction. Do not use if packaging has been tampered with.",,,,,,,,,
