Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
Health-Ade Seasonal Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_551aacad-1836-4cee-a913-df3e06ef070e.png 4x,Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Filtered Water, Kombucha Culture (yeast And Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Evaporated Cane Juice (sugar), Cold-pressed Organic Ginger Juice, Organic Vanilla Powder, Organic Cacao Powder, Organic Allspice Powder.","Do not shake.,Best enjoyed refrigerated.",,
"Synergy The Real Kombucha, Marine Greens",$4.29,$5.09,,Gluten Free,,"Per Bottle at time of bottling: Probiotics Bacillus Coagulans GBI-306086: 1 billion organisms, S. Boulardii: 4 billion organisms, Lactobacillus Bacterium: 4 billion organisms, L(+) Lactic Acid: 100 mg, Acetic Acid: 75 mg, Glucuronic Acid: 1400 mg, Gluconic Acid: 650 mg. USDA Organic. Certified Organic by Certifiers, Inc. Gluten-free. Vegan. Non GMO Project verified. nongmoproject.org. Amino + polyphenols. Enzymes + probitiocs. Renew. Rebalanced. Rebuild. Reclaim. Rekindle. Recharge. 25 Years Young: In 1995, I began bottling Kombucha as a teenager in my parents' kitchen after witnessing my mother consume it religiously during her battle with breast cancer. Her experience inspired my purpose: to introduce this sacred brew to the US in its purest, most potent form for all those seeking better health. Over two decades later, my mission remains stronger than ever to offer the best Kombucha you can find. GT Dave, Founder. Celebrating 25 years of authentic kombucha. History of Multri-Green: Born: 2003. Displeased with sugary green drinks on shelves at the time, GT released a green Kombucha crafted with three of the most powerful super greens. What is Kombucha? Once known as the tea of immortality, Kombucha is a fermented drink with origins dating back to 221 B.C. This ancient elixir is traditionally crafted with a sweetened tea base and a live Kombucha culture (Scoby). During fermentation. The Scoby transforms the tea into a bright, tangy, abd batyrakky effervescent beverage with billions of living probiotics to support digestive and immune health. gtslivingfoods.com. Contact us: toll Free: (877) 735-8423. How has GT's Kombucha change your life? Tell us your story at 25th(at)drinkgts.com. Please recycle.","Gt's Kombucha* (kombucha Culture, Black Tea®, Green Tea, Kiwi Juice*), Klamath Valley Blue-green Algae*, Spirulina*, Chlorella*, 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently.,Store upright. Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Gt's Living Foods Organic Synergy Blood Orange Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_99f48a01-a46a-4b0c-a4a4-7c85e6f4583c.png 4x,Gluten Free,,"Begin Within: Begin with a sip of liquid life and a bold bite that's undeniably electric. Begin with a drink that is living bubbling with nutrients and billions of probiotics. Begin with energy that nourishes your body's vitality, making you feel more alive. Begin with a taste that transforms you from within. - GT Dave, Founder.,• Kosher,• Organic,• Gluten Free,• Vegan","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), Fresh Pressed Blood Orange Juice*, Hibiscus*, 100% Pure Love!!!, *organically Produced","Do not shake. Swirl gently. Store upright.,Perishable. Keep refrigerated. May leak or gush if unrefrigerated.","Please note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
"Liquid Remedy Kombucha, No Sugar, Raspberry Lemonade",,$3.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73f3c162-e014-4904-8751-c886ad3a2bd1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_60bbf152-0312-4d45-8f48-cf2fea02ec0f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b862537-1b6e-4a51-91d8-13d3f269dbc4.png 4x",Gluten Free,,,"Organic Raw Kombucha (Carbonated Water, Sugar*(a), Black Tea Leaves*, Green Tea Leaves*, Kombucha Culture* (Yeast, Bacteria Cultures)), Erythritol*, Hibiscus Tea (Water, Hibiscus*), Natural Raspberry Flavor*, Lemon Juice*, Stevia Extract (Steviol Glycosides*). * Certified Organic Ingredients. (a) No Sugar Remains After Liquid Remedy's Traditional Long-Aged Fermentation.","Best served chilled.,Best before: See base of can.",,
Synergy The Real Kombucha Mystic Mango,,$12.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0495dd01-22a8-4e2c-b6d5-577d57256e20.jpg 4x,Gluten Free,,"Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. Aminos + polyphenols. Enzymes + probiotics. 9 billion living probiotics. The Most Powerful Kombucha You Can Buy: That is the standard I set when I bottled my first batch of Kombucha in 1995. To this day, every small batch is traditionally cultivated in 5-gallon glass vessels for 30 days - the longest ferment of any brand- using heirloom living cultures to naturally develop the most nutrients possible. I promise to always craft with pure love and true intentions, to nourish your body and nurture your health. - GT Dave, Founder. Raw Is Real: If Kombucha is not raw, then it's not the (pasteurized), filtered, or made from concentrate, Kombucha's innate nutritional goodness is compromised and weakened. But don't just take our word for it, you can see the authenticity in every one of our bottles. They're always refrigerated, have visible culture strands, and offer a bright, tangy bite. Words of Enlightenment: Your potential knows only the boundaries that you set. Free yourself. - Zosia Rene Piotrowski Resolution Analyst Orem, UT. Naturally effervescent. Living food for the living body. Please recycle.","GT's Kombucha*(a), and Mango Puree. (a) 30-Day Ferment of Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*, and Cane Sugar*(b). * Organically Produced. (b) Used for Fermentation, Not as an Added Sweetener.","Perishable. Keep refrigerated. May leak or gush if unrefrigerated.,Do not shake. Swirl gently. Store upright.","Please Note: Kombucha is fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
"Liquid Remedy Kombucha, No Sugar, Mixed Berry",,$3.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31bdd345-c5b6-414c-a940-05564fd31a7e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eb0a14d0-6d6f-458a-b89d-8513a70e7db9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_89ee7ad9-51b8-44b6-b6a6-ed4810873f03.png 4x",Gluten Free,,,"Organic Raw Kombucha (carbonated Water, Sugar*†, Black Tea Leaves*, Green Tea Leaves*, Kombucha Culture* (yeast, Bacteria Cultures)), Erythritol*, Hibiscus Tea (water, Hibiscus*), Lemon Juice*, Natural Blueberry, Blackberry, Strawberry And Caramel Flavors, Stevia Extract (steviol Glycosides*), *certified Organic Ingredients, † No Sugar Remains After Liquid Remedy's Traditional Long-aged Fermentation","Best served chilled.,Best before: See base of can.",,
"Brew Dr. Kombucha Lemon Grove (Ginger Lemon), Organic Kombucha",,$3.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b6c8ebd3-217b-42b9-9d90-5a7e14db187b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_439a42ef-62b7-462c-987d-34a636ff2ec7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_398884f5-1a02-4718-8482-881304ee6da8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c9d946c-5b89-485f-b901-945151c4f944.jpg 4x",Gluten Free,,"Formerly Ginger Lemon. New name, same tasty recipe!!","Brewed Tea (water, Green Tea*, Dried Lemon*, Lemon Verbena*), Cane Sugar*, Ginger Juice*, Live Kombucha Culture (yeast, Bacteria), Ginger Extract*.",Keep refrigerated.,,
"Brew Dr. Kombucha Blackberry Trails, Organic Kombucha",,$3.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa2d7cd7-03b9-4ba0-a46d-3ed24bf37a17.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_77b65a60-c771-4263-80cd-3001afe8d3cb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2029a684-7045-48d5-81df-3b289e5bdf1d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a50018f-a792-46a0-b71a-f19f3ed8a31a.jpg 4x",Gluten Free,,"Formerly Wildberry Ginger. New name, same tasty recipe!!","Brewed Tea (water, Green Tea*), Cane Sugar*, Blueberry Juice*, Blackberry Puree*, Ginger Juice*, Live Kombucha Culture (yeast, Bacteria), Strawberry Essence*.","Swirl before sipping.,Keep refrigerated.",,
GT's Living Foods Organic Raw Kombucha Case,$3.49,$61.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1ad2ca40-4474-4f75-906c-57ef230470db.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f671bc68-26a5-4677-9899-c9c61245a330.png 4x",Milk Free,,"Aminos + polyphenols. Enzymes + probiotics. Pure. Potent. Purposeful. Over 25 years of authentic Kombucha.,• 9 billion living probiotics.","Gt's Kombucha, (Kombucha Culture Black Tea Green Tea Kiwi Juice), Fresh Pressed Ginger Juice and 100% Pure Love!!!.","Do not shake - handle with care.,Keep refrigerated.",Do not shake. Handle with care.,
"Health-Ade Kombucha, Mint Limeade",,$4.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ecf7d238-fd6f-4044-90ae-02ca457f5aaf.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_54938e1d-0405-42d3-b7f9-8ecd36cf9159.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_313a0d0b-9016-4412-a11b-bc3ec94f8e8e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94b5cf26-632b-41a0-8641-e433ae4a0f5a.png 4x",Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Organic Kombucha [filtered Water, Kombucha Culture (yeast And Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Cane Sugar, Carbonation], Cold-pressed Organic Lime Juice, Cold-pressed Organic Grape Juice, Organic Vanilla Powder, Organic Spearmint Extract.",Best enjoyed refrigerated.,,
"GT's Living Foods Trilogy Synergy Organic Raw Kombucha, Case",,$61.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4789ab6f-b0f4-4a7c-b767-485b6ef0a3d8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_59131070-0d18-4d1b-8255-34badf6cf248.png 4x",,,Handcrafted in Loas Angeles since 1995. Pure. Potent. Purposeful. Over 25 years of authentic Kombucha. Aminos + polyphenols. Enzymes + probiotics. 9 billion living probiotics.,,"Do not shake.,Keep refrigerated.",Handle with care.,
Humm Kombucha Organic Mango Passionfruit Probiotic Kombucha,$2.50,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5d39cf8-a502-424d-ba50-89452683a5b3.png 4x,,,"Absurdly tasty, live & raw probiotic kombucha. 100% Real. No artificial sweeteners, USDA certified organic, Non-GMO, Vegan, Keto-friendly and Gluten Free. Only 35 calories per can. Loaded with vitamin B12 to boost energy.","Organic Raw Carbonated Kombucha (filtered water, organic green tea, organic black tea, organic cane sugar, kombucha cultures), Organic Cane Sugar, Organic Mango Puree, Organic Passion Fruit Juice, Natural Flavors**, Live Active Cultures: Bacillus subtilis, Vitamin B12 **From Plant Based Ingredients",Keep refrigerated.,,
"Health-Ade Kombucha, Organic, + Tone It Up, Bubbly Rose",,$4.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56aa0336-c903-422b-9dea-4daa7de0e1d5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0ba79f84-2969-4a4e-b316-9a6a2589e776.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6ed18ac5-3c48-48b3-a462-d0805ce56c08.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_509422f9-944e-4d1e-a0ed-9cfa3bf01f06.png 4x",Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","Organic Kombucha*, Rose Powder*, Mangosteen Powder+, Hawthorn Berry Powder+, Live Active Cultures (bacillus Coagulans Mtcc 5856), *organic Kombucha: Filtered Water, Acids From Fermentation (acetic+. Lactic, Gluconic, Tartaric), Cane Sugar+, Live Kombucha Cultures, Black Tea+, Green Tea+, Carbonation +certified Organic",Best enjoyed refrigerated.,"Do not shake. Kombucha should not be consumed if left unrefrigerated for an extended period of time. Pregnant / breastfeeding? Consult your doctor. Due to natural fermentation, there may be trace amounts of alcohol and small pieces of culture.",
"Brew Dr. Kombucha Organic Sparkling Cranberry, Limited Release",,$3.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_21ad1a4a-36fd-48ae-b692-9c2725b10483.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f0dfb7a-ca56-484a-966d-50b0d52c77fd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a5429aeb-0537-423b-9fca-18e5036f460c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_38a4719b-6a10-4d22-9091-e3f93ac31f48.jpg 4x",Gluten Free,,"LIMITED RELEASE: **Flavor May Vary**,Celebrate sweet and tart berries in this deliciously juicy brew.,Brew Dr. Kombucha makes tasty and fizzy probiotic tea from real, organic ingredients. Each refreshing brew is made with care – no shortcuts or artificial nonsense.","Brewed tea (water, green tea*, raspberry*), cane sugar*, live kombucha culture (yeast, bacteria), cranberry juice concentrate*. *Organic",Sip and enjoy!,BOTTLE MAY BURST IF UNREFRIGERATED,
Health-Ade Pink Lady Apple,,$9.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6a26acb8-d918-400b-81a7-01ff5c697117.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93de923f-eb2f-472c-8410-320b7e6656cb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40c34846-1ac1-4bcb-8b6e-5283d2e35ddc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2454989e-0d8f-4388-b831-75e64a0f0b61.jpg 4x",Gluten Free,,"Premium Ingredients: Crafted from organic black and green teas to ensure top-notch quality. No artificial sweeteners, colors, or flavors—just real fruit juice from real, organic produce.,Probiotic Power: Contains live cultures for a happy gut and overall well-being. Probiotics are living bacteria known to improve gut health and contribute to a diverse microbiome.,Organic Acids: During the fermentation process, healthy acids like acetic, lactic, gluconic and glucuronic acids are produced. These powerful “postbiotics” complete the many functions attributed to gut health.,Natural antioxidants: These plant-based substances are known to support your body’s overall health and well-being.","Organic Kombucha [filtered Water, Kombucha Culture (yeast And Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Cane Sugar, Carbonation], Cold-pressed Organic Apple Juice.",Best enjoyed refrigerated,,
Health-Ade Organic Passion Fruit Tangerine Kombucha 4 Pack Case,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e56a8fa-2930-45ee-af8e-38ead101738c.png 4x,Gluten Free,,"Health-Ade Kombucha combines thirst-quenching, real fruit juice with the living probiotics and organic acids of fermented tea to support a happy gut and a healthier you.,Health-Ade Kombucha is an easy addition to your everyday routine. You can sip on it just like you would a soda or your favorite alcoholic beverage!,• Living probiotics and gut healthy acids to promote feeling good from the inside out,• No artificial sweeteners, colors, or flavors,• Natural antioxidants from tea,• Blended with real fruit juice for delicious, refreshing flavor","ORGANIC KOMBUCHA*, COLD-PRESSED PASSION FRUIT JUICE†, COLD-PRESSED TANGERINE JUICE†, COLD-PRESSED ORANGE JUICE†, LIVE ACTIVE CULTURES (BACILLUS COAGULANS MTCC 5856),ORGANIC KOMBUCHA: FILTERED WATER, ACIDS FROM FERMENTATION (ACETIC†, LACTIC, GLUCONIC, TARTARIC), CANE SUGAR†, LIVE KOMBUCHA CULTURES, BLACK TEA†, GREEN TEA†, CARBONATION †CERTIFIED ORGANIC",,,
Humm Kombucha Organic Blackberry Probiotic Kombucha,$2.50,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dde19bf2-73b6-4f88-82af-c40ca9ced201.png 4x,Gluten Free,,"Absurdly tasty, live & raw probiotic kombucha. 100% Real. No artificial sweeteners, USDA certified organic, Non-GMO, Vegan, Keto-friendly and Gluten Free. Only 30 calories per can. Loaded with vitamin B12 to boost energy.","Organic Raw Carbonated Kombucha (filtered water, organic green tea, organic black tea, organic white grape juice, kombucha cultures), Organic Apple Juice, Organic Elderberry Juice, Natural and Organic Flavors*, Probiotic: Bacillus subtilis, Vitamin B12 *From plant-based ingredients",Keep refrigerated.,,
"GT's Living Foods Raw Kombucha, Guava Goddess",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_70b76f0a-2722-4393-8fc0-170e16a983c0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5eb91972-106c-4e62-8b49-35ecc0eaa06a.png 4x",Milk Free,,"Aminos + polyphenols. Enzymes + probiotics. Over 25 years authentic Kombucha. Pure. Potent. Purposeful.,• 9 billion living probiotics","Gt’s Kombucha,(Kombucha Culture, Black Tea Green Tea Kiwi Juice ,), Guava Puree,and 100% Pure Love!!!.","Do not shake. Handle with care.,Keep refrigerated.",,
"Liquid Remedy Kombucha, No Sugar, Orange Splash",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_514bb1e8-5269-4dea-b9e8-842f1792a80f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65be78a4-2fd1-46ee-9590-54d4df33e041.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9a54c08e-a87a-4816-b673-099745740f2d.png 4x",,,,"Organic Raw Kombucha (Carbonated Water, Sugar* (a), Black Tea Leaves*, Green Tea Leaves*, Kombucha Culture* (Yeast, Bacteria Cultures)), Erythritol*, Hibiscus Tea (Water, Hibiscus*), Natural Orange Flavor, Natural Blood Orange Flavor, Natural Lemon Flavor, Stevia Extract (Steviol Glycosides*). * Certified Organic Ingredients. (a) No Sugar Remains After Liquid Remedy's Traditional Long-Aged Fermentation.",Best served chilled.,,
Humm Kombucha Organic Blueberry Mint Probiotic Kombucha,$2.50,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b633699-fef8-4d4d-9e35-18fc03adf772.png 4x,,,"Absurdly tasty, live & raw probiotic kombucha. 100% Real. No artificial sweeteners, USDA certified organic, Non-GMO, Vegan, Keto-friendly and Gluten Free. Only 30 calories per can. Loaded with vitamin B12 to boost energy.","Organic Raw carbonated Kombucha (filtered water, organic green tea, organic black tea, organic cane sugar, kombucha cultures), Organic Cane Sugar, Organic Blueberry Juice, Organic Elderberry Juice, Natural Flavors**, Live Active Cultures: Bacillus subtilis, Vitamin B12 **FROM PLANT-BASED INGREDIENTS",Keep refrigerated.,,
"GT's Living Foods Kombucha, Raw, Gingerberry",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_63e92f2a-9e3c-4c00-96eb-c96383fca5de.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8895ef90-841d-447c-bd6e-ffc237a008e2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b210dfb-b2a2-4cb0-8059-0d3c84b4e2fa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b9a4dd93-0014-4a13-bfb1-67f67c9ea490.png 4x",,,Aminos + polyphenols. Enzymes + probiotics. Organic & unpasteurized. Handcrafted in Los Angeles since 1995. 25 years of authentic kombucha. Remember. Reflect. Rejoice. gtslivingfoods.com. Contact Us: Toll Free: (877) 735-8423.,"100% Gt's Organic Raw Kombucha, Fresh Pressed Ginger Juice, Blueberry Juice, Contains Probiotic Content, Contains Antioxidants and Organic Acids",Keep refrigerated.,Do not shake. Handle with care.,
Gt's Living Foods Organic Synergy 30th Anniversary Wildflower Kombucha,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29b87a3d-2254-411a-8de7-a5c504d486c4.png 4x,,,,"Gt's Kombucha*▲, Cold Pressed Ginger Juice, Cold Pressed Lime Juice, Ashwagandha*, Lion's Mane*, Maca Root*, Passion Flower, Butterfly Pea Flower Extract, Juniper Berries, Elderflower, *organically Produced, ▲30-day Ferment Of Kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*, And Cane Sugar*♦, ♦used For Fermentation, Not As An Added Sweetener","Do not shake. Swirl gently.,Perishable. Keep refrigerated. Store upright.","Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
Health-Ade Ginger Lemon,,$9.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_971f746d-e41f-4c52-95e7-4774aa5e18fd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f649474-ca62-4b73-bbb7-4e81bd7d944e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_820b4548-f244-4282-a1f3-e53122329bc3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c708c041-3c16-402c-bc01-5f9d049261b1.jpg 4x",Gluten Free,,"Premium Ingredients: Crafted from organic black and green teas to ensure top-notch quality. No artificial sweeteners, colors, or flavors—just real fruit juice from real, organic produce.,Probiotic Power: Contains live cultures for a happy gut and overall well-being. Probiotics are living bacteria known to improve gut health and contribute to a diverse microbiome.,Organic Acids: During the fermentation process, healthy acids like acetic, lactic, gluconic and glucuronic acids are produced. These powerful “postbiotics” complete the many functions attributed to gut health.,Natural antioxidants: These plant-based substances are known to support your body’s overall health and well-being.","Organic Kombucha [filtered Water, Kombucha Culture (yeast And Bacteria Cultures), Organic Black Tea, Organic Green Tea, Organic Cane Sugar, Carbonation], Cold-pressed Organic Ginger Juice, Cold-pressed Organic Lemon Juice.","Do not shake.,Best enjoyed refrigerated.",,
"Synergy The Real Kombucha, Raspberry Chia",$3.49,$5.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb0b2dce-c24a-41a1-88c4-6307bd41e97a.jpg 4x,Gluten Free,,"Per bottle at time of bottling: Probiotics Bacillus Coagulans GBI-306086: 1 billion organisms, S. Boulardii: 4 billion organisms, Lactobacillus Bacterium: 4 billion organisms, L(+) Lactic Acid: 100 mg, Acetic Acid: 75 mg, Glucuronic Acid: 1400 mg, Gluconic Acid: 650 mg. USDA Organic. Certified Organic by Organic Certifiers, Inc. Gluten-free. Vegan. Organic & unpasteurized. Non GMO Project verified. nongmoproject.org. Aminos + polyphenols. Enzymes + probiotics. Renew. Rebalance. Rebuild. Reclaim. Rekindle. Recharge. 25 Years Young: In 1995, I began bottling Kombucha as a teenager in my parents' kitchen after witnessing my mother consume it religiously during her battle with breast cancer. Her experience inspired my purpose: to introduce this sacred brew to the US in its purest, most potent for for all those seeking better health. Over two decades later, my mission remains stronger than ever to offer the best Kombucha you can find. - GT Dave, Founder. What is Kombucha? Once known as The Tea of Immortality is a fermented drink with origins dating back to 221 BC. This ancient elixir is traditionally and crafted with a sweetened tea base and a like Kombucha culture (Scoby). During fermentation, the Scoby transforms the tea into a bright, tangy, and naturally effervescent beverage with billions of living probiotics to support digestive and immune health. Celebrating 25 years of authentic kombucha. History of Raspberry Chia: Born: 2011. Before chia gained widespread popularity, GT was the first to offer Kombucha with raw chia seeds. Living food for the living body. gtslivingfoods.com. Contact Us: Toll Free: 877.735.8423. How has GT's Kombucha changed your life? Tell us your story at 25th(at)drinkgts.com.","G.t.'s Organic Raw Kombucha*, Raw Chia Seeds*, Raspberry Juice* And 100% Pure Love!!!","Do not shake. Swirl gently.,Store upright.",This product contains a trace amount of alcohol.,
"Synergy The Real Kombucha, Pure",,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0a2899b5-5f15-4e13-8ffc-c45beb8dba6b.jpg 4x,Gluten Free,,"Begin within: Begin with a sip of liquid life and a bold bite that's undeniably electric. Begin with a drink that is living bubbling with nutrients and billions of probiotics. Begin with energy that nourishes your body's vitality, making you feel more alive. Begin with a taste that transforms you from within.- GT Dave, Founder. Words of enlightenment. You can be content wherever you are, so long as you are content within.,• Kosher,• Organic,• Gluten Free,• Vegan","Gt's Kombucha* (kombucha Culture*, Black Tea*, Green Tea*, Kiwi Juice*), 100% Pure Love!!!, *organically Produced","Do not shakes. Swirl gently. Store upright.,Perishable keep refrigerated. May leak or gush if unrefrigerated.","If you are pregnant or breastfeeding, please consult with your healthcare professional before consuming our products. Please Note: Kombucha is a fermented tea that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, sensitivities, or religious beliefs.",
