Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
Harmless Harvest Organic Coconut Water,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b5ac5af-c1e5-456a-9aad-589c0b4facb8.png 4x,,,"Harmless Harvest® Harmless Coconut® Water.,USDA Organic.,Fair for Life - Fair trade.,16 fl oz (473 ml).",Organic Coconut Water*,Store refrigerated.,,
Hawaiian Punch Polar Blast Juice Drink,,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_be0973dc-70a0-4b21-b983-9f2e946badfd.jpg 4x,Gluten Free,,"When it comes to fruit juice drinks, nothing compares to Hawaiian Punch. Bursting with the bold taste of tropical fruit flavors, Hawaiian Punch has a fun and delicious taste kids and the whole family can enjoy anytime and anywhere. Convenient and delicious, Hawaiian Punch is the perfect fruit drink when you want a blast of tropical fruit flavor! Hawaiian Punch goes great with snacks or a meal, is perfect for on-the-go, can easily be packed into a lunch box, and can be enjoyed all by itself. Hawaiian Punch is available in flavors Fruit Juicy Red, Polar Blast, Lemon Berry Squeeze, Orange Ocean, Green Berry Rush, Berry Blue Typhoon, Watermelon Berry Boom, Lemonade, Cowabunga Grape, Pineapple Plunge and many more. There is a Hawaiian Punch fruit juice drink flavor for everyone! Hawaiian Punch is caffeine-free, carbonation-free, gluten-free and is an excellent source of Vitamin C. Created in California, Hawaiian Punch has been an American favorite since 1934. Hawaiian Punch was originally developed from ingredients shipped from Hawaii. In fact, that’s how we came up with the name. Treat your family to the delicious and refreshing taste of Hawaiian Punch. Enjoy the wave of flavor with every sip of Hawaiian Punch!","Water, High Fructose Corn Syrup, Less Than 2% Of: Concentrated Juices (apple, Clarified Pineapple, Passionfruit, Orange), Fruit Purees (apricot, Papaya, Guava), Ascorbic Acid (vitamin C), Citric Acid, Natural And Artificial Flavors, Pectin, Acacia Gum, Ester Gum, Blue 1, Sucralose, Potassium Sorbate And Sodium Hexametaphosphate (preservatives)","For best taste, serve chilled.",,
"Juicy Juice 100% Apple Juice, No Sugar Added",,$5.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a30153e1-043b-4e21-aa64-decc675dd1c0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_beb23222-c77b-445d-9c2a-90221428ba68.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_77d7d8a6-5707-4d82-bc3b-ef8ffed6cb9a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_04861c84-80d1-48a6-ac18-159d4f58c82e.jpg 4x",,,"Enjoy the taste of 100% fruit juice with Juicy Juice Apple Juice. The sweetness in this no sugar added juice comes straight from fruit for a delicious apple flavor kids love. With no added sugar, no high fructose corn syrup and no artificial sweeteners, this 100% apple juice is an excellent choice for the whole family. Juicy Juice makes parents and kids happy by providing 3/4 cup of fruit and 100% of the daily value of Vitamin C per juice box. Pack this juice drink in a lunch box or enjoy the apple juice box for an on the go drink. This eight count pack of 6.75 fl oz Juicy Juice Apple Juice Boxes is perfect for busy families. Try Juicy Juice Apple Juice in a recloseable bottle, perfect for having ready to drink kids juice on hand. With a variety of kids juices, Juicy Juice is the choice that parents can feel good about! Juicy Juice is goodness made juicy.,• Eight 6.75 fl oz Juicy Juice Apple Juice boxes,• 100% juice for a delicious apple taste kids love,• This apple juice provides 100% of the recommended daily value of Vitamin C per juice box,• No sugar added juice with no high fructose corn syrup and no artificial sweeteners,• One 6.75 fl oz apple juice box provides 3/4 cup of fruit to help meet kids’ nutritional needs,• Juicy Juice boxes are perfect to go in lunch boxes or for on the go kids drinks","Apple Juice From Concentrate (water, Juice Concentrate), Ascorbic Acid (vitamin C), Citric Acid.","Refrigerate after opening to maintain freshness and drink within 48 hours.,For best quality use by date stamped on pouches.",Do not drink if boxes are leaking or damaged.,
Tropicana No Pulp Orange Juice,,$5.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c1597bcd-6687-465a-b69e-d17eb7a418d3.png 4x,,,"The perfect combination of taste and nutrition, this 100% orange juice is an excellent source of your daily Vitamin C. Made from carefully selected oranges handpicked at the peak of their flavor and squeezed within 24 hours with no added sugar,* water or preservatives, and never from concentrate.,*Not a low calorie food. See nutrition information for calorie and sugar content.,• 100% fruit juice with no added sugar,* no artificial flavors,• New look bottle, easy to open, pour and store,• A boost of Vitamin C with every sip, plus potassium and folate,• Great for making smoothies, popsicles, mocktails and more,• Try our entire range of delicious orange juice options,• 70 years of crafting orange juice with passion, all year round",100% Orange Juice.,"Shake well for best taste.,Keep refrigerated.,Best if consumed within 7 to 10 days after opening.",,
Bolthouse Farms Amazing Mango®,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94f21b3f-62d3-44df-81c6-0eb7237e857a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9705b1cd-3978-41e5-98fc-801d8501979d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6732b3a9-5c93-4a6c-9063-bd000842925f.png 4x",Gluten Free,,"It starts with the world's most beloved stone fruit. Our mango is grown in humid, tropical climates for natural sweetness. We add the perfect dose of banana, apple and orange to round out its exotic flavor. Perfect for breakfast on-the-go or a mid-day pick-me-up, this Bolthouse juice smoothie is as nutritious as it is delicious!","Mango Puree From Concentrate (water, Mango Puree Concentrate), Apple Juice From Concentrate (water, Apple Juice Concentrate), Orange Juice From Concentrate (water, Orange Juice Concentrate), Banana Puree, Pineapple Juice From Concentrate (water, Pineapple Juice Concentrate), Lemon Juice From Concentrate (water, Lemon Juice Concentrate), Natural Flavors.","Shake well. Settling is natural. Flash pasteurized and cold-filled for quality.,Perishable. Keep refrigerated.",,
Ocean Spray Cranberry Grape Juice Drinks,,$8.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d20302fb-eb27-49a6-9784-a3f5ca3aca41.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_338f9b1b-aba7-4258-a5ef-54c7a37909fe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aa236600-9d4b-4d96-80fc-103a46aad93e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19e9a084-2b04-44bf-be51-48b51b704968.jpg 4x",,,"Make the bold choice. Quench your thirst with extra juicy Ocean Spray® Cran-Grape® Cranberry Grape Juice Drink. This maverick mashup features sweet, full-bodied grapes and crisp, tart cranberries for a beverage bursting with flavor. It's a radically refreshing grape and cranberry juice drink. Made from real fruit juice concentrate. With no high fructose corn syrup. Cran-Grape® provides 100% of your recommended daily value of vitamin C in a single serving. Use this juice drink as a cocktail mixer for your favorite cocktails. Use it to craft mocktail beverages. Freeze it into ice pops and flavor-packed ice cubes. Do what you like, this juice drink will bring the flavor. All this made possible by the 700+ cranberry farming families that make up our co-op. Our owners. Our heartbeat. Our inspiration. Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™,• Six (6) 10 fl oz juice bottles of Ocean Spray® Cran-Grape® Cranberry Grape Juice Drink,• An unapologetically bold mashup of cranberry and grape made from real juice concentrate for an insanely delicious juice drink that you can feel good about,• 100% of your recommended daily value of vitamin C per serving with no high fructose corn syrup,• Try adding Cran-Grape® to mixed drinks and beverages for extra bold flavor, or enjoy on its own and bring it with you wherever you go for a portable thirst-quencher,• Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™","Filtered Water, Grape Juice (water, Grape Juice Concentrate), Sugar, Cranberry Juice (water, Cranberry Juice Concentrate), Fumaric Acid, Natural Flavor, Sodium Citrate, Ascorbic Acid (vitamin C), Vegetable Concentrate For Color, Citric Acid","Must refrigerate after opening.,For best quality and freshness, use within two weeks after opening.",Safety Cap: Purchase this product only if the cap and neckband are intact.,
Mott's 100% Original Apple Juice,,$9.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5cfacde9-3b30-4de6-8925-3f19ad9002c9.jpeg 4x,,,"Nothing satisfies quite like Mott’s Original Apple Juice. Packed with ripe apple flavor, Mott’s Original Apple Juice is 100% fruit juice and delivers 2 servings of fruit in each 8 fl. oz cup, per current USDA Dietary Guidelines. It’s also an excellent source of Vitamin C, contains no added sugar and has a delicious taste the whole family will love. Mott’s Original Apple Juice is the perfect refreshment at dinnertime, lunchtime, or any time. Apples have always nourished us, inspired us, and provided for us. Mott's provides the nutrition and taste of real fruit that families have trusted since 1842, when our founder - Samuel R. Mott's - began growing and packaging apples in New York. In the years since then, Mott’s commitment to apple excellence and high-quality products has continued to provide healthy, delicious juices and snacks. Treat your family to the classic taste of Mott’s Original Apple Juice.","Concentrate, Water, Apple Juice Ascorbic Acid (vitamin C).",Refrigerate after opening.,,
"Simply Light Lemonade, Non-Gmo",,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03372740-7ac9-4852-b284-8b4cfc18858b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bfa964f5-a857-488e-bdf5-929db6a29575.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78a3858d-45ee-45ef-8734-bb4b7ea2856b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a640759e-2edd-46a8-898a-75294635097b.jpg 4x",,,"The undeniable, incomparable taste of lemonade often comes with visions of summertime. Hot sunny days, cold glass pitchers and curbside lemonade stands. Simply Light Lemonade has taken that classic lemonade experience and done something different. And, it’s surprisingly refreshing—even with 75% less sugar and calories than our regular lemonade. With its perfect balance of tasty and simple ingredients, you can enjoy a tall glass of ice-cold lemonade drink with fewer calories.*,Light, flavorful and refreshing, this is the epitome of an afternoon drink for when you’re craving something delicious. It goes perfectly with any meal or snack, and is especially good in the summer—when lemonade always tastes best.,Non-GMO and fewer calories,* Simply Light Lemonade is made with real lemon juice, so it doesn’t sacrifice the lemonade taste you know and love—making it the perfect juice drink and a great choice for anyone looking for a fresh-tasting lemonade.,Other flavors like Light Lemonade with Raspberry offer a variety of options for when you want to shake things up. But at the end of the day, Simply Light Lemonade uses high-quality ingredients to give you a deliciously satisfying lemonade. After all, we believe that the best things are made simply.,With Simply Light Lemonade, the difference is clear. Because with Simply, there’s nothing to hide.,*75% less sugar and calories than our regular lemonade.,Calories: This product contains 25 calories. Simply Lemonade contains 120 calories.,Sugar: This product contains 5g of sugar. Simply Lemonade contains 28g of sugar.,• Made with real lemon juice,• Light on calories* — 25 calories per 8 FL OZ,• Classic, fresh lemonade taste,• Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• With Simply, you always have a “Fresh Taste Guarantee”","Pure Filtered Water, Lemon Juice, Sugar, Stevia Leaf Extract, Natural Flavors","Shake well.,Keep refrigerated.,Best if used within 7-10 days after opening.",,
Minute Maid Tropical Punch Carton,,$3.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e1a77271-7f7a-4c4f-8adf-5eaa26272f7a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_91432845-3188-4c8e-8a5f-16a2a2fb273a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d2384d3-55c0-414d-b0f6-6d82611a077c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45e5f3ce-e113-4fa0-b4cb-421a62595523.jpg 4x",,,"From enjoying flavorful fruit punches as a kid to providing your family with delicious fruit drinks as an adult, the Minute Maid brand has been bringing goodness to your family for 75 years. And Minute Maid fruit drinks and juices carry on the tradition of good.,All our punches are filled with flavors that tickle your taste buds and have you ready for your next glass. These fruit drinks will satisfy your need for refreshment, and leave you pleased as punch. There is a variety of sizes available to you so you can enjoy the delicious goodness of Minute Maid fruit drinks on-the-go or at home.,Minute Maid has prided itself for generations on providing quality products to families around the world. With more than 100 different flavors and varieties from 100% orange juice to 100% apple juice, and lemonades to punches, we use high quality ingredients to ensure you get delicious, quality juice and juice drinks.,Delicious and refreshing juice beverages for the whole family. Now that sounds good.,• Enjoy a refreshing classic with Minute Maid Tropical Punch,• Made with real fruit juice and natural flavors,• 59 fl oz carton, so you can share the goodness with your friends","Pure Filtered Water, High Fructose Corn Syrup, Pineapple And Orange Juices From Concentrate, Less Than 1% Of: Passionfruit And Grape Juices From Concentrate, Natural Flavors, Citric Acid (provides Tartness), Grape Skin Extract (for Color), Sucralose","Shake and pour. Shake well.,Keep refrigerated.,Best if used by above date. Best if used within 7-10 days after opening.",Do not use product if plastic inner seal is broken.,
Kool-Aid Jammers Grape Flavored Kids 0% Juice Drink Pouches,$3.39,$3.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c45c503b-6ecf-4165-ac9d-dbacaac1c890.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef820f96-6ff0-4696-9cd6-f34212570cba.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a272c0c9-1e0a-4f49-a791-973c52204650.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b7949dca-8484-413a-ae3c-8a3092f3b631.jpg 4x",,,"Kool-Aid Jammers Artificially Flavored Grape Drink Pouches deliver classic juice box fun with a sweet, juicy blend of robust grape flavor. Our delicious kids drinks contain 55% less sugar than leading regular sodas, making them the perfect anytime beverage. Packed in a convenient juice pouch, kids can enjoy Kool-Aid at home, at the beach or with their school lunch. Each box of Artificially Flavored Grape Kool-Aid Jammers contains ten 6 fluid ounce juice pouches to enjoy anywhere. If your kids love juice boxes, try Kool-Aid Jammers. Available in a rainbow of flavors!,• Ten 6 fl oz pouches of Kool-Aid Jammers Artificially Flavored Grape Drink,• Kool-Aid Jammers Artificially Flavored Grape Drinks kids juice pouches are bursting with fun flavors,• Our fruity kids drinks are packed in juice pouches that are easy to open and enjoy on-the-go,• Each juice pouch contains 55% less sugar than leading regular sodas (our product 16g total sugar, leading regular sodas 40g total sugar per 12 fl. oz. serving),• Kids love our drink pouches packed with fruit flavors,• Perfect for school lunches or on-the-go snacks,• SNAP & EBT eligible food item","Filtered Water, High Fructose Corn Syrup, Contains Less Than 2% Of Citric Acid, Ascorbic Acid (vitamin C), Natural And Artificial Flavor, Sucralose (sweetener), Sodium Citrate, Red 40, Blue 1, Calcium Disodium Edta (to Preserve Freshness)",Insert straw into pouch.,"Do not drink if pouch is leaking, damaged, or swollen as fermentation can occur.",
Snapple All Natural Kiwi Strawberry Flavored Juice Drink,$2.49,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca0432e1-65ae-4151-b243-59c7e6912e98.jpeg 4x,Gluten Free,,"Flavored juice drink from concentrate with other natural flavors. 5% juice from a blend of kiwi and strawberry juices. All natural. Kiwi meets berry. Made from the best stuff on Earth! 190 calories per bottle. Contains 5% juice. Gluten free. When we set kiwi and strawberry up on a date, we were a little worried. Kiwi loves lazy weekends filled with crossword puzzles, while strawberry's always been a wild child. We got our start in New York, so our adventurous New York roots told us to go for it. The second they came together, it was beautiful. Tangy. Delicious. And made from the best stuff on Earth. Please recycle. Call us at 1-800-762-7753 or visit us at snapple.com.","Filtered Water, Sugar, Kiwi Juice Concentrate, Citric Acid, Strawberry Juice Concentrate, Natural Flavors, Acacia Gum, Vegetable Juice Concentrates (for Color), Ester Gum.",Refrigerate after opening.,Safety button pops up. Safety button pops up when original seal is broken. Reject if button is up.,
Calypso Southern Peach Lemonade,,$2.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78c7eb09-549f-4943-b494-cddb13b460a4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d4919811-f0ec-4950-8fdb-117ad35418ec.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4ef7dbe2-304e-4f27-8aa5-b5717e8308ba.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e1406ab6-fa79-4eeb-9486-d237b20a0580.jpg 4x",,,"Taste of the islands. Real lemon bits. Today's forecast: Chill. 8% juice. Make it a mixer. Island inspired. Taste of the Islands: The more south you go, the sweeter the peaches get. If that's true, why stop at The South? Keep going, I say, straight down to the islands. But if you end up sipping a Southern Peach with a penguin, Stop! You've gone too far. - Jojo.,Natural flavor.","Filtered Water, Sugar, Lemon Juice From Concentrate, Citric Acid, Natural Flavors, Lemon Fruit Pulp, Peach Juice From Concentrate, Modified Food Starch, (apocarotenal, Vegetable Juice) For Color, Edta To Protect Color","Shake well.,Refrigerate after opening.",,
"Fruit of the Earth Aloe Vera, Natural",,"$13.49Buy 1, Get 1 For 50%", https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5182f64e-4e8a-496c-9389-1b5f6eb8b25a.jpg 4x,,,"99.8% pure aloe. From 100% cold processed inner gel fillet. Drink to your health! Since 1980. Fruit of the Earth uses only fresh aloe vera gel from the miracle plant of the ages. Our Aloe Vera is full strength: contains no sugars, starches, added flavors or thickeners. Taste: you may notice a difference in the taste between Fruit of the Earth full strength aloe vera and other brands. 99.8% pure aloe vera has a distinctive taste which may not be present in products of lesser purity regardless of label claims. Contains 99.8% aloe vera. Important: Fruit of the Earth Aloe Vera Juice may darken slightly in color due to seasonal variations. Tiny particles of aloe vera may settle after standing. Simply shake bottle to disperse. Both darkening and settling are normal and in no way affect purify and efficacy. Did you know? Fruit of the Earth has been offering premium aloe vera products for over 30 years and you, our valued customer, have made fruit of the Earth America's favorite aloe. Millions of Gallons Sold! Uses the precious inner gel fillet of the leaf to insure the purest unadulterated aloe for maximum efficacy. Specifies a proprietary hand filleting process which insures that our aloe vera is as close to the natural plant as possible. Our aloe vera is harvested from the fields and processes on the same day to assure freshness and quality. Made with pure aloe vera. www.fote.com. Pleas recycle. At fruit of the Earth we pride ourselves in being 100% American owned and operated. Made in USA.","Organic Aloe Vera Gel (water And Aloe Vera Gel Concentrate), Citric Acid, Sodium Benzoate (a Food Preservative At 1/10 Of 1%).",Shake well. Refrigerate after opening. Notice: this bottle has a tamper resistant seal which must be broken to dispense the product. Drink 4 to 8 ounces at meal time or as desired. Delicious right out of the bottle or mix with your favorite juice. Good for 1 month once opened.,,
"Snapple Juice Drink, Kiwi Strawberry",,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d22a925-20f5-4b87-8341-c1433a977756.jpeg 4x,Gluten Free,,"Snapple Kiwi Strawberry is the perfect blend of tangy kiwi (the fruit, not the bird!) and delicious strawberry. Kiwi and strawberry are a match made in flavor heaven. Do yourself a flavor! Snapple Kiwi Strawberry is all natural, gluten-free, made from 3% real juice, and contains no artificial flavors or sweeteners. Even better, our 16oz and 20oz bottles are recyclable and made from 100% recycled plastic, excluding the cap and label. Snapple always brings the flavor. That's what we have been doing ever since we were a small brand created by three friends in the New York area. We started out by selling our apple juice to health clubs in 1973. Since then, we have expanded our flavor portfolio throughout the 80s into teas, fruit drinks, and lemonades. Snapple went national in the early 90s, and now you can find us in more than 30 flavors and in all 50 states across the country. And for an extra dose of fun, don't forget to check out our Snapple 'Real Facts' under our caps!","Filtered Water, Sugar, Kiwi Juice Concentrate, Citric Acid, Strawberry Juice Concentrate, Natural Flavors, Acacia Gum, Vegetable Juice Concentrates (for Color), Ester Gum.",Refrigerate after opening.,,
SunnyD Tangy Original Orange Juice Drink,$9.19,$11.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7d000ca9-ce76-4105-a477-b67d8b406a72.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62599b39-660f-4dd1-9a81-9f0f4cd6ce68.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56d3c99d-e12c-45b1-8c84-34572f611c86.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_52cc12f7-abd9-47f9-bc4e-6a7d2ef2b49b.jpg 4x",,,"Experience the one-of-a-kind flavor of SUNNYD Tangy Original Shelf Stable Orange Juice Drink. This orange juice drink has the classic tangy flavor only found when sipping SUNNYD Orange Drink. Bright orange in color, this vitamin C drink has a boldly unique flavor that makes SUNNYD a perfect drink for the whole family. With 80% daily value of vitamin C and just 50 calories per bottle, this citrus punch contains 5% fruit juice, making it a delicious option for kids fruit juice drinks. Enjoy this SUNNYD drink anytime for a refreshing, bold-tasting beverage. This 18 pack of individual kids drinks makes it easy to pack drinks in lunches. SUNNYD should be kept in the refrigerator after opening. Try SUNNYD in a juice pouch or reclosable bottle so you can bring SUNNYD with you wherever you go. With a taste unlike anything else, SUNNYD is the orange drink with a one-of-a-kind flavor for a one-of-a-kind you.,• One 18 count pack of 6.75 fl oz bottles of SUNNYD Tangy Original Shelf Stable Orange Juice Drinks,• Bold orange drink with a tangy flavor that is uniquely SUNNYD,• Kids drinks with 5% juice and 50 calories per bottle,• Single serve vitamin C drink with 80% daily value per bottle,• Pour a glass to go with meals and snacks or enjoy a SUNNYD drink as a refreshing beverage on its own,• Bottle pack provides 18 bottles of tangy orange drink,• Boldly original orange juice drink","Water, High Fructose Corn Syrup And 2% Or Less Of: Concentrated Orange Juice, Concentrated Tangerine Juice, Concentrated Apple Juice, Concentrated Lime Juice, Concentrated Grapefruit Juice, Concentrated Pear Juice, Citric Acid, Ascorbic Acid (vitamin C), Thiamin Hydrochloride (vitamin B1), Natural Flavors, Modified Cornstarch, Canola Oil, Sodium Citrate, Cellulose Gum, Sucralose, Sodium Hexametaphosphate, Potassium Sorbate To Protect Flavor, Yellow #5, Yellow #6, Calcium Disodium Edta To Protect Color.","Shake well before each serving.,See best buy date on bottle.",Do not purchase if seal is broken.,
Capri Sun Wild Cherry Naturally Flavored Juice Drink Blend,,$3.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90f15750-2e99-4d87-953b-c8d0b338ec48.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9d7348e8-372c-41cd-bf11-c1639841695d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f852d7bf-8804-4a1c-83e0-1d85d7c50865.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bdbfa763-197c-4d20-9fc4-2aeb247742cd.jpg 4x",,,"Capri Sun Naturally Flavored Wild Cherry Juice Drink Blend offers an all natural drink option conveniently packaged in individual juice pouches for maximum portability. Each juice pouch of ready-to-drink fruit juice captures the sweet, juicy flavor of ripe cherries in a kids juice drink that will remind them of their favorite juice box. Our 10 count box of cherry juice pouches contain no artificial colors, flavors or preservatives and no high fructose corn syrup. That's what makes Capri Sun as epic as the kids who drink it. Each 6 fluid ounce wild cherry single-serve pouch contains 30% less sugar than leading regular juice drinks (our product has 13 grams of sugar; while leading regular juice drinks have 20 grams of sugar per 6 fluid ounce serving). If your kids love juice boxes, try Capri Sun! Our thirst-quenching kids drinks come in 10 individual juice pouches with attached straws for convenience.,• One box of Capri Sun Wild Cherry Flavored with other natural flavor Juice Drink Blend (10 ct 6 fl oz pouches),• Capri Sun Naturally Flavored Wild Cherry Juice Drink Blend is a fun, refreshing kids juice with all natural ingredients,• Our ready-to-drink juice pouches offer a convenient way for kids to hydrate,• A blast of cherry flavor from natural ingredients gives our kids drinks an extra juicy taste,• Packaged in a convenient and iconic pouch for school lunches and on-the-go activities,• Quench your thirst with our delicious ready-to-drink juice blend,• SNAP & EBT eligible food item","Filtered Water, Sugar, Pear And Cherry Juice Concentrates, Citric Acid, Grape And Apple Juice Concentrates, Monk Fruit Concentrate, Natural Flavor, Mushroom Extract (to Protect Quality)",Insert straw into pouch.,"Do not drink if pouch is leaking, damaged, or swollen as fermentation can occur.",
Ocean Spray Ruby Red Original Grapefruit Juice Drink,,$7.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6fd71737-de43-4d1b-abb5-ef7f48b22417.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a815d2e-eaca-403f-91c2-f89c13869c6d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fe7c7567-ad6f-46ce-818f-e610a0d75c10.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f75edd2c-af55-459b-9781-e6d3a327c012.jpg 4x",,,"Wake up your taste buds with invigorating Ocean Spray® Ruby Red Grapefruit Juice Drink. Savor the bright, radically refreshing flavor of grapefruit ""Straight from the Grove®"" in every bottle. With 100% of your recommended daily value of vitamin C per serving and no high fructose corn syrup, this fruit juice drink delivers a punch of flavor without compromise. Use this Ruby Red Grapefruit Juice Drink as a cocktail mixer to add bold flavor and color to drinks. Or enjoy a chilled glass on its own to brighten your morning. All this made possible by the farming families that make up our co-op. Our owners. Our heartbeat. Our inspiration. Ocean Spray believes in boundless fruit power; Born Tart. Raised Bold.™,• One (1) 64 fl oz bottle of Ocean Spray® Ruby Red Grapefruit Juice Drink,• Made from real grapefruit juice from concentrate for a sweet and tangy beverage,• 100% of your recommended daily value of vitamin C per serving with no high fructose corn syrup,• Add to your favorite beverages or elevate your every day with new drink recipes; the possibilities are endless,• Ocean Spray believes in boundless fruit power; Born Tart. Raised Bold.™","Filtered Water, Grapefruit Juice (water, Grapefruit Juice Concentrate), Sugar, Grapefruit Juice Pulp, Citric Acid, Natural Flavor, Vegetable Concentrate For Color, Sodium Citrate, Ascorbic Acid (vitamin C), Beta-carotene For Color.","Must refrigerate after opening.,For best quality and freshness, use within two weeks after opening.",Safety Cap: Purchase this product only if the cap and neckband are intact.,
POM Wonderful Wonderful 100% Pomegranate Juice,,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c54f50c-8cdd-4bf1-80d5-dccbaa523810.png 4x,,,"POM Wonderful 100% Pomegranate Juice. A little sweet, a little tart, and powered by pomegranate antioxidants, POM Wonderful 100% Pomegranate Juice is a whole lot of healthy. Every 16oz bottle of POM is made with the juice from four whole pressed California pomegranates and nothing more – no fillers, and never any added sugar. So raise a glass to life and to the pursuit of healthiness. Drink it daily. Feel it forever",100% Pomegranate Juice From Concentrate,"Shake well.,Keep refrigerated.,Best if used by date on cap.",,
