Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,"Quench your thirst and keep your little ones hydrated with Pure life Purified Water, No Added Fluoride. With no artificial colors or flavors and zero calories, each drop is trustworthy from collection to testing, ensuring your baby is getting the quality they deserve. This baby water is enhanced with minerals for a crisp taste and can be handy for many uses. Mix it with infant formula, cereal or to dilute juice. And because it contains no added fluoride or unwanted ingredients, you can trust every sip. Contains (1) 1-gallon jug of Pure life Purified Water. Order now on Instacart for same-day delivery or pickup!",Treenut Free
"Bai Cocofusions Molokai Coconut, Antioxidant Infused Beverage",$1.79,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e352b10-7dd8-48ab-b057-e89301dcab39.jpeg 4x,"What does paradise taste like? We’re not sure but we think it’s gotta taste like the big, authentic flavor of Bai Molokai Coconut. At Bai, our water beverages deliver beyond basic hydration. Every exotic flavor is infused with antioxidants and other benefits. Not only is Bai Molokai Coconut deliciously bold and refreshing, but it has electrolytes, 1 gram of sugar, and contains no artificial sweeteners. We’ve added zinc which—in combination with Vitamin E—helps support a healthy immune system. Every hydrating sip hits a flavorful high note thanks to being sweetened with Stevia. And we’ve bottled it up in packaging made from 100% recycled plastic, excluding cap and label. Bai’s approach to innovation guides us in our quest to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. It’s a future too marvelous to exist only in our imaginations. We want everyone to experience it. Bai Molokai Coconut. It’s WonderWater.","Filtered Water, Coconut Water Concentrate, Potassium Citrate, Citric Acid, Acacia Gum, Stevia Leaf Extract, Natural Flavors, Sea Salt, Tea Extract, Green Coffee Bean Extract, Malic Acid, Coffee Fruit Extract, Monk Fruit Extract (natural Flavor), Dl-alpha Tocopheryl Acetate (vitamin E), Zinc Sulfate","Shake well.,Refrigerate after opening.",Contains: coconut.,,,,,
Spindrift Sparkling Water & Real Squeezed Lemon 8 Pack,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45a1f776-1e41-44d6-81e6-cc434850f98e.png 4x,"When life hands us lemons (from family farms in California), we make them sparkly. Our Lemon is a classic, flavorful sparkling water. It tastes just like if you ordered “sparkling” at a restaurant and squeezed lemon slices into it. Except much more portable. Treat yourself to a classic, tart flavor!,• 3% fruit juice,• 3 calories per can,• 0g sugar added,• Unsweetened,• Certified gluten free,• Non-GMO project verified,• Kosher,• Never from concentrate","Carbonated Water, Lemon Juice.",{},Warning: Contents under pressure.,,,,,
Eternal Water Alkaline Water,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ddce1dce-1ea2-488e-b885-c1f979be7e26.png 4x,"Nature's perfect water: Eternal water is sourced from naturally alkaline springs.,Our water filters through layers of ancient rock absorbing essential minerals making it naturally alkaline.,These layers of rock also provide protection from pollution, providing a pure & pristine source of water.,It arrived in this bottle as nature intended - eternally perfect.,Natural pH 7.8 - 8.2 (approximate pH at time of bottling. Actual pH can vary due to natural fluctuation).","No additives, pure, unadulterated spring water.","Store in a cool, clean, dry place away from sunlight.",,,,,,
Polar Seltzer Lime,$5.79,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_85251b0f-f0e0-438f-92a4-e6f2a8f947a9.jpeg 4x,"Lime Polar Seltzer clean, crisp and classic…nothing more, nothing less. Polar Seltzer Premium Sparkling Water. Tiny Bubbles: The sparkle sets us apart. We've been perfecting the process of making our signature bubbles, with their long-lasting carbonation and crispness, since 1882. The bubbles are created by carefully dissolving Co2 into water at high pressure and freezing temperatures without exposing the flavors to oxygen. Other people may add sodium or sweeteners to shortcut the road to quality – we do not. Natural Flavors: The taste of our seltzers is defined by the quality ingredients of the ingredients we used. Our approach is to use only the highest-quality, proprietary combinations of flavors and aromas for depth and complexity. These ingredients are extracted and distilled from natural sources (such as lemon peel, lime, mint, etc.) to create highly concentrated “essences”. Relying on copious amounts of these very precious oils, we never skimp when it comes to taste. Triple-Filtered & Locally Sourced Water: Our water is locally sourced and then triple-filtered with our state-of-the-art process to ensure a consistent and authentic Polar Seltzer taste. NO sodium, fluoride, or other funny business added. This is why Polar Seltzer makes for health smart hydration. Family Made Since 1882: Just water, zillions of tiny bubbles, and great taste. Our family has been crafting Polar Seltzer with these same ingredients since 1882. That’s 138 years to perfect what our great-great-grandfather called the world’s best-tasting bubble recipe. At Polar Beverages we work hard to keep things uncomplicated, refreshing and endlessly creative. Take a sip, and let us know.","Contains Carbonated Water, Natural Flavors",{},,Gluten Free,,,,
"Bai Cocofusions Molokai Coconut, Antioxidant Infused Beverage",,$3.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7fa1d376-c6f3-4763-aad8-028d65958d2d.jpg 4x,"Everyone loves coconut. We took a poll, and it was unanimously pro-coco. Just like our other Bai flavors, our Cocofusions have 1 gram of sugar, no artificial sweeteners, and are infused with antioxidant goodness. At Bai, we’ve reimagined and expanded water’s superpowers beyond basic hydration. Bai® beverages are antioxidant, plant-powered infusions that deliver more than you ever expected from regular H2O. We wondered what water could truly become, and then we made it. Bai, It’s WonderWater™. Bai Antioxidant Infusions are flavored water beverages that deliver delicious fruity refreshment with 10 calories and 1 gram of sugar per bottle. With no artificial flavors or sweeteners, Molokai Coconut Bai is exotic-flavored, infused with tea extract for plant-based caffeine, gluten free, and low glycemic impact. Bai Antioxidant Infusions deliver refreshing, bold fruit flavor for those seeking better alternatives to beverages with high sugar and calories. Everyone at Bai® is committed to bringing this world to life. It’s a future too marvelous to exist only in our imaginations. We want everyone to be able to experience it. Bai’s approach to innovation guides us in our quest. We are eager to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. Because that’s the only way to make this world of better beverages a reality. And with every sip you take, we all are one step closer to our envisioned future.","Filtered Water, Bai Proprietary Sweetener Blend (erythritol, Stevia Leaf Extract), Coconut Water Concentrate, Natural Flavors, Potassium Citrate, Citric Acid, White Tea Extract, Sea Salt, Coffeefruit Extract, Malic Acid, Vitamin E (d-alpha Tocopherol).","Shake well, refrigerate after opening.",,Soy Free,,,,
Core Hydration Nutrient Enhanced Water,,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7cf450f5-07b3-4264-b545-d36815db4fbc.jpg 4x,"Core Hydration is perfectly balanced pH water designed to work in harmony with your body’s natural pH of 7.4*. Purified and enhanced with electrolytes and minerals, Core Hydration is designed for an active lifestyle and will help you stay feeling your best. Core believes true balance is on the inside as well as the outside, that’s why Core is committed to a more sustainable future. Now, in addition to Core being recyclable, it’s bottles are also made with 100% recycled plastic (excludes cap and label)! Core is available in five sizes, including a wide mouth sports cap. The bottle was also envisioned with your lifestyle in mind — the contoured silhouette makes it easy to hold when on the go, the wide mouth opening makes hydrating quicker and the cup cap makes it easier to share with friends. Hydrate with the clean, crisp taste of Core and enjoy staying balanced. Find Your Balance. Find Your Core.","Reverse Osmosis Water, Calcium Chloride, Magnesium Chloride And Potassium Bicarbonate (electrolyte & Mineral Sources) For Taste And Hydration.",{},,,,,,
Essentia Water,,$7.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7b9aef00-66ce-4a63-a757-3cc36f0d97e2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4354b830-7df6-4aa9-a387-36ca0821d1bd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d59d72b1-4637-4021-a2dc-6fec976bdc57.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e61e0034-dabf-4a4e-89ba-41be29ad417f.jpg 4x","Essentia Water Is Supercharged Ionized Alkaline Water So You Can Do The Things That Matter Most To You And Stop For Nothing. Essentia’S Proprietary Three-Step Ionization Process Produces Overachieving H2O That’S 99.9% Pure With A Ph Of 9.5 Or Higher And A Clean, Smooth Taste. Step 1: Unwanted Particles Are Removed Through Microfiltration And Reverse Osmosis, Making Essentia 99.9% Pure. Step 2: The Water Is Infused With Trace Amounts Of Electrolytes; Not Just For Taste, But To Better Complement The Body’S Natural Mix. Step 3: Bitter-Tasting Acidic Ions Are Removed, Creating A High Alkaline Water With Ph Levels Of 9.5 Or Higher. Available In A Variety Of Sizes, Essentia Water Bottles Are Recyclable, Bpa-Free Plastic Bottles Available In Cases And Multi-Packs. This Convenient 6-Pack Of 500Ml Bottles Is The Perfect Grab-And-Go Size To Take With You When You’Re Out Doing What Matters Most To You.,• ESSENTIA WATER 500mL 6-PACK: This case of six 500mL (16.9 Oz) Essentia Water bottles of ionized alkaline water that’s 99.9% pure with a pH of 9.5 or higher and a clean, smooth taste — so you can stop for nothing.,• 99.9% PURE: Essentia Water is purified with micro filtration and reverse osmosis technology, resulting in Overachieving H2O that is 99.9% pure.,• ENHANCED WITH ELECTROLYTES: Our proprietary blend of electrolytes is added not only for taste, but to complement the body's natural mix.,• IONIZED HYDRATION: Our proprietary ionization process produces clean, smooth-tasting 9.5 pH water by removing bitter-tasting acidic ions.,• TAKE HYDRATION TO THE NEXT LEVEL: Essentia Water is Supercharged Ionized Alkaline Water. So you can do what matters most to you and stop for nothing.","Purified Water, Sodium Bicarbonate, Dipotassium Phosphate, Magnesium Sulfate, Calcium Chloride.",{},,,,,,
Maison Perrier Ultimate Sparkling Water,$7.49,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e23d117-e225-4c64-815f-c3d60827485f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_03a599fa-19a2-460d-8f71-310c6430bc2a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_79e09c6f-5e8d-42d3-8bf7-c548e95daa56.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_051199e0-f459-44da-8c60-1d283945ed21.jpg 4x","• One pack of eight 11.15 fl oz cans of Maison Perrier Ultimate Unflavored Sparkling Water with natural electrolytes for taste,• An exciting new range of premium sparkling water beverages inspired by the iconic legacy of Perrier, Maison Perrier Ultimate brings you a new product with the same uplifting experience you love,• Maison Perrier premium sparkling water has 0 calories,• From the makers of Perrier, Maison Perrier water is bottled in the South of France for impeccable taste,• Unflavored sparkling water is a great alternative to sugary sodas, tonic water, seltzer water, other carbonated drinking water or club soda water,• Maison Perrier sparkling water comes in cans that are a perfect companion for taking with you for premium refreshment on the go,• SNAP and EBT Eligible item,Indulge In The Ultimate Refreshing Experience With Maison Perrier Ultimate Unflavored Sparkling Water. A New Premium Sparkling Water Beverage Inspired By The Iconic Legacy Of Perrier, Maison Perrier Is A Sparkling Water With Natural Electrolytes For Taste. French And Sophisticated, Maison Perrier Water Is Bottled In Vergeze, France. This Sparkling Water Contains Zero Calories, Making It A Great Alternative To Sugary Sodas, Tonic Water, Seltzer Water, Other Carbonated Water Or Club Soda Water. Maison Perrier Sparkling Water Is A Deluxe Beverage And A Perfect Ingredient For Extraordinary Mixed Drinks Or Delicious Non-Alcoholic Mocktails. Enjoy One At Home Or On The Go. For Peak Refreshment, Enjoy These Cans Of Sparkling Water Slightly Chilled. For More Refreshment From The Makers Of Perrier Water, Try Other Delicious Varieties, Including Maison Perrier Peach Flavored Or Maison Perrier Blackberry Flavored Sparkling Water. Delight Your Taste Buds With Maison Perrier Ultimate Sparkling Water. The Ultimate Bubbles. The Ultimate Refreshment.","Water, Carbon Dioxide","Keep in a clean, cool, dry and odorless place, away from direct sunlight and freezing temperatures.,Best Before: See base of can.",,,,,,
Spindrift Sparkling Water & Real Squeezed Grapefruit 8 Pack,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4be9a689-bc03-405b-8491-c2f0821371d0.png 4x,"Unsweetened. Yup, that's it. We squeezed 1 real grapefruit into this 8-pack of sparkling water. Fruit from farms. This is the place - we'd normally write our origin story. Tell you all about how our founder Bill started Spindrift by squeezing fruit into sparkling water for his family. But instead, we decided to use this space to get real with you. Really real. Real like sparkling water and real squeezed fruit from real family farms real. So real you can really taste it. Better yet, you can really see it. It's the real deal. Also real: we think Spindrift tastes really great. You'll just have to try it for yourself. For real. Cheers! Just sparkling water & real squeezed fruit. Cans: Infinitely recyclable.","Carbonated Water, Grapefruit Juice, Orange Juice, Lemon Juice, Hibiscus (for Color).",{},Warning: Contents under pressure.,,,,,
Maison Perrier Forever Lime Flavored Sparkling Water,,$14.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b6d8677-1cfa-48f3-8ff4-429d629a8ba0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_121df3e0-1bc5-4fd6-bc78-79a33449dbe6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9c6d49d3-6af4-4024-b99f-70e5d38cbbbb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0bf8027e-143b-4720-a408-649cfaed4695.jpg 4x","• One pack of eight 11.15 fl oz cans of Maison Perrier Forever Lime Flavored Sparkling Water,• An exciting new range of premium sparkling water beverages inspired by the iconic legacy of Perrier, Maison Perrier Forever Lime brings you a new product with the same uplifting experience you love,• Enjoy the bold, invigorating bubbles of Mason Perrier sparkling water with a zesty lime flavor for a luxurious, thirst-quenching taste,• Maison Perrier premium sparkling water is made without sweeteners and has 0 calories,• From the makers of Perrier water, Maison Perrier sparkling water is bottled in the South of France,• Lime flavored sparkling water is a great alternative to sugary sodas, tonic water, seltzer water, other carbonated drinking water or club soda water,• SNAP and EBT Eligible item,Indulge In A Refreshing Burst Of Flavor And Bold Bubbles With Maison Perrier Forever Lime Flavored Sparkling Water. A New Premium Sparkling Water Beverage Inspired By The Iconic Legacy Of Perrier, Maison Perrier Is An Unsweetened Sparkling Water With Natural Flavors. French And Sophisticated, Maison Perrier Lime Flavored Sparkling Water Is Bottled In Vergeze, France. This Lime Flavored Sparkling Water Contains Zero Calories And Sweeteners, Making It A Great Alternative To Sugary Sodas, Tonic Water, Seltzer Water, Other Carbonated Water Or Club Soda Water. Maison Perrier Sparkling Water Is A Deluxe Beverage That Is The Perfect Ingredient For Extraordinary Mixed Drinks Or Delicious Non-Alcoholic Mocktails. Enjoy One At Home Or On The Go. For Peak Refreshment, Enjoy These Cans Of Sparkling Water Slightly Chilled. For More Refreshment From The Makers Of Perrier Water, Try Other Delicious Flavors, Including Maison Perrier Peach Flavored And Maison Perrier Blackberry Flavored Sparkling Water. Delight Your Taste Buds With This Maison Perrier Forever Lime Flavored Sparkling Water. Forever Irresistible. Forever Flavorful. Forever Lime.","Water, Carbon Dioxide, Natural Flavors.","Keep in a clean, cool, dry and odorless place, away from direct sunlight and freezing temperatures.,Best Before: See base of can.",,,,,,
evian Natural Spring Water,,$8.69,,"Evian Natural spring water from the French Alps. evian water starts as snow and rain on the peaks of the pristine French Alps. Protected deep in the heart of the mountains, each drop filters through layers of mineral-rich glacial sands for over 15 years. evian natural spring water begins as snowflakes and mountain rain, naturally filtered through glacial rocks for over 15 years, giving evian its purity, mineral content and neutrally balanced 7.2 pH for delicious natural spring water. Pure as nature intended, the water springs from the source in Evian-Les-Bains where it's been bottled since 1826. Our pure bottled natural spring mineral water is always a refreshing, naturally hydrating drink. Its quality and taste make it perfect for serving by the glass, or drinking directly from the bottle at home, at school or at the gym. evian is committed to the environment & respecting the water cycle. Our recyclable plastic bottles contain up to 35% recycled plastic. They're perfect for your backpack or gym bag or keep them in your fridge for cool refreshment anytime. Our natural spring WATER has a balanced mineral composition and naturally occurring electrolytes that give it a distinctive, smooth taste, unique among bottled waters. It's the perfect rehydrating beverage, delicious either cold or at room temperature.",Natural Spring Water.,{},,,,,,
vitaminwater Refresh Tropical Mango Flavored Water Beverage Bottle,$2.59,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d750075-169b-4e8a-9f79-b3d999c15ef9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b5200d6-1d01-4b52-8f3b-6f540bf2bf05.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8121e87-be76-44f4-96b3-4c28f1b1b182.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_57c5b3e2-a5ea-4256-b6a4-275b5a468cfd.jpg 4x","you know that moment when you just need a break from life? meet vitaminwater refresh, tropical mango. it's here for your while you forget about all those emails piling up. this flavor comes packed with sports-drink levels of electrolytes. you get essential vitamins like b3, b5, b6, and b12. it's basically a dash of exotic vibes. take us with you.,so when you need a partner when you're sitting through another meeting, vitaminwater refresh, tropical mango has you covered. it's got antioxidant vitamin c, plus magnesium and potassium. because why not enjoy the moment more? the delicious tropical mango taste makes this flavored-water beverage the perfect alternative to plain-old blandness. it's your exotic vacation without ever packing a bag.,next time you're on the go and need to quench that thirst, grab a bottle of vitaminwater refresh, tropical mango. with 100 calories per 20 oz bottle and the refreshing taste of tropical mango, hydration has never been this fun. it's an escape from the chaos. drink it because it tastes great and because, let's face it, those emails and group chats aren't going anywhere.,• magnesium and potassium, plus deliciousness packed in,• 100% antioxidant vitamin c,• 100% vitamins b3, b5, b6, b12 and 100 calories per 20 fl oz bottle,• tropical mango-flavored, radically delicious and nutrient-enhanced water beverage,• 20 fl oz bottle of vitaminwater refresh, tropical mango","Ingredients: Reverse Osmosis Water, Crystalline Fructose, Less Than 1% Of: Cane Sugar, Vitamins C, B3, B5, B6, B12, E (ascorbic Acid, Niacinamide, Calcium Pantothenate, Pyridoxine Hydrochloride, Cyanocobalamin, Alpha-tocopheryl Acetate), Electrolytes (calcium And Magnesium Lactate And Potassium Phosphate), Natural Flavors, Citric Acid, Lycopene And B-apo-8'-carotenal (color).",{},,,,,,
San Pellegrino Sparkling Natural Mineral Water Glass Bottle,$2.89,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b06117d4-6b3d-424d-baf3-004079d4bd56.jpeg 4x,"Embrace The Spirit Of Italian Living With S.Pellegrino Sparkling Natural Mineral Water. While Moving Through The San Pellegrino Terme Area At The Foothills Of The Italian Alps, This Water Mineralizes Through Contact With Underground Rocks, Naturally Enriching S.Pellegrino With Mineral Salts, Calcium And Magnesium. The Addition Of Carbon Dioxide To The Italian Mineral Water Enhances Spellegrino, Providing Its Unmistakable Taste And Gentle Bubbles. S.Pellegrino Sparkling Water Is Low In Sodium And Contains Zero Calories With No Artificial Colors, Flavors Or Sweeteners. Elevate Your Next Homemade Meal With This Italian Sparkling Mineral Water, Enjoy While You’Re Out On The Town, Or Indulge During Any Of Life’S Delicious Moments. Unflavored Sparkling Water Perfectly Complements The Flavors Of Your Favorite Foods, Making It A Favorite Of Chefs And Foodies Alike. Enhance Your Moments With S.Pellegrino Sparkling Natural Mineral Water.,• One 25.3 fl oz glass bottle of S.Pellegrino Sparkling Natural Mineral Water,• This bottled sparkling water offers unmistakable taste and gentle bubbles,• S.Pellegrino sparkling mineral water is low in sodium and contains zero calories with no artificial colors, flavors or sweeteners,• Perfect for any of life’s delicious moments, this unflavored sparkling water complements the flavors of your favorite foods and is perfect for a night out on the town,• This sparkling water glass bottle is ideal for enjoying with meals shared by friends",Carbonated Mineral Water.,"Keep In A Clean, Cool ,Dry And Odorless Place, Away From Direct Sunlight.",,,,,,
Spindrift Sparkling Water & Real Squeezed Raspberry Lime 8 Pack,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8927057b-c7db-481d-aafa-027f0e7579de.png 4x,"Certified Gluten-Free. No sugar added. Non GMO Project verified. nongmoproject.org. Sparkling water & real squeezed fruit. We squeezed 52 real raspberries & 1/2 of a lime. Into this 8-pack of sparkling water. Yup that's it. We've been waiting for you! It's no accident that you're reading the bottom of this pack. This was meant to happen. You were searching for something. Well, the hardest part is over. You found it and picked it up. It's Spindrift. Unlike other sparkling water that you aren't holding right now, you already know exactly what's in this box. It's fruit. Yup, Spindrift is made with real squeezed fruit. We wanted our Raspberry Lime sparkling water to actually taste like raspberries and limes, so we crushed real raspberries and limes into it. The result is light, bright, and deliciously refreshing. It's quite simple, really. So shall we? Cheers! drinkspindrift.com. (at)spindriftfresh. Fruit from farms. Cans: Infinitely recyclable. BPA-NI.","Carbonated Water, Raspberry Puree, Raspberry Juice, Lime Juice.",{},Warning: Contents under pressure.,,,,,
Core Hydration Nutrient Enhanced Water,,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33139f03-7f39-46ae-97b4-8c11fa6562cd.jpg 4x,"Core Hydration is perfectly balanced pH water designed to work in harmony with your body’s natural pH of 7.4*. Purified and enhanced with electrolytes and minerals, Core Hydration is designed for an active lifestyle and will help you stay feeling your best. Core believes true balance is on the inside as well as the outside, that’s why Core is committed to a more sustainable future. Now, in addition to Core being recyclable, it’s bottles are also made with 100% recycled plastic (excludes cap and label)! Core is available in five sizes, including a wide mouth sports cap. The bottle was also envisioned with your lifestyle in mind — the contoured silhouette makes it easy to hold when on the go, the wide mouth opening makes hydrating quicker and the cup cap makes it easier to share with friends. Hydrate with the clean, crisp taste of Core and enjoy staying balanced. Find Your Balance. Find Your Core.","Purified Water (purified By Reverse Osmosis), Potassium Bicarbonate, Magnesium Chloride And Calcium Chloride (electrolyte And Mineral Sources)",{},,,,,,
"Sparkling Ice® Sparkling Water, Zero Sugar, Fruit Punch",$1.49,$1.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c69edb26-7896-4f55-8707-a27073c7fa3c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84a6d380-ab9d-441f-a857-d9aae44f4e62.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c25c245-099a-48bd-a028-72b3d1f605f0.png 4x","Ask your smart speaker to lunch sparkling ice maker. Please recycle. Empty and replace cap.,• Sugar Free/No Sugar,• Caffeine Free/No Caffeine,• Low Calorie,• Kosher","Carbonated Water, Contains 2% Or Less Of: Natural Flavors, Apple Juice Concentrate, Fruit And Vegetable Juice (for Color), Citric Acid, Malic Acid, Sucralose, Gum Arabic, Green Tea Extract, Potassium Benzoate (to Ensure Freshness), Calcium Disodium Edta (to Protect Flavor), Ester Gum, Retinol (vitamin A), Niacinamide (vitamin B3), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6).","As in life, chill for best results.,Refrigerate after opening.",,,,,,
San Pellegrino Sparkling Natural Mineral Wate,,$1.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_add8bacf-a110-42bf-a7a4-3c784ee25473.png 4x,"• One 16.9 fl oz (0.5 L) plastic bottle of S.Pellegrino Sparkling Natural Mineral Water,• This bottled sparkling water offers unmistakable taste and gentle bubbles,• S.Pellegrino sparkling mineral water contains zero calories, with no artificial colors, flavors, or sweeteners,• Perfect for any of life’s delicious moments, this unflavored sparkling water complements the flavors of your favorite foods and is perfect for a night out on the town,• S.Pellegrino PET plastic bottles are ideal for on-the-go,• Enhance your moments with S.Pellegrino Sparkling Natural Mineral Water,• SNAP and EBT Eligible item,Embrace The Spirit Of Italian Living With S.Pellegrino Sparkling Natural Mineral Water. This Sparkling Mineral Water Contains Zero Calories, With No Artificial Colors, Flavors, Or Sweeteners. Elevate Your Next Homemade Meal With This Italian Sparkling Mineral Water, Enjoy While You’Re Out On The Town, Or During Any Of Life’S Delicious Moments. Unflavored Sparkling Water Perfectly Complements The Flavors Of Your Favorite Foods, Making It A Favorite Of Chefs And Foodies Alike. Enhance Your Moments With S.Pellegrino Sparkling Natural Mineral Water.",Carbonated Mineral Water.,"Keep In A Clean, Cool ,Dry And Odorless Place, Away From Direct Sunlight.",,,,,,
San Pellegrino Aranciata Rossa Italian Sparkling Drinks,,$7.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01787ef5-2617-45a0-810c-430d4b55f676.png 4x,"• Includes six 11.5 fl oz cans of Sanpellegrino Aranciata Rossa Italian Sparkling Drink,• These Sanpellegrino Italian sparkling drinks are made with carbonated water, real orange and blood orange juice (10% orange and 5% blood orange juice from concentrate), sugar and other natural flavors,• Great for any time of day, whether you want a bubbly sparkling beverage in the morning or a refreshing sparkling drink at the end of the day,• This Sanpellegrino Italian sparkling drink offers fresh tasting flavor with no artificial sweeteners,• Whatever the occasion, brighten up your moments with Sanpellegrino Italian sparkling drinks,• SNAP and EBT Eligible item,Enjoy Every Sparkling Moment With A Sanpellegrino Aranciata Rossa Sparkling Drink. Sanpellegrino Aranciata Rossa Sparkling Beverage Is An Orange And Blood Orange Flavored Sparkling Beverage Made With Italian Oranges Containing Real Orange And Blood Orange Juice (10% Orange And 5% Blood Orange Juice From Concentrate), Sugar And Other Natural Flavors To Add A Refreshing Alternative To Traditional Seltzer Water, Flavored Sparkling Water Or Carbonated Soft Drinks. With Deliciously Sweet Tartness, This Flavored Sparkling Beverage Is Made With No Artificial Sweeteners. Smooth On The Palate, Sanpellegrino Aranciata Rossa Is A Delicately Balanced Drink With Fresh And Tart Notes, With The Perfect Sweet Touch To End. Enjoy Sanpellegrino Aranciata Rossa As A Refreshing Morning Drink, A Tasty Mid-Afternoon Treat Or While You Unwind At The End Of The Day. Serve This Sparkling Flavored Beverage Chilled, And Garnish With Slice Of Orange Or Twig Of Rosemary For An Expert Finish. Whatever The Occasion, Take The Time For Taste With A Sanpellegrino Italian Sparkling Drinks.","Water, Sugar, Orange Juice Concentrate, Blood Orange Juice Concentrate, Carbon Dioxide, Lemon Juice Concentrate, Orange Extract, Black Carrot Extract (for Color), Natural Flavors",Store in a clean cool dry and odorless place away from direct sunlight and freezing temperature.,,,,,,
Polar Seltzer Raspberry Lime,,$6.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82f1e931-6214-4787-8f84-63ae96d18120.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c252f10-b6f9-4b74-b757-be6afc31bcdd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c58f6fb1-7f91-4f33-9372-2e4c346e2fd5.png 4x","Raspberry Lime Polar Seltzer, opposites attract to create an amazing seltzer flavor-ite. Sweet and tart are always right. Polar Seltzer Premium Sparkling Water. Tiny Bubbles: The sparkle sets us apart. We've been perfecting the process of making our signature bubbles, with their long-lasting carbonation and crispness, since 1882. The bubbles are created by carefully dissolving Co2 into water at high pressure and freezing temperatures without exposing the flavors to oxygen. Other people may add sodium or sweeteners to shortcut the road to quality – we do not. Natural Flavors: The taste of our seltzers is defined by the quality ingredients of the ingredients we used. Our approach is to use only the highest-quality, proprietary combinations of flavors and aromas for depth and complexity. These ingredients are extracted and distilled from natural sources (such as lemon peel, lime, mint, etc.) to create highly concentrated “essences”. Relying on copious amounts of these very precious oils, we never skimp when it comes to taste. Triple-Filtered & Locally Sourced Water: Our water is locally sourced and then triple-filtered with our state-of-the-art process to ensure a consistent and authentic Polar Seltzer taste. NO sodium, fluoride, or other funny business added. This is why Polar Seltzer makes for health smart hydration. Family Made Since 1882: Just water, zillions of tiny bubbles, and great taste. Our family has been crafting Polar Seltzer with these same ingredients since 1882. That’s 138 years to perfect what our great-great-grandfather called the world’s best-tasting bubble recipe. At Polar Beverages we work hard to keep things uncomplicated, refreshing and endlessly creative. Take a sip, and let us know.","Contains Carbonated Water, Natural Flavors.",{},,,,,,
