Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"You'll love the delicious OLIPOP Cherry Cola Sparkling Tonic! Made with natural ingredients, this refreshing beverage is packed with prebiotics and plant fiber to support your digestive health. With only 2 grams of sugar per can, you can sip guilt-free while you savor the sweet yet tangy blend of cherry and cola. As an added bonus, each can contains 35 milligrams of caffeine to give you a little boost when you need it. So why not give it a try? You can enjoy the fabulous taste of OLIPOP Cherry Cola Sparkling Tonic today with Instacart's same-day delivery or pickup.",Soy Free,"Quench your thirst and support your gut health with wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink. This bubbly beverage is made with fresh-brewed rose petals, guava puree, lemon juice, and live probiotics to promote healthy digestion. With only 35 calories per 355mL serving, this drink is fat-free, gluten-free, and organic. Plus, it's vegan and vegetarian-friendly! Sip on a refreshing blend of floral and fruity flavors while enjoying the benefits of prebiotic and probiotic ingredients. Order wildwonder Guava Rose Sparkling Prebiotic + Probiotic Drink today through Instacart for same-day delivery or pickup at your convenience.","Looking for a unique and refreshing juice to add to your beverage repertoire? Try Tahiti Trader Company Organic Island Style Noni Juice, a delicious and nutritious addition to any juice collection. Made with organic noni fruit, this juice is packed with vitamins, minerals, and antioxidants that promote overall health. With Instacart's same-day delivery or pickup option, it's easy to enjoy a taste of the tropics from the comfort of your own home. Sip on this island-style concoction and transport yourself to the exotic oasis of Tahiti without ever leaving your living room. Refreshing, organic, and wholesome—Tahiti Trader Company Organic Island Style Noni Juice is the perfect choice for your next beverage craving.","Craving a daily beverage that's both refreshing and nutritious? Look no further than EPOCA Probiotic Cultured Daily Beverage. Made with filtered water and cultured grade A pasteurized nonfat milk, this low-fat drink contains viable Lactobacillus, Bulgaricus, Streptococcus Thermophilus, Lactobacillus Acidophilus, Lactobacillus Casei, and Bifidus yogurt cultures. With just 35 calories per serving and no fat or cholesterol, it's a guilt-free indulgence that packs a punch of flavor thanks to natural and artificial flavors. Best of all, you can enjoy the benefits of probiotics in every sip. Order EPOCA Probiotic Cultured Daily Beverage today on Instacart for same-day delivery or pickup.",Milk Free
Gutzy Organic Strawberry Kiwi & Kale with Prebiotics,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56a17a25-93ef-4cda-bb81-d168ab43f9c7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6484c038-ab83-4ed8-99aa-ccb6e9bca150.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ad957b9c-f1e9-496f-a440-d5c874dab5bc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c597c527-e1a0-4688-bc8e-d0397a47a30a.jpg 4x",,,,"Organic Apple, Organic Strawberry, Organic Kiwi, Organic Acacia (prebiotic), Organic Kale, Ascorbic Acid (vit.c), Calcium-d-pantothenate (pantothenic Acid), Pyridoxine Hci (vit. B6), Riboflavin (vit. B2), Thiamine Hci (vit. B1), Biotin, Cyanocobalamin (vit. B12), Organic Lemon Juice Concentrate",Keep refrigerated & consume cold within 24 hours once opened.,"Caution: if f cap seal is broken or pouch looks damaged or unusually inflated, please discard. Do not microwave or boil pouch.",,,,,,
Good Belly Organic Mango Probiotic Juice,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb81c09a-8615-4171-86b1-b109a0af45ce.png 4x,,,"GoodBelly Mango Juice Drink is a delicious burst of sunshine for your gut, with probiotics and prebiotic fiber to support digestion and boost your immune system.* Organic and made with a clinically tested probiotic strain that survives stomach acid, these tasty drinks are dairy, soy, and gluten-free, so you can sip worry-free. Drink up, feel great, and let your gut do a happy dance!,GoodBelly Mango Juice Drink is a sweet, exotic escape in every sip. With its rich, tropical flavor, it’ll delight your taste buds while giving your belly the care it deserves.,• Delicious juice drinks are made with real fruit and contain clinically tested probiotics and prebiotic fiber to support digestion and boost your immune system*,• Organic, plant-based and free from dairy, gluten, and soy—because everyone should feel good from the inside out!,• Contains 1 billion CFUs^ of our probiotic strain that survives the stomach acid,DE111® is a trademark of Deerland Enzymes, Inc.,*Some scientific evidence suggests probiotics may help promote healthy digestion when consumed daily as part of a nutritious diet and healthy lifestyle. GoodBelly is a food product and not a treatment or cure for any medical disorder or disease. If you have any concerns about your digestive system, please consult your healthcare professional.,^Cells per serving at the time of manufacture. Storage conditions may affect the number of active probiotic cultures. Please keep at 34-40° Fahrenheit for maximum potency.","Water, Organic Pear Juice From Concentrate, Organic Oatmilk (water, Organic Oats), Organic Mango Puree From Concentrate, Organic Banana Puree, Organic Cane Sugar, Contains Less Than 2% Of The Following: Organic Blue Agave Fiber, Organic Flavor, Citric Acid, Organic Guar Gum, Natural Flavor, Bacillus Subtilis De111®","Take daily for digestion and immune support.,Give it a good shake!,Keep refrigerated.,Use within 14 days of opening.",Contains: gluten from organic oat flour and barley malt.,,,,,,
OLIPOP Ginger Lemon Prebiotic Sparkling Tonic,,$2.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6c806416-22ab-498c-aeca-35e7025eb30f.png 4x,Gluten Free,,Our sweet and tart Ginger Lemon combines both Caribbean and European mulling spices to create a complex flavor that manages to remain perfectly balanced. Enjoy a delightful kick of ginger followed by a tangy hint of lemon juice.,"Carbonated Water, OLISMART (Cassava Root Fiber, Chicory Root Inulin, Jerusalem Artichoke Inulin, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Ginger Juice, Lemon Juice, Apple Juice Concentrate, Cassava Root Syrup, Natural Ginger Flavor, Stevia Leaf*, Himalayan Pink Salt, Natural Mulling Spice Flavor",Store refrigerated.,,,,,,,
Halfday Iced Tea Peach Iced Green Tea,,$2.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2694eaa8-4391-49b4-ae06-723b0f8656c3.png 4x,,,"Welcome to a new era of iced tea. Gut-friendly nostalgic iced teas that make moments of freedom even sweeter.,Halfday Prebiotic Peach Iced Tea,Sweet, juicy, and perfectly peachy–like a sunny day in a can.,3g Sugar,6g Fiber,35 Calories","Brewed Organic Green Tea (Filtered Water, Organic Green Tea), GOODDAY Prebiotic Blend (Cassava Root Fiber, Fructan Fiber, Organic Agave Inulin), Organic Raw Cane Sugar, Peach Juice Powder, Lemon Juice Powder, Malic Acid, Citric Acid, French Grey Sea Salt, Natural Peach Flavor, Stevia Leaf Extract, Tartaric Acid (From Grapes), Ascorbic Acid (Vitamin C)",Shake gently & drink chilled.,,,,,,,
GoodBelly Pomegranate & Blackberry Prebiotic & Probiotic Juice Drink,,$5.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4f8c907b-3413-4577-83e1-92bc184e3823.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ea0e95bb-05eb-408a-ab1d-5823616eff46.jpg 4x","Gluten Free,Soy Free",,"GoodBelly Pomegranate & Blackberry Juice Drink is a delicious burst of sunshine for your gut, with probiotics and prebiotic fiber to support digestion and boost your immune system.* Organic and made with a clinically tested probiotic strain that survives stomach acid, these tasty drinks are dairy, soy, and gluten-free, so you can sip worry-free. Drink up, feel great, and let your gut do a happy dance!,GoodBelly Pomegranate & Blackberry Juice Drink is a berry lover’s dream come true! With every sip, your taste buds get a juicy, tangy treat, while your belly gets the love it deserves.,• Organic, delicious juice drinks made with real fruit,• Supports digestion and boosts your immune system*,• Contains 1 billion CFUs^ of our clinically tested probiotic that survives the stomach acid along with prebiotic fiber for comprehensive gut health,• Plant-based and free from dairy, gluten, and soy—because everyone should feel good from the inside out!,DE111® is a trademark of Deerland Enzymes, Inc.,*Some scientific evidence suggests probiotics may help promote healthy digestion when consumed daily as part of a nutritious diet and healthy lifestyle. GoodBelly is a food product and not a treatment or cure for any medical disorder or disease. If you have any concerns about your digestive system, please consult your healthcare professional.,^Cells per serving at the time of manufacture. Storage conditions may affect the number of active probiotic cultures. Please keep at 34-40° Fahrenheit for maximum potency.","Water, Organic Pear Juice From Concentrate, Organic Oatmilk (water, Organic Oats), Organic Pomegranate Juice From Concentrate, Organic Cane Sugar, Contains Less Than 2% Of The Following: Organic Blue Agave Fiber, Organic Blackberry Juice From Concentrate, Organic Flavor, Organic Carrot Juice (for Color), Citric Acid, Organic Guar Gum, Natural Flavor, Bacillus Subtilis De111®","Take daily for digestion and immune support.,Give it a good shake!,Keep refrigerated.,Use within 14 days of opening.",Contains: gluten from organic oat flour and barley malt.,,,,,,
Gutzy Supergreen Spinach Kiwi & Kale with Prebiotics,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4d85dba-c763-4338-aa33-6868d8b72795.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2b65ed6a-4996-4bf0-83af-64063b67fc24.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b79a444c-c116-4cd8-9851-b8ec2eca5fcb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c74a1307-490a-44f1-888d-cd484646acd1.jpg 4x",,,,"Organic Apple, Organic Spinach, Organic Acacia (prebiotic), Organic Kiwi, Organic Kale, Organic Lemon Juice Concentrate, Ascorbic Acid (vit.c), Calcium-d-pantothenate (pantothenic Acid), Pyridoxine Hci (vit. B6), Riboflavin (vit. B2), Thiamine Hci (vit. B1), Biotin, Cyanocobalamin (vit. B12)",Keep refrigerated. Keep refrigerated & consume cold within 24 hours once opened.,"Caution: If cap seal is broken or pouch looks damaged or unusually inflated, please discard. Do not microwave or boil pouch.",,,,,,
Halfday Iced Tea Lemon Iced Black Tea,,$2.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ef2ba73-0e53-457c-9393-0e4eb41b81a3.png 4x,,,"Welcome to a new era of iced tea. Gut-friendly nostalgic iced teas that make moments of freedom even sweeter.,Halfday Prebiotic Lemon Iced Tea,Bright, tangy, and refreshing–like a sip of sunshine.,3g Sugar,6g Fiber,35 Calories","Brewed Organic Black Tea (Filtered Water, Organic Black Tea), GOODDAY Prebiotic Blend (Cassava Root Fiber, Fructan Fiber, Organic Agave Inulin), Organic Raw Cane Sugar, Lemon Juice Powder, Citric Acid, French Grey Sea Salt, Stevia Leaf Extract, Malic Acid, Natural Lemon Flavor, Ascorbic Acid (Vitamin C), Tartaric Acid (From Grapes)",Shake gently & drink chilled.,,,,,,,
"Poppi Prebiotic Soda, Lemon Lime",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a4195ba7-3146-401d-8fa9-44c5abb29ff4.png 4x,,,,"Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Apple Juice (Concentrate), Organic Apple Cider Vinegar, Natural Flavors, Citric Acid, Stevia, Lime Juice(Concentrate), Lemon Juice.",{},,,,,,,
Doctor D's Crisp Apple Sparkling Probiotic Drink,,$2.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_96e72477-a2f1-43f7-8b42-ab58ee9d65a2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_342ee3a9-1414-4877-b2f6-d3f4e0ad68d5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_561166b9-8c11-46a6-b165-a5f872a5292d.jpg 4x",Gluten Free,,"- Delicious Real Fruit Flavor: Enjoy the refreshing taste of natural, organic fruit juice in every sip, without the funky vinegar flavor.,- Living Probiotics: Each can contain up to 22+ unique strains of lactobacillus to support your digestive health.,- Always Fresh: Our product is meticulously shipped, stored, and consumed cold, ensuring you get the optimal benefits and flavor in every sip.,- Organic, Clean Ingredients: These are made without artificial flavors or preservatives and are 100% organic, vegan, and gluten-free.","DDs Live Cultures (Purified Sparkling Water, Fair-Trade Cane Sugar*, Kefir Cultures, Pink Himalayan Salt), Apple* & Lemon* Juice. *Organic","Keep refrigerated. Must be refrigerated.,Open with care.",Contents under pressure. May gush or burst if unrefrigerated. Do not shake ~ Open with care.,,,,,,
Doctor D's Concord Grape Sparkling Probiotic Drink,,$2.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_547c4d37-790e-41df-87fd-3cbfba3cfca9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_df68b891-4ef4-4d83-8e08-7c0603e604a6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4857bad-be2c-4e47-954a-ff8b0b4804d8.jpg 4x",Gluten Free,,"- Delicious Real Fruit Flavor: Enjoy the refreshing taste of natural, organic fruit juice in every sip, without the funky vinegar flavor.,- Living Probiotics: Each can contain up to 22+ unique strains of lactobacillus to support your digestive health.,- Always Fresh: Our product is meticulously shipped, stored, and consumed cold, ensuring you get the optimal benefits and flavor in every sip.,- Organic, Clean Ingredients: These are made without artificial flavors or preservatives and are 100% organic, vegan, and gluten-free.","DDs Live Cultures (Purified Sparkling Water, Fair-Trade Cane Sugar*, Kefir Cultures, Pink Himalayan Salt), Concord Grape* & Lemon* Juice. *Organic","Do not shake.,Keep refrigerated. Must be refrigerated.,Open with care.",Contents under pressure. May gush or burst if unrefrigerated. Do not shake ~ Open with care.,,,,,,
Gt's Living Foods Organic Guava Paloma Agua De Kefir,,"$3.99Buy 1, get 1 free", https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3cc9533d-c0d5-4949-afb8-b560d53d13df.png 4x,,,,"Water Kefir (Organically Produced) (Purified Water, Cane Sugar (Organically Produced), Electrolytes, Dairy-Free Kefir and Probiotic Cultures), Guava Puree (Organically Produced), Grapefruit Juice (Organically Produced), Lime Juice (Organically Produced), Habanero Juice (Organically Produced), Erythritol (Organically Produced), Stevia (Organically Produced), and 100% Pure Love.",Keep refrigerated.,"Please Note: Kefir is a fermented beverage that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, dietary sensitivities or religious beliefs.",,,,,,
"KeVita Sparkling Drink, Lemon Cayenne, Probiotic, Refresher",,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f6ed47a4-481e-4e6a-a4f5-f00d543b25e9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4257683-14fa-4a0c-85e6-44d217608533.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_018bf658-b2ba-498a-b3ba-2b6b9f5a29d0.png 4x",Gluten Free,,"The perfect balance of sweet and spicy, KeVita Lemon Cayenne jumpstarts your core with just the right touch of heat. KeVita Sparkling Probiotic Drinks are light and refreshing with a delicious fruit taste.Fermented with our proprietary water kefir culture, KeVita Sparkling Probiotic Drinks have billions of live probiotics.","Sparkling Water, Water Kefir Culture (water, Lactic Acid, Kefir Culture, Natural Flavor)*, Apple Cider Vinegar*, Lemon Extract*, Cayenne Extract*, Bacillus Coagulans Gb1-30 6068, Maple Extract*, Purified Stevia Leaf Extract*, Lactic Acid.",Perishable Keep Refrigerated,,,,,,,
"KeVita Sparkling Lemonade, with Prebiotics, Strawberry",,$3.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c869c781-5969-4d39-9687-6863f517a7b9.jpeg 4x,,,,"Sparkling Water, Apple Juice Concentrate*, Acacia*, Cane Sugar*, Lemon Juice Concentrate*, Natural Flavors*, Strawberry Juice Concentrate*, Citric Acid, Fruit And Vegetable Juice For Color*, Purified Stevia Leaf Extract*.*certified Organic Ingredient",Store refrigerated.,,,,,,,
"KeVita Sparkling Lemonade, with Prebiotics, Mango",,$3.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_602cbec8-b32c-463b-85a6-c288e6f46477.jpeg 4x,,,,"Sparkling Water, Apple Juice Concentrate*, Mango Puree*, Acacia*, Cane Sugar*, Lemon Juice Concentrate*, Natural Flavors*, Fruit And Vegetable Juice For Color*, Citric Acid, Purified Stevia Leaf Extract*.*certified Organic Ingredient",Store refrigerated.,,,,,,,
Culture Pop Soda Ginger Lemon & Turmeric,$2.29,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c373e74-f517-4f3c-a32a-3e66e28c3b97.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2ae15ef-e0e8-403a-9471-935b9c38a10a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9536ffa3-9eec-4512-8681-5b3d18dcea9c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0003cb8-edea-4a6d-bebe-51dfa6751f62.jpeg 4x",Gluten Free,,"Lemony and tarty like a fizzy mouth party!,Culture POP is made the way that you’d hope your soda would be made! Each flavor is crafted by steeping giant tea bags of organic spices and/or herbs into an organic blend of juices! We then add billions of CFU’s of our live probiotic to each can. The result is a delicious, complex, slightly sweet soda - with only 45 calories per can. Each flavor is familiar - flavors you already know & love - but with a tasty twist. And, of course, we use no refined sweeteners, no stevia and no other high intensity or artificial sweeteners. Culture POP is non-GMO, vegan, gluten free, plant-based and certified kosher.","Carbonated Filtered Water, Organic Juice Blend from Concentrate (White Grape, Ginger, and Lemon), Natural Flavor, Citric Acid, Organic Coriander, Live Probiotic (Bacillus Subtilis), Organic Turmeric.",{},,,,,,,
Gt's Living Foods Organic Peach Pina Agua De Kefir,,"$3.99Buy 1, get 1 free", https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87488dea-4b33-4e77-aa3f-4ba1858911c5.png 4x,,,"Nourishing hydration. Electrolytes. Probiotics. Nourish your thirst. Desert Hydration: Agua de Kefir is based on authentic water kefir that originated in the desert of Mexico, circa 1800's. The kefir crystals used to cultivate this tonic grew on the pads of the prickly pear cactus. Each delicious sip is light, refreshing, and incredibly thirst-quenching. Enjoy it as an alternative to sodas, sparkling flavored waters, or sports drinks. Replenish and Recover: With a full spectrum of electrolytes, Agua de Kefir perfectly compliments an athletic and active lifestyle. With the same amount of electrolytes found in most sports drinks, you can skip the sugar and additives usually found in these drinks while still hydrating your body with everything it needs to perform. In addition, Agua de Kefir has naturally occurring probiotics that helps your body recover from strenuous exercise while also improving your mood. Another Member of the GT's Family: Thank you for supporting our Family-owned and operated company. My great grandmother was born in Chihuahua, Mexico, and I am proud to honor my Latin heritage and hers with this product. Since 1995, we have been fermenting and crafting nutritious foods that we believe support both your health and happiness. - GT Dave, Founder. Please recycle.","Water Kefir* (purified Water, Cane Sugar*, Electrolytes, Dairy-free Kefir And Probiotic Cultures), Pineapple Juice*, Peach Juice*, Carrot*, Pumpkin*, Apple Juice*, Turmeric*, Erythritol, Stevia*, And 100% Pure Love!!!","Swirl gently.,Keep refriegerated.","Please note: Kefir is a fermented beverage that has naturally occurring alcohol. Do not consume if you are avoiding alcohol due to pregnancy, allergies, dietary sensitivities or religious beliefs.",,,,,,
wildwonder Guava Rose Prebiotic + Probiotic Drink,$3.00,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e5304d32-788a-4387-bac9-72661dba8dc1.png 4x,,,,"Fresh Brewed Rose Petals (filtered Water, Rose Petals), Guava Puree*, Agave Nectar*, Lemon Juice*, Jerusalem Artichoke*, Rose Flavor*, Chicory Root Inulin, Guava Flavor*, Elderberry Juice Concentrate*, Monk Fruit Extract*, Live Probiotics (bacillus Subtilis) (*organic)",{},,,,,,,
Karma Probiotic Water Strawberry Lemonade,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2d3564ab-c6a2-4446-ada2-575691065364.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f83384c0-0c5e-49eb-a340-39223890e3bd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_30b6a5db-e47a-4b2f-8f04-3be0ce226477.png 4x",,,"Naturally flavored Only 20 calories. Gluten free. Lactose free. Vegan. 100% of 6 essential vitamins (including A, B & E). Non-GMO. 2 billion cultures. The Undiluted Truth in Digestive Health: probiotics in kombuchas and other premixed drinks deteriorate over time. But Karma's patented protective push cap guarantees that our proprietary blend of essential vitamins and cultures is delivered at peak potency. (hashtag)BelieveinKarma. Powered by GanedenBC 30 Probiotic digestive & immune health. GandenBC 30 survives 10x more effectively than yogurt cultures (in an independent lab study of a simulated gastric environment with a pH of 2.0 for two hours). drinkkarma.com. Recycle this bottled and it may return to you as a yoga mat. (hashtag)BelieveinKarma. BPA free. Water from Pristine Mountain Spring Stockbridge, VT.","Pristine Water, Citric Acid, Cane Sugar, Stevia Rebaudiana Leaf Extract, Natural Flavors, Vegetable Juice (color), Probiotic Culture (bacillus Coagulans Gbi-30 6086), Niacinamide (vitamin B3), D-calcium Pantothenate (vitamin B5), D-alphatocopherol Acetate (vitamin E), Pyridoxine Hydrochloride (vitamin B6), Vitamin A Palmitate, Chromium Picolinate, Cyanocobalamin (vitamin B12).",Push cap to infuse. Peel sticker; push cap; shake well(ness).,Do not consume if contents in cap have been infused prior to purchase.,,,,,,
wildwonder Strawberry Passion Prebiotic + Probiotic Drink,$3.00,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a05858c-dc60-4b53-842a-6a7b287cedee.png 4x,,,,"Fresh Brewed Hibiscus* (Filtered Water, Hibiscus Flowers*), Strawberry Juice*, Passion Fruit Juice*, Agave Nectar*, Jerusalem Artichoke*, Strawberry Flavor*, Chicory Root Inulin, Monk Fruit Extract*, Live Probiotics (Bacillus subtilis) (*organic)",Store refrigerated.,,,,,,,
Karma Probiotic Water Watermelon Wild Berry,,$2.77," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94d24527-d21c-4662-8f7e-bf70cdbc106b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8fe51f41-2767-472a-b447-a64c37367b04.png 4x",Gluten Free,,,"Pristine Water, Citric Acid, Cane Sugar, Stevia Rebaudiana Leaf Extract, Natural Flavor, Black Carrot Juice Concentrate (color), Probiotic Culture (bacillus Coagulans Gbi-30 6086), Niacinamide (vitamin B3), D-alpha-tocopheryl Acetate (vitamin E), D-calcium Pantothenate (vitamin B5), Pyridoxine Hydrochloride (vitamin B6), Vitamin A Palmitate, Chromium Picolinate, Cyanocobalamin (vitamin B12).","Peel, push and shake to (hashtag)Believe in karma.",Do not consume if contents in cap have been infused prior to purchase.,,,,,,
"KeVita Lemonade, with Prebiotics, Classic, Sparkling",$2.59,$3.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_99486f39-fc67-4321-b308-3df02d033946.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f62cb1e4-e7f0-4047-99bd-6c9bfa5b6ae7.png 4x",,,,"Sparkling Water, Apple Juice Concentrate*, Acacia*, Cane Sugar*, Lemon Juice Concentrate*, Natural Flavors*, Citric Acid, Fruit And Vegetable Juice For Color*, Purified Stevia Leaf Extract*.*certified Organic Ingredient",Store refrigerated.,,,,,,,
"KeVita Sparkling Drink, Strawberry Acai Coconut ,Probiotic Refresher",,$4.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84212400-6758-4ecd-b5ca-86fbcac361fe.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d511c718-9b0d-4bb4-a6a7-6476d9952bb8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4f95b64-79d0-4bb9-b8b3-75dde6ec675b.png 4x",Gluten Free,,"Naturally flavored with other natural flavors. 40 calories per bottle. USDA Organic. Certified Organic by Organic Certifiers, Inc. Gluten free. Non-Dairy. Caffeine free. Non GMO Project Verified. nongmoproject.org. Live probiotics. At KeVita, we believe in vitality. Welcome to a delicious way to boost your day and wake up your senses. Refresh. Gently pasteurized. Lightly carbonated. Swirl gently. Live Probiotics added. Fermented, Water kefir culture. Taste Guide: Light & refreshing. Sparkling Probiotic Drink: Kevita.com. Facebook. Twitter. Instagram. (at)KevitaDrinks.","Sparkling Water, Water Kefir Culture (water, Lactic Acid, Kefir Culture, Natural Flavor*)*, Coconut Water Concentrate*, Apple Cider Vinegar*, Apple Juice Concentrate*, Strawberry Juice Concentrate*, Lactic Acid, Clarified Acai Juice*, Bacillus Coagulans Gbi-30 6086, Strawberry Flavor*, Fruit And Vegetable Juice For Color*, Coconut Flavor*, Purified Stevia Leaf Extract*, *certified Organic Ingredient",Perishable. Keep refrigerated.,Contains coconut ingredients.,,,,,,
"OLIPOP Prebiotic Soda, Classic Root Beer, Shelf Stable",$11.49,$13.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_907c18d4-5e47-4ab3-a80d-c01f73125032.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3a7af61-8324-43ec-a1bf-c75e5777df97.jpg 4x",Gluten Free,,"Finally, a new kind of soda that’s delicious, refreshing, and actually good for you. OLIPOP combines the classic soda flavor you know and love with prebiotics, plant fiber, and botanicals to support your microbiome and digestive health.,Imagine your favorite cherry soda. Now imagine it made with real spices, natural tart cherry juice, and bursting with authentic cola’s crave-worthy collision of sweet and dark flavors. That’s what you’re holding in your hand: a natural remix of a traditionally artificial soda, ready for you to take the first sip.,- 6g of Fiber per can,- Made with prebiotics, plant fiber, and botanicals to support digestive health,- 2g - 5g of sugar per can,- Refreshing & delicious,- Gluten free, Vegan, Paleo-Friendly, Keto-Friendly, Non-GMO,- No artificial sweeteners or preservatives,- A leading research-backed functional beverage designed to taste good while actively supporting your digestive health","Carbonated Water, Olismart (Cassava Root Fiber, Acacia Fiber, Guar Fiber, Nopal Cactus*, Marshmallow Root*, Calendula Flower*, Kudzu Root*), Cassava Root Syrup, Apple Juice Concentrate, Natural Root Beer Flavor, Lemon Juice, Burdock Root*, Stevia Leaf*, Himalayan Pink Salt, Natural Vanilla Flavor, Sweet Birch*. * Extract.","Store in a cool, dry place.",,,,,,,
"Poppi Prebiotic Soda, Variety Pack",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a6bca3b-3f32-4004-b1a6-2e352afc780d.jpg 4x,,,,"Strawberry Lemon - Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar. Natural Flavor, Organic Agave Inulin, Lemon Juice*, Strawberry Juice*, Stevia. *concentrate,orange - Sparkling Water, Organic Cane Sugar, Natural Flavor, Organic Apple Cider Vinegar, Apple Juice*, Organic Agave Inulin, Citric Acid, Orange Juice*, Stevia, Beta Carotene For Color. *concentrate,cherry Limeade - Sparkling Water, Organic Cane Sugar, Organic Apple Cider Vinegar, Cherry Juice*, Natural Flavors, Organic Agave Inulin, Lemon Juice*, Lime Juice*, Stevla. *concentrate,grape - Sparkling Water, Organic Cane Sugar, Organic Agave Inulin, Grape Juice*, Apple Juice* Organic Apple Cider Vinegar, Natural Flavor, Fruit And Vegetable Juice For Color, Citric Acid, Stevia, *concentrate",{},,,,,,,
