Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free
"Budweiser Zero Non Alcoholic Beer, Alcohol Free Lager",$18.59,$21.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7c7ff08-3d2c-4cf1-8f57-f9696f5a3993.jpeg 4x,"The Budweiser flavor without the alcohol. Enjoy freely, as it pair well with pub fare, nachos, dips.,We're brewing Budweiser Prohibition Brew the same way we've been brewing Budweiser for 140 years. The same key ingredients. The same choice hops.. The same filtered water, along with a distinctive beechwood aging process. During the final stages of aging, we remove the alcohol through a special process that results in a taste that's true to the standards of Budweiser.,• The Budweiser Lager Beer flavor without the alcohol,• Budweiser Zero Alcohol Non Alcoholic Beer.,• We're brewing Budweiser Non Alochol Beer the same way we've been brewing Budweiser for 140 years,• 0.0% ABV,• Enjoy Responsibly",,See above for freshest before date.,,,,
Cayman Jack Margarita Variety Pack,$22.49,$22.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9e7d2c4-e04e-440e-a5f8-a130271bd38f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d5484839-0e53-49f7-b4cf-bcbf210f3e00.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7ea50148-03eb-4be9-82fd-8790c0fd2d76.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c1075ccb-77c4-4862-9c78-82e3da2c2f45.jpg 4x","Cayman Jack® Margarita Variety Pack offers four refreshing, pre-made drink flavors: Margarita (classic), Mango Margarita, Watermelon Margarita, and Strawberry Margarita. Made with premium ingredients including 100% blue agave nectar and lime juice, and at 5.8% ABV, Cayman Jack® Margarita flavors make it easy to discover something unexpectedly great. Made with ripe strawberry juice and sweet agave nectar, this Strawberry Margarita flavor takes you on an epic adventure of sweetness and just-right acidity. Navigate a beautiful balance between the tartness of mango and lime flavors against sweet agave nectar and sugar for the Mango Margarita; with its light orange color, this flavor looks – and tastes – like a tropical sunset. Watermelon juice and sweet agave nectar give the Watermelon Margarita flavor a clean and refreshing finish that’s like drinking in the sunny rays streaming into Cayman Jack’s rivershack hideaway. And of course enjoy the signature drink that started the flavor journey: the classic Margarita flavor has the ideal mingling of tart lime with notes of sweet agave nectar flavor. It’s a well-balanced drink that delivers that authentic Margarita taste. Cayman Jack® is a Premium Malt Beverage with Natural Flavors. The Cayman Jack® Margarita Variety Pack is available in a 12pk of 12oz cans. Discover the legend of Cayman Jack and learn more about our other drink flavors at www.caymanjack.com.,• Cayman Jack® Margarita Variety Pack offers four delicious, pre-made margarita flavors: Margarita (classic), Mango, Watermelon, and Strawberry.,• Cayman Jack® Margarita Variety Pack flavors are made with premium ingredients with 5.8% ABV; they taste like they were hand-crafted right in front of you.,• The Strawberry Margarita has a beautiful, refreshing aroma of ripe strawberry and agave notes. The Mango Margarita offers an authentic balance between the tartness of the mango and sweetness of the sugar.,• The Watermelon Margarita delivers just the right sweetness with the refreshing taste of watermelon. The Margarita (classic) is a well-balanced combination of lime and agave.,• Made with Premium Ingredients, including agave nectar.,• Premium Prepared Drinks made with premium malt beverage,• 5.8% ABV,• 12oz can",,{},"Contains alcohol. Good things come to those who wait - don't drink until you are 21., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Gluten Free,,
Keystone Light Lager Beer,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa548fe4-de32-4bd5-8fbc-cbc0c91d0895.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_528f92ef-043b-4cc3-9078-579ed979801f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a7a509c-e516-4570-abbc-eb0a6a4e8abe.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e0d3f783-3683-4bdb-91e9-4941b0a74650.jpg 4x","Light bodied, crisp and refreshing, Keystone Light Beer makes the perfect party beer for you and your friends. This American light lager beer has 4.1% ABV, making it a great choice for sessioning with friends. With an exceptionally clean taste and undeniably smooth finish, try this beer case for evenings on the front porch and bonfire parties. This American beer is triple-filtered to perfection for a satisfying taste that’s never bitter. Try pairing ice-cold Keystone beer with burgers, hot dogs, barbecue, and wings the next time you need refreshing drinks for an outdoor cookout. Keystone Light was created in 1989 by Coors Brewing Company. For over 25 years, Keystone Light has remained a refreshing light beer that’s always smooth.,•You'll get fifteen 12-ounce beer cans of Keystone Light Beer,•Enjoy this light, crisp, and refreshing American-style lager beer with 4.1% ABV,•Try the satisfying taste of a light beer that's never bitter and always smooth,•Keystone light beer is triple-filtered for a clean taste and smooth finish,•Grab a Keystone beer 15-pack to take as a party beer to your next tailgate or bonfire,•Enjoy during a night with friends and pair with burgers, hot dogs, BBQ and wings,•Carry case makes it easy to bring refreshing drinks anywhere you need","Water, Barley Malt, Corn Syrup (Dextrose)*, Yeast, Hop Extract *Not Hfcs, Not Present In The Final Product",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
BeatBox Pink Lemonade,,$4.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c142eb8e-f145-4f8e-8731-bfe71e17d146.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_618cdd13-700b-4375-9ad0-51db544d22e0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2fecd8cc-72ce-46ba-8d55-5c986044164d.png 4x",Party better together. Please drink responsibly. World's tastiest party punch. Glass free. FSC: Mix - Board. Please recycle.,"Premium Other than Standard Orange Wine with Natural Flavors, Sucralose and Certified Colors.",Best served chilled.,"Contains sulfites., Contains alcohol., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Gluten Free,,
Corona Premier Light Beer 6 Pack Bottles,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9d11d3a4-5dba-4d71-b45e-c528c808d58a.png 4x,"Corona Premier Mexican Lager Beer is the light beer experience you desire, offering an exceptionally smooth taste with fewer calories than both Corona Extra and Corona Light. This lower-calorie*, lower-carb, light lager Corona beer contains just 90 calories** per 12 oz serving, but with a flavor that is equally as satisfying. This Mexican lager style beer is made with barley malt, unmalted cereals, hops, and bottom-fermenting yeast. The result is a perfectly balanced and drinkable Corona beer with a touch of sweetness and a clean, pleasantly dry finish. Perfect for pairing with grilled pork and chicken, seafood and shellfish, and other fresh dishes, this imported beer also is the ideal complement to Mexican food. Share this light bodied bottled beer 6 pack with friends on the golf course or with guests at a backyard barbecue, or enjoy the crisp, refreshing taste of this light lager cerveza on its own.While this is not a low calorie beer or light calorie beer, this product is lower calorie as compared to Corona Extra. *Corona Premier 90 calories per 12 fl. oz volume compared to Corona Extra 148 calories per 12 fl. oz volume. Not a low-calorie food. **Per 12 fl. oz. serving of average analysis: Calories 90, Carbs 2.6 grams, Protein 0.7 grams, Fat 0 grams.,• 6 pack of 12 fl oz bottles of Corona Premier Mexican Import Beer,• Premium light beer with a touch of sweetness,• Imported lite beer that pairs well with Mexican food, seafood, and grilled pork and chicken,• Mexican lager style beer with exceptionally smooth taste and a clean, pleasantly dry finish,• Golden-hued, low-carb, light lager beer from Mexico","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Mike's Hard Best of Mixed Pack,,$31.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5c30923f-cedb-4126-b003-f98736d0c7f8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f7bf22e1-0ec8-4850-9bde-e9cfbd3c580d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b941346-4559-48ee-a619-3aa7b97ad7b6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b7f3a0f8-402a-4049-8fce-acec938b9cd4.jpg 4x","We started the Mike’s Hard Lemonade with the single aim of creating the most refreshing & amazing tasting beverages. Every bottle is bursting with a delicious blend of lemon and fruit flavors! Mike's Hard Lemonade Variety Pack includes refreshing Lemonade, Black Cherry, Strawberry and Pineapple Strawberry flavors. Each bottle is 5% ABV and bursting with refreshment. Mike’s Hard Lemonade is the original. Always has been. Always will be. For more information about our beverages, please visit mikeshard.com. Cheers! – Mike,• 12 pk of 11.2 fl oz bottles of Mike's Hard Lemonade Variety Pack,• Variety pack includes refreshing Lemonade, Black Cherry, Strawberry and Pineapple Strawberry flavors,• Nobody Makes Lemonade like Mike’s®,• Mike's Hard Lemonade Variety Pack includes refreshing Lemonade, Black Cherry, Strawberry and Pineapple Strawberry flavors. Each bottle is 5% ABV and bursting with refreshment.,• 5% ABV",,,"Contains alcohol. Government warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Natural Light Beer, 15 Pack Beer, 12 FL OZ Cans",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37a98b53-8341-400c-8668-e372ef4e5133.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eec35cfe-b23a-43a2-b238-29af5aaea669.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1da0f3eb-e9ba-4c93-8997-8515680a0262.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a99da258-8522-400e-9da8-720a3299a5ed.jpg 4x","Natural Light delivers a well blended and balanced American-style light lager. Satisfyingly refreshing, Natural Light Beer features a blend of premium American-grown and imported hops with malt and corn. A longer brewing process produces a lighter body, fewer calories, and an easy-drinking character. Each serving of this light lager beer contains 95 calories and 4.2% ABV. The perfect party beer, Natural Light is great for backyard barbecues, the big game, or casual get-togethers. With this easy to grab case of beer cans, you can easily bring this canned beer anywhere Natural Light is needed.","Water, Barley, Malt, Cereal Grains, Hops, Yeast.",See above for freshest before date.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Corona Non-Alcoholic 6 Pack Bottles,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_778a2bb0-04af-417d-87c1-0a7b08d78342.png 4x,"Corona Non-Alcoholic offers the same crisp and refreshing flavor of the classic Corona Extra Beer you know and love with less than 0.5% alcohol by volume and 60 calories* per serving. This light-bodied brew is made to capture the same crisp, refreshing, balanced flavor of Corona's original Mexican lager-style beer, and every 12 oz. bottle of these Corona non-alcoholic beverages features a taste that's equally enjoyable. For those who seek alternatives to beer without missing out on the flavor of the original, Corona Non-Alcoholic Malt Beverage is sure to be your go-to backyard, bar, or beach drink – from sunrise to sunset! This malt drink 6 pack is conveniently portable and ready for your next social gathering so you can enjoy La Vida Más Fina™. *Per 12 fl. oz. average analysis: Calories 60, Carbs 17.5 grams, Protein 1.3 grams, Fat 0 grams. Relax responsibly®. Contains less than 0.5% alc. by vol. Corona® Non-Alcoholic Malt Beverage with Natural Flavors. Imported by Crown Imports, Chicago, IL,• 6 pack of 12 fl. oz. bottles of Corona Non-Alcoholic Malt Beverage Mexican Import Brew,• Corona Non-Alcoholic brew with fruity-honey aromas,• Crisp, balanced malt drink with natural flavors containing less than 0.5% ABV,• Non-alcoholic beer alternative imported from Mexico,• Non-alcoholic malt beverage that's a great backyard, bar, or beach drink ideal for enjoying La Vida Más Fina™",Malt Beverage with Natural Flavors,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Corona Familiar Mexican Lager Import Beer Bottle,,$4.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0a7ec77a-d63a-4745-b423-1cfce8daf1bf.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2bf38c27-e4bb-4998-bd40-a5d24dd41662.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e0ded5c4-bd09-453a-a308-1adbbf0dae95.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_76a50026-c1da-4ecb-8236-95e7f1d58371.jpg 4x","Rooted in authentic, rich heritage, Corona Familiar Lager Beer is a bright, golden-colored pilsner that is balanced with moderate bitterness and a light finish. A Mexican lager style beer, Corona Familiar combines a full-flavored, light- to medium-body lager beer with the bright, crisp taste for which Corona beer is known. Smooth to drink, this Mexican beer's light carbonation and slight head make it the perfect complement to Mexican food. This imported beer is ideal for gatherings with close friends and family, where the tradition of sharing creates meaningful experiences. A traditional cerveza, Corona Familiar also is the perfect tailgating beer. Containing 154 calories per 12 oz serving and 4.8% alcohol by volume, Corona Familiar is the taste of a great tradition. Drink responsibly. Corona Familiar® Beer. Imported by Crown Imports, Chicago, IL,• Single 32 fl oz bottle of Corona Familiar Mexican Import Beer,• Full-flavored, Mexican beer with bright, crisp taste,• Import beer that pairs well with Mexican food, salads, seafood, chicken, and other light, sweet dishes,• Balanced, Mexican cerveza with light to medium body,• Golden-colored, pilsner-style lager made in Mexico","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Peanut Free,,
Elysian Space Dust 6 Pack Bottles,,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d4cb1d0-b073-4978-8154-11dadb8ff4a5.png 4x,"Elysian Space Dust IPA is an out of this world India pale ale beer with great hopping and bitterness. This light to medium bodied IPA beer is brewed with Chinook hops to bitter and Citra and Amarillo hops as late and dry additions. The Pale, C-15 and DextraPils malts give this craft beer a bright and galactic Milky Way hue. Elysian Space Dust IPA is a craft alcohol with a 73 IBU rating and 8.2% ABV per serving. Enjoy this beer year round and try mixing it with Elysian Superfuzz Blood Orange Pale Ale to make a Fuzzduster. Grab this six pack of beer bottles next time you're getting together with friends. Elysian Brewing prides itself in world class beer, innovation, consistency, quality and balance.,6 pack of 12 fl oz bottles of Elysian Space Dust IPA,India pale ale beer with great hopping and bitterness,Light to medium bodied IPA beer,Case of beer brewed with Chinook, Citra and Amarillo hops,Bottled beer has an 8.2% ABV per serving and a 73 IBU rating",Space Dust IPA.,{},"Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Corona Premier Mexican Lager Import Lower Calorie* Light Beer Cans,$18.59,$29.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75787729-2479-4fa9-a7d6-a3626db7b9dc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_689c581c-24b0-4e47-8524-e36b7b5d8053.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_50280767-ef36-43ea-985a-36eba69c7e87.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35f023b4-10fd-4d34-8b67-eb1207831f75.jpg 4x","Corona Premier Mexican Lager Beer is the light beer experience you desire, offering an exceptionally smooth taste with fewer calories than both Corona Extra and Corona Light. This lower-calorie*, lower-carb, light lager Corona beer in slim cans contains just 90 calories** per 12 oz serving, but with a flavor that is equally as satisfying. This Mexican lager style beer is made with barley malt, unmalted cereals, hops, and bottom-fermenting yeast. The result is a perfectly balanced and drinkable Corona beer with a touch of sweetness and a clean, pleasantly dry finish. Perfect for pairing with grilled pork and chicken, seafood and shellfish, and other fresh dishes, this imported beer also is the ideal complement to Mexican food. Share this light bodied canned beer 12 pack with friends on the golf course or with guests at a backyard barbecue, or enjoy the crisp, refreshing taste of this light lager cerveza on its own.While this is not a low calorie beer or light calorie beer, this product is lower calorie as compared to Corona Extra. *Corona Premier 90 calories per 12 fl. oz volume compared to Corona Extra 148 calories per 12 fl. oz volume. Not a low-calorie food. **Per 12 fl. oz. serving of average analysis: Calories 90, Carbs 2.6 grams, Protein 0.7 grams, Fat 0 grams.,• 12 pack of 12 fl oz slim cans of Corona Premier Mexican Import Beer,• Premium light beer with a touch of sweetness,• Imported lite beer that pairs well with Mexican food, seafood, and grilled pork and chicken,• Mexican lager style beer with exceptionally smooth taste and a clean, pleasantly dry finish,• Golden-hued, low-carb, light lager beer from Mexico","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.,N",Peanut Free,,
"New Belgium Brewing Juice Force Hazy Imperial IPA Beer, 19.2 fl oz Can",$5.29,$6.69, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b2895e9-0644-457e-8bb6-54c77190c3a6.jpeg 4x,"Voodoo Ranger Juice Force Hazy Imperial IPA is a fruit forward, highly drinkable blast. It's a 9.5% ABV IPA that'll send your taste buds soaring with its brilliant flavor. It is equal parts hazy and fruit forward, making it a balanced yet bold craft beer. This IPA pours a cloudy golden-orange and is rich with bright tropical fruit flavors like passionfruit, mango and orange that have just the right amount of juiciness. Buckle up, with this juicy, hoppy, and hazy IPA you'll be buzzing the tower in no time! Brewed by New Belgium Brewing, a certified B-Corp and proud member of 1% for the Planet. If you’re looking for innovative IPAs that are hop forward, bold, and occasionally hazy, the Voodoo Ranger fam has your back. UOM is 19.2 fluid ounces. Count: one can.",contains GLUTEN,See bottom for enjoy by date.,,,,
"The Beast Unleashed Variety Pack, 6% ABV",,$24.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d94f973e-16fd-4b7a-bc2d-f9682d94ea7a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82a5137d-5427-4512-925d-209181ecc93a.jpg 4x","Our original crew has been making drinks for 30+ years now. Our favorite brand Monster Energy is about to turn 21. We figured why not celebrate the big day by making an adult beverage. We hit delete on the energy blend, cut out the caffeine and ditched the sugar. Next we brewed up the smoothest tasting alcohol ever and blended it with our tried and true flavors. The Beast is Unleashed! Great taste, six point ""oh my"" percent alcohol and no sugar to weigh you down. Get ready to celebrate and don't be afraid of the big bad beast. 6% ABV","Scary Berries : Malt Beverage with Natural Flavors, Artificial Sweeteners, and Certified Colors. Mean Green: Malt Beverage with Natural Flavors, Artificial Color, and Artificial Sweetener. White Haze: Malt Beverage with Natural Flavors and Artificial Sweetener. Peach Perfect: Malt Beverage with Natural Flavors, Artificial Sweeteners, and Certified Colors, and FD&C Yellow 5.",{},"Contains alcohol., Government Warning: 1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Founders Brewing All Day IPA, Cans",,$20.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0fe30ba0-ee64-4521-ab3b-48cc8e51c459.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aaa08089-3d52-42d9-bef5-1220b3fd245a.png 4x","The beer that lets you have it all. With All Day IPA you get refreshing AND deliciously flavorful, easy drinking AND high quality. An all-day IPA naturally brewed with a complex array of malts, grains and hops for a balanced citrusy profile and a crisp clean finish. The perfect beer for anyone looking to make the ordinary extraordinary and the good times great.,• Canned beer that contains 140 calories and 10.6g of carbohydrates per serving, at 4.7% alcohol by volume,• Refreshing citrus, floral, and tropical fruit notes, with moderate bitterness and a clean finish makes this your ideal session IPA,• Satisfies your tastes while keeping your senses sharp,• Perfect for any occasion","Water, Malt, Yeast, & Hops",Drink responsibly. They don't serve Founders in the clink.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Corona Extra Coronita Mexican Lager Import Beer Bottles,,$27.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_50189c33-77e0-4eec-a1cc-075d8147a990.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc8cd0cd-128c-4fff-a7c3-0c51a9f746be.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_baa3a350-b92a-4ea0-971b-03127c931d02.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_adeaabfd-c754-4ea9-82c2-25d1f180338c.jpg 4x","Corona Extra Coronita Mexican Beer is an even-keeled, light bodied, imported beer with fruity-honey aromas and a touch of malt. Brewed in Mexico since 1925, this bottled beer's flavor is refreshing, crisp, and well-balanced between hops and malt. Made from the finest-quality blend of filtered water, malted barley, hops, corn, and yeast, Corona Extra Beer has a refreshing, smooth taste that offers the perfect balance between heavier European import beer and lighter domestic beer. Sold in conveniently portable 7 oz beer bottles, this Coronita beer 24 pack is an ideal cooler beer. Corona Extra cerveza is a great summer beer; enjoy it with friends at your next barbecue, beach day, tailgate, or evening get-together. Each small Corona bottle of this Mexican lager style beer contains 87 calories* and 4.6% alcohol by volume. *Per 7 fl. oz. serving of average analysis: Calories 87, Carbs 8.1 grams, Protein 0.7 grams, Fat 0 grams. Relax responsibly®. Corona Extra® Beer. Imported by Crown Imports, Chicago, IL,• 24 pack of 7 fl oz bottles of Corona Extra Coronita Mexican Beer,• Even-keeled Corona beer with fruity-honey aromas,• Mexican import beer that pairs well with all types of food,• Mexican lager style light bodied beer with a refreshing, crisp, and well-balanced flavor,• Pilsner-style lager beer from Mexico with a golden hue","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",Peanut Free,,
Kona Brewing Co. Big Wave Golden Ale 6 Pack Bottles,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bdd307a5-d6cf-4d60-8073-f5d37cb5e0f2.png 4x,"Kona Big Wave Premium Beer is a smooth, easy drinking beer that celebrates the waves of Makaha, the place where the first surf competition was held in Hawaii in 1954. This Kona beer is a refreshing ale that goes down easy after a day out on the water. Brewed with a special blend of hops and caramel malt, Big Wave Premium Beer features a bright, tropical hop aroma & flavor and golden hue. Each 12 ounce serving has 4.4% alcohol by volume. Grab a can of Big Wave anytime you need refreshing drink to pair with your every day Kona moments. Big Wave’s lighter body and island inspired flavor pairs perfectly with a variety of dishes from Cajun chicken pasta to strawberry spinach salad. Since 1994, Kona Brewing Co. has been committed to making craft ales and lagers of un-compromised quality.",,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Sierra Nevada Pale Ale 6 Pack Bottles,$9.99,$11.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_71fecb53-c96d-4b80-98e5-9337d303fb28.png 4x,"Sierra Nevada Pale Ale made hops famous, launching America’s craft beer movement with intense notes of citrus, pine, and smooth malt flavor. At 5.6% ABV, Sierra Nevada Pale Ale is still the gold standard for the American pale ale style, perfectly balancing bold hops and specialty caramel malt for easy drinkability. Using the now-iconic Cascade hop was a risky move when Sierra Nevada Pale Ale first came out. Cascade’s bold aromas of grapefruit and resinous pine shocked taste buds — then shot hoppy beers into the limelight. Whether new to craft beer or a longtime fan, grab Sierra Nevada Pale Ale for its complex flavor and legendary hoppiness. This pack of beer is a crowd pleaser at happy hours, barbeques, and football watch parties. Sierra Nevada Pale Ale comes in cans, so load up the cooler for your next outdoor adventure (yup, the backyard counts). Sierra Nevada Brewing Co. is still 100% family owned, operated, and argued over.","Water, Two Row Pale Malt, Carmelized Malt, Cascade Hops, Ale Yeast",Fresh seal cap. Use bottle opener.,"Warning: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and during pregnancy, can cause birth defects. For more information go to https://www.p65warnings.ca.gov/., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Seagram's Escapes Classic Variety Pack,,$19.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4718a805-f293-4d8e-9a85-d0e289d10417.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_832af898-9c81-40ad-be59-cefb8fddbe44.png 4x","Our bestselling variety pack with SIX unique flavors: Jamaican Me Happy, Calypso Colada, Strawberry Daiquiri, Classic Lime Margarita, Wild Berries and Passionfruit Mango!,Seagram’s Escapes is the iconic brand loved for flavor, color and relaxation! With more than 15 sweet, refreshing flavors, Seagram’s Escapes is the beach in a bottle: just open your go-to flavor, kick back, and Make Happiness Happen wherever you are.","Wild Berries: Contains Fd&c Blue #1, Fd&c Red #40, Classic Lime Margarita: Contains Fd&c Yellow #5, Fd&c Blue #1, Jamaican Me Happy®: Contains Fd&c, Red #40, Strawberry Daquiri: Contains Fd&c Red #40, Calypso Colada: Contains Fd&c Blue #1, Passionfruit Mango: Contains Fd&c Red #40 & Fd&c Yellow #5",{},"Contains alcohol. Does not contain distilled spirits., Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
