Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Peanut Free,Gluten Free
A to Z Oregon Pinot Noir,,$24.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c0af570a-8d30-486a-9c28-93b15f732997.png 4x,"A to Z Pinot Noir greets with a generous assembly of ripe black cherries, blackberries, strawberry jam, and pomegranate, layered with a touch of oak, vanilla, nutmeg, and black tea leaves. Round, juicy, and fresh, the wine has a balanced acidity, lending to the intensity of flavors. A true representation of cool-climate wine, it serves as a great option for new or long-time Pinot Noir lovers. Its complexity and depth result from diverse sourcing across Western Oregon's dynamic growing regions. This medium-bodied Pinot Noir seamlessly pairs with a variety of dishes, from savory meats to earthy vegetables. Recognized twice as a ""Top 100 Wine"" by Wine Spectator, A to Z Pinot Noir is a go-to classic that will complement all occasions.,• True representation of Oregon in a bottle: a blend of pinot noir fruit from diverse vineyards across the state,• Versatile red wine that will pair with most proteins and cooking styles, as well as earthy, rustic vegetables,• Complex on the palate with flavors of black cherries, raspberries, and a hint of spice,• A wine for any occasion - versatile, fun, and approachable,• Best-selling wine from a top-selling Oregon wine brand,• Twice honored as a ""Top 100 Wine"" by Wine Spectator,• Environmentally and socially responsible: certified B Corporation, International Wineries for Climate Action Silver Member, and LIVE winery,• Medium-bodied Oregon Pinot Noir with 13.5% ABV","Pinot Noir Grapes, Sulfites.",Drink responsibly,Contains sulfites,Peanut Free,,
Chateau Ste. Michelle Riesling,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7e328d7e-3de6-4ba9-8f5e-2fdc4ca07e19.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18e97d37-6384-4b49-927f-1a203551ad09.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a3ebea5d-a148-481f-8983-2f6f64d0ca66.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1434d25e-d9a1-4eea-81c0-fbbfb284f018.jpg 4x","Chateau Ste. Michelle Harvest Select Riesling wine captures the rich, ripe flavor of peach followed by notes of apricot, mango and floral. Made in a slightly sweeter style, the results are stunning, with Chateau Ste. Michelle Harvest Select Riesling pairing beautifully with fresh fruit, soft cheese or a spicy main course. This refreshing light bodied Washington Riesling wine is best served chilled to experience its full flavor profile. This bottle of sweet white wine is 750 mL and has 10.5% ABV.,This sweet white Riesling comes from Chateau Ste. Michelle, known for their renowned Riesling grapes. Since 1967, the dedicated winemakers at Chateau Ste. Michelle have crafted some of the most spectacular wines in the world—notably through the meticulous approach to Indian Wells. At Chateau Ste. Michelle, the experience of Washington State’s inviting elegance and sophistication is in everything we do. Championing craftsmanship and creativity to provide a sense of wonder in every bottle. Chateau Ste. Michelle winery owns 3,500 acres in the Columbia Valley of eastern Washington, including Horse Heaven, Canoe Ridge Estate and Cold Creek vineyards.",,Drink responsibly,Contains sulfites,"Gluten Free,Peanut Free",,
Franzia White Zinfandel Pink Wine,,$27.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5eb687cb-02da-4d47-8040-45d05c12557d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_23f86c56-9957-408e-bd33-19fe3f00ec55.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b637c4c2-6deb-4208-b926-3aeeb681d886.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4368e314-00cf-4efe-92c8-b73072f7cc3b.jpg 4x","Franzia White Zinfandel is a crisp and refreshing, light-bodied blush wine with delicate strawberry aromas. This White Zinfandel pairs well with cheese, salad or the perfect playlist. Store in the refrigerator or a cool, dry place and serve chilled. Each 5L box of Franzia yields 34 glasses of wine, which is the best way to share our delicious wine with each and every one of your Franz. Franzia stays fresh for up to 6 weeks after opening and can go where traditional glass bottles can’t: the beach, the park, camping, tailgating, etc! Franzia has a history of over 100 years of crafting delicious, award-winning wines at an unbeatable value. It all started in 1906 when Teresa Franzia planted her first vineyards, which led to the establishment of Franzia Brothers Winery, a legacy she would pass down to her five sons. For years, our quality wines have won more than 150 awards across the portfolio. Today, Franzia remains the World’s Most Popular Wine for 25 consecutive years (by volume), continuing to make Franz around the world with a new design, on-the-go sizes and more delicious flavors. There is a special kind of friendship that is made around a box of Franzia, your Franz for Life.",,"Serve chilled. Store below 72 degrees F. Easy Opening: 1. Place box on its side with panel containing spout perforation facing the ceiling. Press down firmly on tab A, breaking through perforations. 2. Pull entire perforated tab area (tabs A & B) to the left as indicated. Tear off tab A. 3. Reach in and find the spout. Pull spout out of box by its base, sliding the first groove of the spout over the cardboard opening. Set box upright. 4. Close tab B over the top of spout to secure. To dispense wine, slowly twist knob counter-clockwise. To stop flow, twist knob clockwise until fully closed.",Contains sulfites.,,,
Decoy Pinot Noir,$26.49,$33.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aefac1cc-2832-4b6e-bc3d-5d72700801f6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b7398fde-7a59-4931-a339-3367c8c96587.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bc08f5d6-9b8f-4328-9d8a-4c430a790597.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_32436708-67bc-42f4-afff-6d0723b9f251.png 4x","From its enticing bouquet to its layers of lush, pure fruit, this wine captures the vibrant charm of great California Pinot Noir. The palate is soft and silky, with supple tannins accentuating the ripe berry flavors and helping to carry the wine to a bright and focused finish.,• Aromas of strawberry, cranberry and plum, along with oak-inspired hints of vanilla,• On the palate, supple tannins accentuate the ripe berry flavors and help carry the wine to a bright and focused finish,• Pairs with Grilled Salmon/Tuna, Pork, Ham, Duck, Quail, Mushrooms, Wild Rice, Gruyere, Brie, Truffle Cheese,• AVA Sourcing: Sonoma County, Central Coast, Mendocino County, Napa Valley","Pinot Noir, Sulfites.",,Contains sulfites.,,,
19 Crimes Snoop Dogg Cali Gold Sparkling White Wine 750ml,,$13.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_79609d59-1ba5-4cfb-82a5-0e2d4fde3a84.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_133e4c5f-3b63-4322-ad8a-7f023f780a3c.jpg 4x","19 Crimes Snoop Dogg Cali Gold Sparkling White Wine has an approachable off-dry fruity style and floral notes. 19 Crimes tells the true story of rulebreakers who beat the odds, overcame adversity, and went on to become folk heroes in their society. This spirit lives on today through innovators and culture creators, like Cali's own Snoop Dogg. A leader in contemporary pop culture, Snoop embodies the timeless values of the 19 Crimes rogues who came before him. 19 Crimes Cali Gold is perfect to pop the cork for birthdays, brunch or any time of the week.",,{},"Contains sulfites. , Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Fetzer Gewurtztraminer,$9.29,$17.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8926e91c-0a79-4907-a8e2-66ff50c45d06.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1fc9a341-fba9-4aab-a77b-f267c7bec6cb.jpg 4x","Sustainability matters. Better is always possible, so we do all we can-one glass at a time. We focus on people and the planet to keep spirits high, impacts big and footprints small.",,{},Contains sulfites,,,
Barefoot Pinot Noir Red Wine,,$11.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46af06c9-0c66-45eb-8484-b7207a532212.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e32c6719-572d-4b2e-995f-c248ea1a3dd0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c1c7785-b115-4765-8820-7c997752e233.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ced047a-2961-4fe4-af50-5046a40f50f2.png 4x","Barefoot Pinot Noir Red Wine features fruit forward notes of black cherry and wild raspberry in a large 1.5 L red wine bottle. With light brown spice aromas and a silky smooth finish, this California red wine is ideal for backyard barbecues and casual gatherings with friends. Best served slightly chilled or at room temperature, this medium bodied Barefoot wine pairs perfectly with a wide variety of foods. The 1.5 L wine bottles are perfect for larger gatherings. This Pinot Noir wine comes from Barefoot, the most awarded wine brand in US competitions.,• One 1.5 L bottle of Barefoot Pinot Noir Red Wine,• Medium bodied Pinot Noir red wine with notes of brown spice and a silky smooth finish,• Fruit forward notes of dark cherry and wild raspberry,• This Pinot Noir red wine is ideal for backyard barbecues and casual gatherings of friends,• Enjoy this Barefoot smooth red wine with a wide variety of foods,• Pinot Noir wine from California,• From Barefoot, the most awarded wine brand in US competitions,• Consume at room temperature or slightly chilled","Pinot Noir, Sulfites.",{},Contains sulfites,,,
"[yellow tail] Merlot, 1.5L",,$12.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f58ea65d-b557-4fb4-9f8a-dd4962c40146.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_438ce89c-03e0-40fb-a911-6ada20d9aa50.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d715640-618e-423d-ac4f-6f676304b880.jpg 4x","Made in South Eastern Australia, [ yellow tail ] Merlot is a red wine that brings the flavors and essence of the region to your glass, ensuring a smile with each sip. This merlot is everything a great wine should be with its easy to drink, velvety taste and smooth flavor profile. Featuring soft flavors of dark plums, mulberries and spice, this red wine is medium bodied with a lush finish. Enjoy this flavorful red wine with beef, cured meats or antipasto. Take an adventurous approach to this bottle of wine by making mulled wine or red hot chocolate, perfect for sharing with friends. [ yellow tail ] wine is wonderful for livening up casual dinners with loved ones and bringing a lighthearted spirit to any and every event and celebration. This [ yellow tail ] wine bottle is 1.5 L and has a 13.5% ABV. Great quality wine can be affordable and good fun too. We like our wines to be vibrant, flavorsome and approachable, making everyday moments even more enjoyable. A wine for any occasion, [ yellow tail ] is easy to choose, drink and enjoy.",Contains Sulfites.,{},Contains sulfites,,,
Bogle Vineyards Pinot Noir,$9.99,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5938ef64-f552-44e5-8c6a-12c00d60b8ea.png 4x,As grape growers we hold high regard for the mindful lending of the soil and exacting knowledge of the cellar. boglewinery.com. American winery of the year. Wine enthusiast 2019. Certified Green: California rules. Sustainable winegrowing. Alcohol 14.5% by volume 29,"Pinot Noir, Sulfites.",{},Contains sulfites,,,
Sterling Vintners Collection Cabernet Sauvig,$10.99,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e969a4a9-1d23-49cb-8e6c-58b976a8c56d.png 4x,"Bold and structured, Sterling Vineyards Vintner's Collection California Cabernet Sauvignon Red Wine offers classic ripe berry aromatics and satisfying notes of toasted oak and chocolate on the palate. Enjoy it with bold cheese, steak on the grill, or winter stew. Sterling Vineyards was founded in 1964 by Oxford graduate and successful businessman Peter Newton. Newton was an early pioneer of crafting Bordeaux-inspired red wines in California and helped transform the Napa Valley region into the premier winemaking appellation we know today.","Blackberry, Cherry and Black Currant Aromas, Notes of Vanilla and Spice.",,"Government warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. Contains sulfites.",,,
"Peter Vella Chardonnay, California",,$17.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dad496d5-dc0e-42a1-8ffc-49b730e0230b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c254af1-391a-469a-a2a7-88b941834831.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7dafb692-14a3-47b2-a6a9-a239abea5796.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e346f814-d33f-4292-8060-93671c531c0c.png 4x","Peter Vella Chardonnay White Boxed Wine is a refreshing, fruit-forward wine with notes of green apple and pear with hints of oak. This white wine pairs perfectly with pasta, poultry or seafood. Offering a clean, gratifyingly smooth finish, this California wine is best served chilled. Each box of wine features an easy-to-use pour spout for effortless serving, while an inner pouch prevents aging of the wine. Even after opening, this Peter Vella wine stays fresh for up to six weeks when stored in the refrigerator.,• One 5L box of Peter Vella Chardonnay White Wine,• Crisp white wine with fruit-forward notes of green apple and pear with hints of oak,• Convenient box of wine with an easy-to-use pour spout for effortless serving,• Even after opening, our innovative packaging keeps your wines fresh for up to six weeks when stored in your refrigerator. The last glass will taste as great as the first,• An unbeatable value with 34 glasses of award winning wine per box,• Pairs perfectly with pasta, poultry or seafood,• Best served chilled","Chardonnay, Notes of Green Apple and Pear, Sulfites.","Opening instructions:,1. Push perforated opening. 2. Pull tap through opening. 3. Slide tap into opening. 4. Push flap behind tap. 5. Remove seal & dispense wine.",Contains: sulfites.,,,
[yellow tail] Merlot,,$10.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_510d5f2e-2ff6-4a98-82cc-c6267f73850b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f63850c9-5453-4406-9e81-3570012f0e9f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84384768-62e9-4df0-9ff3-a36a52eb5cb5.jpg 4x","Made in South Eastern Australia, [ yellow tail ] Merlot is a red wine that brings the flavors and essence of the region to your glass, ensuring a smile with each sip. This merlot is everything a great wine should be with its easy to drink, velvety taste and smooth flavor profile. Featuring soft flavors of dark plums, mulberries and spice, this red wine is medium bodied with a lush finish. Enjoy this flavorful red wine with beef, cured meats or antipasto. Take an adventurous approach to this bottle of wine by making mulled wine or red hot chocolate, perfect for sharing with friends. [ yellow tail ] wine is wonderful for livening up casual dinners with loved ones and bringing a lighthearted spirit to any and every event and celebration. This [ yellow tail ] wine bottle is 750 ml and has a 13% ABV. Great quality wine can be affordable and good fun too. We like our wines to be vibrant, flavorsome and approachable, making everyday moments even more enjoyable. A wine for any occasion, [ yellow tail ] is easy to choose, drink and enjoy.","Merlot Grapes, Flavors (Dark Plums, Mulberries and Spice).",{},Contains sulfites,,,
Veuve Clicquot Yellow Label Champagne,$85.99,$119.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6fe0d924-7b1c-4d81-999d-fb3a90ed4d2c.png 4x,"Veuve Clicquot Yellow Label 750ml.,Champagne.,Brut.","Chardonnay, Pinot Noir, Meunier",{},Contains sulfites,,,
Franzia Merlot,$26.49,$35.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f8b23dd-d00d-4fae-92d6-3ac32c10e257.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e38ccac7-f9d2-4231-8a28-da816c9115c2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c07d3ded-1c5f-4394-a19e-330640995bf0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_16edfbb3-81ee-4eee-8547-97ef64782998.jpg 4x","A pleasing medium-bodied, dry Merlot with blackberry and raspberry aromas. Pairs well with pork, pasta or date night. Serve at room temperature.","Merlot, Sulfites.","Store in a cool, dry place, less than 70 degrees F. Easy Opening: 1. Place box on its side with panel containing spout perforation facing the ceiling. Press down firmly on tab A, breaking through perforations. 2. Pull entire perforated tab area (tabs A & B) to the left as indicated. Tear off tab A. 3. Reach in and find the spout. Pull spout out of box by its base, sliding the first groove of the spout over the cardboard opening. Set box upright. 4. Close tab B over the top of spout to secure. To dispense wine, slowly twist knob counter-clockwise. To stop flow, twist knob clockwise until fully closed.",Contains sulfites.,,,
Woodbridge Chardonnay White Wine Bottle,$7.99,$9.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_88515ede-5d74-4c31-a3ef-3945bc54897c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ea75d13e-618a-4175-b0d3-4c253bab6b14.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_350fedcb-1d1d-49f0-8692-27717c79c78e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0aa37dec-26a2-4ddf-a047-ffc4c1ab5b48.jpg 4x","Woodbridge Chardonnay White Wine unveils aromas of pear complemented by subtle oak and cinnamon. This California chardonnay wine's light to medium body and vibrant acidity showcase characteristic flavors of peach and apple, leading to a toasty finish with vanilla oak notes. Grapes in this California white wine are sourced from vineyards where warm days and cool breezes permit the grapes to mature fully for nicely balanced, well-rounded flavor. Oak aging on the lees further enriches the texture and complexity of this Woodbridge Wine by Robert Mondavi. Pair this fresh yet silky chardonnay wine with light appetizers, as well as hearty dishes like roast chicken with white truffle risotto, or take time to indulge, enjoying a glass of wine on its own. For best flavor, chill this 750 mL bottle of wine for two to two and a half hours before serving at approximately 50 degrees. Winner of multiple Wine Enthusiast BEST BUY awards since 2011, Woodbridge is Wine Your Way. Please enjoy our wines responsibly. © 2025 Woodbridge Winery, Acampo, CA,• One 750 mL bottle of Woodbridge Chardonnay White Wine containing five 5-oz servings of wine,• California white wine with vibrant aromas and flavors of pear, apple, peach, oak, and toast,• Table white wine that pairs well with light appetizers and hearty entrees,• Medium-bodied white California wine with balanced acidity and rich, toasty finish,• Bottled wine featuring premium grapes from California",Chardonnay,{},Contains sulfites,Peanut Free,,
Dark Horse Pinot Grigio,$8.99,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_34fc26d8-8cf9-434b-915b-e746ba21427d.png 4x,"Dark Horse Pinot Grigio Wine is a bright, crisp and refreshing wine. This California white wine has notes of tart apple and juicy citrus with a subtle minerality to make it a bold, complex table wine. With an easy-to-open cap, this screw top wine is perfectly suited for an impromptu dinner party. Serve this California white wine chilled, and enjoy with lighter dishes or a wine and cheese pairing. By using cutting-edge and innovative winemaking techniques, Dark Horse wine delivers exceptional quality at a reasonable price.,• One 750 mL bottle of Dark Horse Pinot Grigio White Wine,• Notes of apple and citrus,• Aromas of lemon with subtle minerality,• Light body with a crisp, bright finish,• Enjoy this table wine on its own or with any wine and food pairing,• Pinot Grigio wine from California,• Awarded 88 Points from The Tasting Panel,• Serve Pinot Grigio wine chilled","Pinot Grigio, Notes of Apple, Hints of Lemon.",{},Contains sulfites,,,
"Rodney Strong Cabernet Sauvignon, Sonoma County",$22.49,$26.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a4204d31-634b-47ab-88b1-8a0e688dcf11.jpeg 4x,"Committed to community since 1959. In the spirit of our pioneering founder, Rod Strong, we are united by our passion for wine, sustainability and Sonoma County. We believe that nothing brings our community and family together better than sharing a great bottle of Rodney Strong. Our Cabernet Sauvignon has vibrant aromas of cherry and black pepper, along with rich fruit and lingering spicy oak flavors. Certified sustainable winery.",,{},Contains sulfites,,,
"JOSH CELLARS RESERVE Bourbon Barrel Aged Cabernet Sauvignon, 750ml",$27.79,$33.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4a923899-80c3-4b22-8812-06f983762f4a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8ab60a89-fb66-4b5f-a79d-011b78e5b513.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_74cc416a-83a5-4f8d-a5d6-92bdb19d2ae6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c4d5e695-8500-4ffb-8b32-6a1a4c0eb438.jpg 4x","Our rustic and robust Bourbon Barrel Aged Cabernet Sauvignon starts with our award-winning Josh Cellars Cabernet Sauvignon, which is aged for two months in bourbon barrels, imparting notes of cedar, caramel, and a subtle hint of bourbon. Aromas of dark chocolate, vanilla, coffee, and sweet burnt toffee blend harmoniously with flavors of baked black fruits and hints of barbequed meats. This dry red wine is full-bodied with rich tannins and a lingering finish. Pair this red wine with coffee-rubbed steak, smoked vegetables, or your favorite burger. This bottle of wine is rated as one of the top 1% of wines in the world by Vivino and the 2019 vintage was awarded 91 points by Wine Enthusiast. Josh Cellars Reserve Bourbon Barrel Aged Cabernet Sauvignon is 750mL and has a 15% ABV. Created by Joseph Carr and named after his father, Josh Cellars makes high-quality, well balanced, delicious wines that are expressions of gratitude grounded in hard work, high standards and the recognition of others. Josh wine is worth sharing with those who matter.",,{},"WARNING: Drinking distilled spirits, beer, coolers, wine and other alcoholic beverages may increase cancer risk, and, during pregnancy, can cause birth defects. For more information go to www.P65Warnings.ca.gov/alcohol.",,,
Clos du Bois Pinot Grigio White Wine,$13.29,$14.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84f14b8e-8634-4f00-8ab5-b9f8abcf4b9d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5822a751-9184-48e3-9ad7-43561122915b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_224d2d84-812a-4f5b-92eb-7c6e0f1303ae.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_491f15df-1e16-4298-a476-d9f435131879.png 4x","Clos du Bois Winery farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Pinot Grigio has a pale silver straw color with aromas of white peach, melon, and pink grapefruit, with delicate floral notes. In the mouth, this white wine exhibits a vibrant, lively acidity with bright citrus flavors of lime zest, grapefruit, and stone fruit, with hints of minerality and a long, crisp finish. Pair this wine with Asian food, especially anything infused with garlic and coconut-milk-based curries. It is also delicious with raw fish, oysters, mussels, and clams.",Pinot Grigio,"Enjoy a glass chilled by itself, or pair with your favorite Asian or shellfish dishes.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Decoy Sauvignon Blanc,$21.19,$26.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27b3d00e-cc8f-413e-8f09-09040b5929b1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dabe4c98-6b33-43cf-821d-6dd8a3a8d0cb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a2e75faa-e445-45b8-a314-7f91ff7504fb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_059e5a1c-1363-4edd-a51b-1be5f8e5b290.png 4x","This enticing Sauvignon Blanc is fermented entirely in stainless steel, offering vivid citrus and stone fruit flavors with refreshing acidity that carries the wine through to a bright and lively finish.,• Aromas of citrus and stone fruit,• The palate has alluring layers of tangerine, lemon peel, white peach and honeysuckle, culminating to a long, zesty finish,• Pairs with Crab, Oysters, Scallops, Shrimp, Smoked Seafood, Chicken, Pork, Goat Cheese, Caviar, Caesar Salad, Citrus, Vinaigrettes,• California",,,Contains sulfites,,,
Bogle Vineyards Petite Sirah,$9.99,$12.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3bd2b575-ecf7-4070-a1fc-a9f4ef10f4a5.png 4x,"Bogle's ""heritage"" Petite Sirah is known for its concentration and jammy, luscious flavors. This vintage is no exception. Purple. Inky. Rich. Jammy. Our Petite Sirah embodies all of these and more. From the touches of mocha and cocoa on the nose, to the juicy boysenberry and blueberry fruit on the palate, this wine overdelivers. the silky mouth feel leads to even softer tannins, wrapping around the wine like your favorite blanket on a rainy day. Luscious and decadent, this wine finishes with vanilla and sweet clove, lingering after its again in American oak for 12 months. This versatile wine pairs well with a variety of foods like smoked lamb shoulder with rosemary, braised short ribs with blackberry barbecue and smoked gouda cheese.,• Gluten free,• Vegan friendly,• Certified sustainable,• Family owned and operated","Petite Sirah, Sulfites.",,Contains sulfites,,,
Carlo Rossi Sangria Red Wine,$19.89,$23.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7f74844e-2d48-4c6a-9e5e-0632be14e824.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b1f265b-fa11-4518-9eaf-093a285cadee.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_10c111a1-e633-4777-bb7c-95acf2128457.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_24a70fb6-d859-4ade-a46d-e876a97cda4f.png 4x","Carlo Rossi Sangria Red Wine delivers fruit-forward notes of red fruits and citrus fruits. This red wine pairs perfectly with slices of fresh fruit. An unpretentious wine, this fruity Sangria in a larger 4 L bottle is ideal for your next fiesta or pool party. This Sangria wine is best served chilled. Because of its screw top lid, this Carlo Rossi gallon wine bottle allows for easy opening and secure storage.,• One 4 L bottle of Carlo Rossi Sangria Red Wine,• Fruit-forward notes of red fruit and citrus fruit,• Large wine bottle is ideal for social gatherings,• Unpretentious Sangria wine ideal for entertaining,• Red Sangria is perfect for your next fiesta or pool party,• Glass bottle that is 100% recyclable,• This wine bottle is made with a significant amount of recycled glass",Contains Sulfites.,{},Contains sulfites,,,
