Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Milk Free,Gluten Free,Soy Free,Treenut Free
Boboli Original Crust,,$7.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f7b7cd56-1244-44f4-a4be-00431b3ea248.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f40781d9-1275-457a-ad9f-6ffb9adb870e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d94c613c-0a6c-4a68-bc6b-1043ad012761.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_925d0cd9-7097-4f98-a808-5a38c1e644e6.png 4x","Boboli pizza crusts make it easy to get inspired! Our ready-made Boboli 12” Original Pizza Crust can help with all your home cooking needs, from tasty pizzas to delicious desserts. Use Boboli pizza crusts to express your creativity and experiment with our pizza crusts in a variety of recipes, from veggie pizzas to fruit pizzas, and everything in between. Visit Boboli.com and explore more than 75 recipes to make your pizza an original tonight! Boboli Pizza crust has a delicious taste and has no high fructose corn syrup. This item is Shelf Stable. Size Description: Regular.","Wheat Flour, Water, Vegetable Oil (palm), Salt, Yeast, Milk Casein, Sugar, Mozzarella Cheese (milk, Cheese Cultures, Salt And Enzymes), Preservatives (calcium Propionate, Sorbic Acid), Fumaric Acid, Food Starch-modified (potato), Whey, Leavening (sodium Aluminum Phosphate, Sodium Phosphate), Mono-and Diglycerides, Lactic Acid, Natural Flavor, Artificial Color, Enrichment [niacin, Reduced Iron, Thiamin Mononitrate (vitamin B1) Riboflavin (vitamin B2), Folic Acid], Wheat Starch, Garlic, Soy Lecithin",Preheat oven to 450°f. remove boboli® pizza crust from the wrapper. spread some tasty sauce or evoo on the crust. decorate with toppings. place directly on the oven rack or on baking sheet. bake for 10-15 minutes or until desired crispiness. yum!,"Contains wheat, milk.",,,,,
King's Hawaiian Original Hawaiian Sweet Mini Sub Rolls 6PK,,$6.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef610586-0786-402b-9299-b03e7fc411e4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bda5db68-a098-42d9-a243-548b7be7a766.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c779698f-475a-478e-a878-5610b5424f71.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2e1595e3-7353-4f85-9914-d74dc7a5d040.jpg 4x","• One 6 count pack of KING'S HAWAIIAN Original Hawaiian Sweet Mini Sub Rolls,• Sub sandwich rolls made with the original Hawaiian sweet recipe,• Soft bread rolls with a light and airy texture are perfect for any occasion,• Each KING'S HAWAIIAN sub roll is made with no high fructose corn syrup, artificial dyes or trans fat,• Sweet rolls are great as an alternative for sandwich bread and making mini lunch snacks in a hurry,Enjoy the delicious taste of KING'S HAWAIIAN Original Hawaiian Sweet Mini Sub Rolls. This original Hawaiian sweet bread recipe is rolled into an authentic Hawaiian sweet sub roll. KING'S HAWAIIAN mini sub sandwich rolls have a melt-in-your mouth texture– soft and fluffy with just the right touch of sweetness that can elevate any meal. With no high fructose corn syrup, artificial dyes or trans fat, these sweet sub rolls are uniquely crowd-pleasing. KING'S HAWAIIAN Rolls are the perfect size for making mini sandwiches, kid-friendly snacks and sweet snacks such as a Mango Napoleon. When they’re not the main dish, our sandwich rolls still make an impression when shared as a delicious appetizer that’s ready in a pinch. Don’t be surprised if these irresistibly delicious Hawaiian sweet rolls get eaten before they ever make it to the table.","Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Liquid Sugar (sugar, Water), Butter (pasteurized Cream, Salt), Eggs, Contains Less Than 2% Of Each Of The Following: Potato Flour, Whey, Yeast, Nonfat Milk, Salt, Wheat Gluten, Soy Flour, Degerminated Yellow Corn Flour, Sodium Stearoyl Lactylate, Datem, Inactive Yeast, Monocalcium Phosphate, Sorbic Acid Preservative, Wheat Flour, Calcium Sulfate, Sodium Silicoaluminate, Ammonium Sulfate, Wheat Starch, Ascorbic Acid Added As A Dough Conditioner, Enzymes, Sorbitan Monostearate, Mono- & Diglycerides, Microcrystalline Cellulose, Calcium Silicate.","Heat, eat & enjoy. Remove the tray of rolls from the bag and place the tray directly in a preheated oven at 300 degrees F. Heat for 2-3 minutes and enjoy. Oven-safe tray included.","Contains: wheat, milk, eggs, soy",,,,,
Philadelphia Strawberry Cheesecake Desserts with Graham Crumble,,$5.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fb485b0d-bfc0-45d3-b83e-74f0f0d1346b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_26bac146-6443-4679-aa92-2b90dc34112b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dcd86d8c-becf-425d-8a06-fa20c8bddb4c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_04a05975-7f6f-40a0-927e-e7c14cd29ce3.jpg 4x","PHILADELPHIA Cheesecake Crumble Strawberry Desserts is a personal serving of creamy PHILADELPHIA Cheesecake base with graham crumbles and strawberry sauce. Each dessert is made with no artificial preservatives, flavors, or dyes. Just open the convenient Philadelphia Cheesecake Crumble cups, pour the graham crumbles on top, mix and dig into a delicious indulgent dessert. It's the perfect easy dessert for one that can be enjoyed anytime, anywhere. Each package comes with two strawberry dessert cups that are just too good to be shared.,• 2 PHILADELPHIA Cheesecake Crumble Strawberry Cheesecake Desserts,• Our single serve PHILADELPHIA Cheesecake Crumble dessert contains strawberry sauce and real graham crumbles,• A delicious 3-layer cheesecake with strawberry sauce on the bottom, a rich and creamy cheesecake filling and graham cracker crumbles on top for a perfectly indulgent after dinner treat,• Made with no artificial preservatives, flavors, or dyes,• Just open the convenient PHILADELPHIA Cheesecake Crumble dessert, pour the graham crumbles on top, mix and enjoy,• Served in a personal dessert cup that's just too good to be shared,• The perfect dessert for one,• SNAP & EBT eligible food item","Cheesecake Base (pasteurized Milk And Cream, Sugar, Modified Food Starch, Water, Salt, Carob Bean Gum, Cheese Powder [cultured Milk, Salt, Enzymes], Whey, Xanthan Gum, Natural Flavor, Butter [cream], Lactic Acid, Buttermilk, Corn Syrup Solids, Nonfat Milk, Color Added, Natamycin [a Natural Mold Inhibitor], Cheese Culture), Strawberry Sauce (strawberries, Water, Cane Sugar, Modified Corn Starch, Natural Flavor, Carob Bean Gum, Vegetable Juice Concentrate [color], Lemon Juice Concentrate, Salt, Natamycin [a Natural Mold Inhibitor]), Graham Crumble (wheat Flour, Sugar, Graham Flour, Butter [cream, Salt], Molasses, Corn Syrup, Natural Flavor, Sodium Bicarbonate, Salt).","Do not freeze, keep refrigerated.,Best if used by date shown on cup.","Contains: milk, wheat.",,,,,
"Canyon Bakehouse Ancient Grain Gluten Free Bread, 100% Whole Grain Sandwich Bread, Fresh",,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d2d25b8-8ffa-4c9a-8efe-0de21993f005.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_55fb22a4-0c3e-4b16-bc24-c9b8c4fd81c6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b3907515-7bd1-43e7-b6fe-6efc79f75383.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2ac293ed-ee3b-4a2e-a0ef-5d1e9b1e4b49.png 4x","Enjoy the timeless flavor of Canyon Bakehouse® Gluten Free Ancient Grain Sandwich Bread -- baked with ancient whole grains, including sorghum, millet, amaranth and teff. This 100% whole grain bread is certified gluten free without compromising taste or quality. Plus, it's free from allergens like dairy, nuts and soy so your family can enjoy that bakery bread taste without hesitation. Find Canyon Bakehouse Ancient Grains Bread in the fresh bread aisle and eat within five days of opening the inner bag. Baked with subtle sweetness, these multigrain bread slices make a delicious canvas for any sandwich or toast creation. Grab a whole grain bread loaf to take your family from weekday breakfast to school lunches and beyond. Your whole family will love Canyon Bakehouse gluten free products, including gluten free bagels, English muffins, hamburger buns and more.,For more than 10 years, Canyon Bakehouse has raised the bar on gluten free baking, making delicious offerings the whole family will enjoy -- so everyone can Love Bread Again®.,• You'll get one 15 oz loaf of Canyon Bakehouse Gluten Free Ancient Grain Sandwich Bread,• Certified gluten free bread free from dairy, nuts and soy so the whole family can love bread again,• 100% whole grain bread loaf bake with subtle sweetness and ancient grains, including sorghum, millet, amaranth and teff,• This bread makes delicious gluten free toast and sandwiches for your whole family to enjoy,• Never compromise taste with Canyon Bakehouse gluten free breads, bagels, hamburger buns and more,• Kosher","Water, Tapioca Flour, Brown Rice Flour, Whole Grain Sorghum Flour, Cane Sugar, Potato Starch, Certified Gluten Free Whole Grain Oat Flour, Sunflower Seeds, Non-gmo Expeller Pressed Canola Oil, Contains Less Than 2% Of Xanthan Gum, Egg Whites, Eggs, Molasses, Whole Grain Millet, Yeast, Cultured Brown Rice Flour, Sea Salt, Whole Grain Teff, Whole Grain Quinoa, Whole Grain Amaranth, Vinegar (organic Cane Sugar Vinegar), Enzymes, Whole Grain Buckwheat Flour.","Our stay-fresh packaging keeps your bread fresh long after it's been made in our bakery. Once the inner bag is opened, enjoy within 7-10 days.",Contains: eggs,"Gluten Free,Soy Free,Treenut Free",,,,
Nature's Own Soft White Keto Bread,,$9.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6e02f4da-ab95-4121-aea1-9f9cf6c085a9.png 4x,"Get the most out of life with Nature's Own Life™ Keto Soft White Bread. This keto bread contains 1g net carbs per slice, providing a high flavor and fiber bread for those following a keto diet. Made to be delicious to the last bite, this sandwich bread also delivers on some very specific dietary preferences with 35 calories per bread slice. Pair it with your favorite meats and cheeses for a keto friendly lunch or toast it in the morning for a low-calorie breakfast. Pile on the goodness and bring everyone together with Nature's Own breads, buns and rolls.,At Nature's Own, we believe that anything worth doing is worth doing right. It's a standard applied to each and every product that makes its way out of Nature's Own bakeries. Choose from a variety of bread flavors and styles to fit whatever sandwich you have in mind. As America's #1 selling loaf bread brand*, Nature's Own maintains the freshness and softness that makes it a family favorite bread with no artificial preservatives, colors or flavors, and no high fructose corn syrup. Goodness is in our nature.,*Source: IRI Syndicated Data for the total U.S. latest 52 weeks ending 12.25.2022,• You'll get one 16 oz loaf of Nature's Own Life Keto Soft White Bread,• Keto bread with 1g net carbs and 35 calories per slice provides a good source of fiber,• No artificial preservatives, colors or flavors, and no high fructose corn syrup,• Say hello to a 35 calorie per slice sandwich bread with a soft, pillowy texture perfect for topping with meats and cheeses,• Pile on the goodness with Nature's Own sliced breads, buns and rolls","Water, Modified Wheat Starch, Wheat Protein Isolate, Yeast, Contains 2% Or Less Of Each Of The Following: Vinegar, Soybean Oil, Cultured Sugar, Enzymes, Guar Gum, Monoglycerides, Salt, Soy Lecithin.",,"Contains: wheat, soy. Manufactured on shared equpment that also processes products containing sesame. May contain sesame.",,,,,
"Mission Tortilla Wraps, Flour, Super Soft",,$5.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9b3f4859-3cdc-4391-9da2-8e08285b56dc.jpeg 4x,,"Water, Modified Wheat Starch, Wheat Flour, Vital Wheat Gluten, Wheat Gluten Isolate, Vegetable Shortening (interesterified And Hydrogenated Soybean Oils), Salt, Calcium Propionate (to Maintain Freshness), Distilled Monoglycerides, Sodium Acid Pyrophosphate, Baking Soda, Sorbic Acid (to Maintain Freshness), Fumaric Acid, Cellulose Gum, Steviol Glycosides.","Heating Instructions: For best results: Medium heat in skillet for 10 to 15 seconds per side. Place 4 to 6 tortillas between two damp paper towels for 30 to 45 seconds.,For freshness refrigerate after opening.",Contains: wheat,,,,,
Nature's Own Sliced Hawaiian Bread,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1dae5444-d543-4557-9404-9700b139844f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e1fb1c17-7d6c-42e9-b72f-fef8d9073c6a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_32129f82-d584-480b-8b94-887558119ec4.png 4x","If you crave a sweet taste of the tropics, you will love Nature's Own® Hawaiian. With tropical goodness packed into a signature Nature's Own bread loaf, this Hawaiian bread provides a twist on your standard sliced bread. Each slice of this soft sandwich bread contains no artificial preservatives, colors or flavors; no high fructose corn syrup; and no cholesterol. Plus, with 0 grams of trans fat per serving, Nature's Own Hawaiian is a low-fat food and the perfect sliced bread option for sandwich and toast recipes. Quickly put together a school lunch or plan an impromptu picnic, or you can pair this tropically sweet bread with your favorite deli meats or classic peanut butter and jelly. Pile on the goodness and bring everyone together with Nature's Own breads, buns and rolls.,At Nature's Own, we believe that anything worth doing is worth doing right. It's a standard applied to each and every product that makes its way out of Nature's Own bakeries. Choose from a variety of bread flavors and styles to fit whatever sandwich you have in mind. As America's #1 selling loaf bread brand*, Nature's Own maintains the freshness and softness that makes it a family favorite bread with no artificial preservatives, colors or flavors, and no high fructose corn syrup. Goodness is in our nature.,*Source: Circana Syndicated Data for the total U.S. latest 52 weeks ending 01.21.2024,• You'll get one 20 oz loaf of Nature's Own Hawaiian Bread,• Soft bread slices with a subtly sweet tropical flavor baked into every bite,• No artificial preservatives, colors or flavors, and no high fructose corn syrup,• Pair this sandwich bread with honey ham or classic peanut butter and jelly,• Pile on the goodness with Nature's Own sliced breads, buns and rolls","Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Yeast, Wheat Gluten, Pineapple Juice Concentrate, Contains 2% Or Less Of Each Of The Following: Soybean Oil, Salt, Cultured Wheat Flour, Monoglycerides, Butter* (made From Milk), Monocalcium Phosphate, Enzymes, Ascorbic Acid, Soy Lecithin.",{},Manufactured on shared equipment that also processes products containing sesame. May contain sesame.,,,,,
"La Banderita Flour Tortilla, Extra Large",,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6df0b448-1353-4f14-965d-b041cb9367f6.jpeg 4x,"La Banderita Flour Tortillas are made with unbleached flour and the finest ingredients to ensure authentic taste. With excellent taste and premium quality ingredients, you won’t taste a softer or fresher tortilla. Their versatility will allow you to create countless recipes such as tacos, quesadillas, burritos and more! You won’t taste a softer or fresher tortilla! Try it for yourself!,• Made with Unbleached Flour,• No Sugar Added,• No Cholesterol,• No Hydrogenated Oils","Enriched Unbleached Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin And Folic Acid), Water, Vegetable Shortening (contains One Or More Of The Following: Palm Oil And/or Olive Oil), Contains 2% Or Less Of The Following: Salt, Aluminum-free Leavening (sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Wheat Protein, Preservatives (calcium Propionate, Sorbic Acid), Dough Conditioner (fumaric Acid, Xanthan Gum, Mono- And Diglycerides, Sodium Metabisulphite).","Heating instructions: Place one tortilla at a time in a dry skillet over medium heat and cook for about 30 seconds on each side. Heating instructions: Place 4 to 6 tortillas in a microwave, separated by damp paper towels for 30 to 45 seconds. Filling steps: 1. Fill with your favorite toppings. 2. Fold over 1/4 bottom and one side of tortilla. 3. Roll over top of tortilla.,Refrigerate after opening.,Tear off to open.",Contains: wheat,,,,,
Pepperidge Farm Farmhouse Sweet Hawaiian Bread,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8cb4d39c-d554-4d55-aadb-7e9461fe6b01.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35326d10-abd0-4b3c-b1ac-624083f1398f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4629b754-5178-4b75-85ff-1fa623fe7a6c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7b7afc7a-35d2-4bba-8eb6-0eec3596abfe.jpg 4x","Farmhouse is the bread you would make if you made bread. At Pepperidge Farm, we have been baking delicious breads inspired by small batch recipes and crafted with premium ingredients for over 75 years. For us, baking is more than a job, it’s a real passion. Our dedication to quality shows in the care we put into every detail. Pepperidge Farm Farmhouse Sweet Hawaiian Bread stays true to the classic recipe you know and love: A delicious, versatile Hawaiian bread baked with quality ingredients and a touch of sweetness with no high fructose corn syrup and no flavors or colors from artificial sources. These thick slices of sandwich bread are soft, yet strong enough to stand up to any sandwich ingredient. And with a delightfully mild flavor, it’s the perfect bread for sandwich lovers. Enjoy the great taste of homemade, because after all, there’s no taste like home.","Enriched Wheat Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Wheat Gluten, Yeast, Contains 2% Or Less Of: Vegetable Oils (soybean And/or Canola), Salt, Nonfat Milk, Monoglycerides, Calcium Propionate And Sorbic Acid To Extend Freshness, Cellulose Gum, Baking Soda, Natural Flavors, Annatto And Turmeric For Color, Malted Barley Flour, Soy Lecithin, Datem",{},"Contains: wheat, milk, soy.",,,,,
"Ole Xtreme Wellness High Fiber Flour Tortillas, Keto Certified",,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_842bd295-db2f-4b5a-8c5d-2f57b971db06.jpeg 4x,"The Xtreme Wellness High Fiber tortilla will instantly meet all your fiber needs! You can get 12g of fiber, 60 calories, and 4g of net carbs per serving size! From tacos to burritos, this tortilla will allow you to enjoy any meal that you make while consuming 4g of protein. This one-of-a-kind tortilla will leave you satisfied beyond your expectations!,• 12g of dietary fiber per serving,• 4g net carbs per serving,• 60 calories per serving,• Made with extra virgin olive oil,• Keto certified","Water, Modified Wheat Starch, Wheat Protein, Cellulose, Whole Wheat, Contains 2% Or Less Of The Following: Extra Virgin Olive Oil, Salt, Xanthan Gum, Ground Flax Seed, Aluminum-free Leavening (sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Preservatives (calcium Propionate, Sorbic Acid), Dough Conditioner (fumaric Acid, Mono-and Diglycerides, Sodium Metabisulphite)","Preferred Warming Method: Skillet: Place one tortilla at a time in a dry skillet over medium heat and cook for about 30 seconds on each side. Microwave: Microwave: Place 4 to 6 tortillas in a microwave, separated by damp paper towels for 30 to 45 seconds.,Refrigerate after opening.,Tear off. Press to reclose.",Allergens: wheat and soy,,,,,
"Old El Paso Taco Dinner Kit, Crunchy",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e75a5d4a-2b9f-49c7-864d-e0255bdfe0e8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4bd2865e-0f01-4da4-8fe7-799aa553f6ba.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d2c64e6f-a9c9-4d6b-b34c-e329969a7e0f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b56d6367-3ae5-4344-a34b-d6b256c0d0ae.png 4x","Take the trouble out of taco night with Old El Paso Crunchy Taco Shells Dinner Kits. You get 12 Old El Paso crunchy taco shells, taco seasoning and taco sauce all in one box, so your tacos can be ready in about 20 minutes. Simply add your favorite fillings and toppings to create an easy and delicious fiesta any night of the week. Tonight, we taco!,For more than 80 years, Old El Paso has been bringing families and communities together to celebrate old and new traditions around delicious, Mexican-inspired flavors. We believe that any night can be a taco night, and we’re here to help make it a little easier and a lot more delicious. Our variety of crispy hard taco shells, tasty soft tortillas, flavorful seasonings, and much more help make taco night fun.,• TACO SHELLS: Dinner kit contains crunchy taco shells, taco sauce and seasoning mix,• MEXICAN-STYLE ENTREES: Add your favorite ingredients to make delicious tacos in minutes,• AMAZING TASTE: This kit is bursting with flavorful ingredients that are seasoned to Old El Paso perfection,• QUICK AND EASY: Ready in about 20 minutes, these kits are perfect for any busy night,• ENDLESS OPTIONS: Explore all our Old El Paso products for delicious meal options,• BOX TOPS FOR EDUCATION PARTICIPATING PRODUCT: Give back to schools with Old El Paso. Download the Box Tops App to learn more & start earning cash for schools in need today.","Taco Shells: Limed Corn Flour, Palm Oil, Salt, Taco Sauce: Water, Tomato Paste. Contains 2 % Or Less Of: Sugar, Salt, Modified Corn Starch, Distilled Vinegar, Spice, Sea Salt (potassium Magnesium Chloride, Salt), Citric Acid, Garlic Powder, Onion Powder, Chili Pepper, Seasoning Mix: Chili Pepper, Corn Starch, Salt, Onion Powder, Maltodextrin, Spice, Sea Salt (potassium Magnesium Chloride, Salt). Contain 2 % Or Less Of: Vegetable Oil (canola Oil And/or Soybean Oil), Silicon Dioxide (anticaking Agent), Citric Acid, Sugar, Natural Flavor","For food safety and quality, follow the cooking directions. Refrigerate leftovers. Make 12 Tacos in 3 easy steps! You Will Need: 1 lb ground beef and 3/4 cup water 1. Cook beef in 10-inch skillet over medium-high heat 6 to 7 minutes, breaking up and stirring; drain. Stir in water and seasoning mix; heat to boiling. Reduce heat; simmer uncovered 3 to 4 minutes, stirring often, until thickened. 2. Unwrap shells. To heat in oven, place shells on cookie sheet and pull apart slightly. Bake at 325 degrees F for 6 to 7 minutes until crisp. (to heat in microwave, place shells on microwavable plate. Fan out, overlapping slightly. Microwave on high 45 seconds until warm.) 3. Spoon beef filling into taco shells. Top with desired toppings and Taco Sauce. Do not heat taco shells in toaster oven due to possible risk of fire. Store leftover taco shells in resealable food bag or container.",Does Not Contain Declaration Obligatory Allergens.,,,,,
"Mission Tortilla Wraps, Burrito, Whole Wheat, Super Soft",,$8.09, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a39f5624-a614-453a-a2ed-57a976083c98.jpeg 4x,,"Water, Modified Wheat Starch, Whole Wheat Flour, Vital Wheat Gluten, Wheat Gluten Isolate, Vegetable Shortening (interesterified And Hydrogenated Soybean Oils), Salt, Calcium Propionate (to Preserve Freshness), Sodium Acid Pyrophosphate, Baking Soda, Distilled Monoglycerides, Fumaric Acid, Sorbic Acid (to Preserve Freshness), Caramel Color, Cellulose Gum, Enzymes, Steviol Glycosides","Heating Instructions: For Best Results: Medium heat in skillet for 10 to 15 seconds per side. Place 4 to 6 tortillas between two damp paper towels for 30 to 45 seconds.,For Freshness: Refrigerate after opening.",Contains: wheat,,,,,
Stonefire Garlic Mini Naan,,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3152ae4d-1199-4f8d-a161-fb1e25609406.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c0ed720-f338-42b7-ad2b-a0e2aeb07933.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d44db4ec-ae76-4f83-a18e-efc70d3f2b58.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0afccda6-66c5-44e9-a1d8-13ba7e38aaac.png 4x","Perfect for meals that need a savory companion. An excellent substitution garlic bread or create a delicious pizza with your favorite toppings. Soft, fluffy and delicious! Stonefire® Roasted Garlic Naan bread is our classic, delicious fire-roasted garlic table bread with a hint of cilantro and small enough to fit your toaster. We stay true to an ancient recipe by using fresh buttermilk & ghee (clarified butter) and hand-stretching each naan into its unique teardrop shape. Then each Stonefire® naan is baked in our high heat patented oven to create our signature bubbles & char and an amazing texture and taste you notice on first bite. Just heat and serve to make any meal special.,• Perfect for meals that need a savory companion,• Excellent substitution for traditional garlic bread,• Perfect for the toaster,• Baked in our patented high heat tandoor tunnel oven to create our signature bubbles & char and an amazing texture and taste you notice on first bite","Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added As A Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Buttermilk (skim Milk, Dry Buttermilk, Bacterial Culture), Water, Soybean And/or Canola Oil, Roasted Garlic, Cultured Wheat Flour, Eggs, Sugar, Baking Powder (sodium Acid Pyrophosphate, Baking Soda, Cornstarch, Monocalcium Phosphate), Sea Salt, Ghee (clarified Butter), Wheat Gluten, Cilantro, Dextrose, Dextrin, Carrot Fiber, Yeast","Better served warm. Remove naan from packaging. Spritz with water before heating. Once warmed, lightly brush with olive oil or butter. Bake: 400 degrees F (200 degrees C) for 1 minute. 2 minutes from frozen. Grill 350 degrees F (180 degrees C) for 1 minute. 2 minutes from frozen. Grill 350 degrees F (180 degrees C) 1-2 minutes. 4-5 minutes from frozen. Toast: Heat at home at medium setting. Microwave: Wrap top and bottom with paper towel. High setting for 15 seconds. 20-30 seconds from frozen. Can be frozen to maintain freshness.,Cut off top of bag & peel and reseal.","Contains: wheat, milk and eggs. May contain: soy.",,,,,
Guerrero White Corn Tortillas,$2.89,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d042ac36-280a-411e-8367-4f03e403add8.jpeg 4x,"We use high-quality ingredients and time-tested techniques to make sure every package of Guerrero White Corn Tortillas are an authentic addition to your family's dinner table. Our tortillas have a soft texture and traditional flavor that enhances any recipe, from Mexican dishes passed down through the generations to any modern twist you can come up with. Guerrero White Corn Tortillas are also gluten-free and don't contain any lard, trans fat, or cholesterol. We recommend loading our corn tortillas with homemade carne guisada topped with avocado and cotija cheese. Includes one 30-count package of Guerrero White Corn Tortillas.","Corn Masa Flour, Water, Contains 2% Or Less Of: Cellulose Gum, Guar Gum, And Propionic Acid, Benzoic Acid And Phosphoric Acid (to Maintain Freshness)",{},,Gluten Free,,,,
Schär Ciabatta Rolls,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b8f718d-0541-4a5b-9f98-d9b363c3178d.png 4x,"Our Italian style Ciabatta's are packed with ancient grains and crafted with our European recipe. Now MONASH certified Low FODMAP! This product is Gluten Free and Soy Free.,Ciabatta is Gluten Free, Soy Free, and Lactose Free,Ciabatta delivers the Artisan-style taste and texture,Ciabatta is Wheat Free and non-GMO","Corn Starch, Water, Corn Flour, Rice Flour, Psyllium Seed Husk (vegetable Fiber), Dextrose, Modified Cellulose, Soy Protein, Sunflower Oil, Yeast, Salt, Tartaric Acid, Citric Acid.","For that Fresh Bakery Taste: 400 degrees F; 6-10 min.,Storage Instructions: Unopened product can be stored at room temperature until the best before date. Once opened, refrigerate in an airtight bag or container and use within 2-3 days. Packed in a modified atmosphere. Previously frozen. Do not refreeze.,Best before: See imprint.",Contains: soy.,Gluten Free,,,,
