Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,Peanut Free,Treenut Free,"Enjoy the delicious taste of chorizo with El Burrito Organic Soyrizo Meatless Soy Chorizo. Made with non-GMO soybeans and free of cholesterol and preservatives, this vegan product has 60% less fat than traditional chorizo. The seasoning blend includes spices, chile pepper, onion powder, garlic powder, and sea salt for a flavor that's hard to resist. This gluten-free and kosher product is also organic and vegetarian. Quick fry on high heat after removing the casing and savor the rich aroma. With only 90 calories per serving, this product is a healthy addition to your meal. Get yours today through Instacart for same-day delivery or pickup!","Craving a meat alternative that is both delicious and healthy? Look no further than Upton's Naturals Lightly Seasoned Shredded Jackfruit. This vegan and vegetarian option is made with only natural ingredients, including organic jackfruit, garlic, and onion. Plus, it's gluten-free and low in fat for guilt-free indulgence. With five grams of fiber per serving, this shredded jackfruit is perfect for adding to tacos or salads for a filling meal. Each container has two servings so you can enjoy it now and later. Order it today on Instacart for same-day delivery or pickup!",Egg Free,Fish Free,Wheat Free,"For a protein-packed meal that's sure to satisfy, try Wildwood Grilling Tofu, Organic, High Protein, Super Firm. Made with organic soybeans and gluten-free ingredients like magnesium chloride and calcium sulfate, this tofu is super firm and perfect for grilling or pan-frying. With 14 grams of protein per serving and only 130 calories, it's a great choice for vegetarians and vegans looking to boost their protein intake. Keep it refrigerated as it's perishable. You'll love the taste and texture of this organic tofu in your favorite recipes. Get it delivered to your doorstep or pick it up at a store with Instacart same-day delivery or pickup.",Milk Free
Franklin Farms Chik'n Seitan,$6.39,$7.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c651758-ff0b-4197-82eb-aad89e540ed2.png 4x,"Plant based. Turn your favorite recipes into delicious meatless dishes with our Chick'n Seitan, a tender food made from wheat! Our seitan is ready-to-eat, bite-sized and packed with 13 grams of protein per serving! Mildly seasoned Chick'n Seitan is ready to enhance the flavor of any dish!","Water, Textured Wheat Protein (wheat Gluten, Wheat Flour, Phosphate, Natural Mixed Tocopherols ), Autolyzed Yeast Extract, Salt, Sugar, Hydrolyzed Corn Protein, Carrot Powder, Natural Flavors, Onion Powder, Spices And Garlic Powder.","Heating Instructions: Seaitan is precooked and only needs heating. To saute or pan fry: Lightly oil the pan and use low heat to prevent sticking. To microwave: Heat on high for about 20-30 seconds. (Microwave times may vary). Seitan can also be baked or steamed.,Serve hot or cold.,Perishable. Keep refrigerated.",Contains: wheat.,,,,,,,,,,,,
"Tofurky Chick'n, Slow Roasted, BBQ Style",,$4.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_668e1f34-6b46-4adc-9890-c79e64a984ce.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_054195da-3f6f-4e65-b357-50971f134947.png 4x","Tofurky® Slow Roasted Chick'n Barbecue.,Still Family Owned & Independent Since 1980.,All Vegan.,No Cholesterol.,Low Saturated Fat.,Excellent Source of Protein.,Flavorful & Smoky Tangy.,Plant - Based.,Net Wt. 8 oz. (227 g).","Water, Vital Wheat Gluten, Tofu (water, Soybeans, Magnesium Chloride, Calcium Chloride), Expeller Pressed Canola Oil, Cane Sugar, Tomato Paste, Molasses, Natural Flavors, Contains Less Than 2% Of Cornstarch, Oat Fiber, Sea Salt, Spices, Granulated Garlic, Onion Powder, Vinegar, Natural Smoke Flavor, Sunflower Oil, Sesame Oil, Celery Seed Oil, Calcium Lactate, Citric Acid, Potassium Chloride, Titanium Dioxide (for Color), Gum Arabic, Xanthan Gum.","Remove Chick'n from box. Poke 2-3 holes in microwave friendly pouch and heat on high for 60 seconds. Let cool and toss with your favorite ingredients! Stovetop: Sautee in a skillet with 2 T. oil, on high for 2 minutes per side. After lightly searing, let cool and enjoy!,Keep refrigerated/ok to freeze.","Contains: wheat, soy, sesame.",,,,,,,,,,,,
"Loma Linda Tuno, Lemon Pepper",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_698c86f7-8a61-4ee9-892b-315760e6ef11.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1dee9f95-b98e-443d-ad5e-1f02611a10e7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dded8031-4432-45c4-8014-de46f57942eb.png 4x",Sustainable plant-based goodness. Great new texture. Plant based. Ocean safe.,"Non-gmo Textured Soy Protein, Water, Soybean Oil, Sugar, Lemon Juice, Salt, Black Pepper Ground, Citric Acid, Seaweed, Xanthan Gum, Natural Lemon Flavor","To Prep: Drain well and mix as you would any tuna salad, or add to any recipe calling for tuna.",Contains: soy.,,,,,,,,,,,,
Morinaga Mori-Nu Organic Silken Tofu,,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b62e8fc7-f479-42d9-8dc6-a6a802d4a53f.png 4x,"For soups, salads & desserts. What makes our tofu special: No refrigeration until opened. Award-winning aseptic package. Long shelf life. Soft firm, extra firm. Good alternative to meat, eggs, and dairy in cooking. No preservatives. Please recycle.,• Kosher,• Organic,• Gluten Free,• Vegan,• Dairy Free,• Low Fat,• Cholesterol Free/No Cholesterol","Water, Organic Soybeans, Glucono-delta-lactone, Calcium Chloride","Keep in a cool, dry place. Refrigerate unused portions in an airtight container and use within 2 days.,(1) Unfold flaps and cut along dotted line. (2) Pull tab up and cut along dotted line. (3) Turn package over and repeat.",Allergen information: contains soy,Gluten Free,,,,,,,,,,,
Nature's Promise Organic Firm Tofu,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ed43b2ef-f5bf-4a4b-a18d-4b785db66774.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_386f1391-36f2-4409-a3fd-2455a677fbf4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eaf17ccc-01fe-4ce4-b097-3e8e11701dff.png 4x",8 g protein per serving. Per 3 oz: 80 calories; 0.5 g sat fat (3% DV); 5 mg sodium (0% DV); less than 1 g total sugars. USDA Organic. Certified Organic by Quality Assurance International. Guiding Stars: guidingstars.com. No GMOs ingredients (in compliance with the USDA National Organic Program). No chemical preservatives. No prohibited synthetic ingredients (in compliance with the USDA National Organic Program). No prohibited chemical pesticides (in compliance with the USDA National Organic Program). Quality guaranteed or your money back. Guiding Stars: 1.,"Water, Organic Soybeans, Calcium Sulfate, Magnesium Chloride.",Keep refrigerated. Unused Portions: Add water and store covered in the refrigerator. Change water daily and use within 5 days.,Contains: soy.,,,,,,,,,,,,
"Yves Veggie Cuisine Ground Round, Italian Veggie",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_264cac17-d993-417a-beca-62a25c13edf3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9fc2c62f-79a9-40db-8fd5-4b9a2d0c16f1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a5df7b3d-6cfb-4c77-b74c-07a0eb94fbe6.png 4x","Simulated ground beef. Contains no meat. PEFC Certified. This carton is from sustainable managed forests, recycled and controlled sources.,• Kosher,• Plant-Based","Water, Textured Soy Protein, Natural Flavours, Malt Extract, Spices, Salt, Seasoning, Guar Gum, Cane Sugar, Dehydrated Red Bell Pepper, Yeast Extract, Potassium Chloride, Magnesium Chloride, Magnesium Sulfate, Vitamin and Mineral Blend, Wheat Starch.","Pre-cooked! Just heat and enjoy! For best results add Veggie Ground Round in the last few minutes of cooking. You can also enjoy right out of the package. Freezable up to 3 months. Thaw or cook from frozen; use within 4 days.,Keep refrigerated.","Contains: soy, wheat, mustard, barley.",,,,,,,,,,,,
Nature's Promise Organic Extra Firm Tofu,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_954595ad-915a-4004-b249-a16c3d827267.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d784dca1-fb91-4809-bc34-e1e3a2f6e5ec.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19ea0e3f-9b70-42a0-b133-d709420fe2d6.png 4x",9 g protein per serving. Per 3 oz: 90 calories; 0.5 g sat fat (3% DV); 5 mg sodium (0% DV); 1 g total sugars. USDA Organic. Certified Organic by Quality Assurance International. Guiding Stars: guidingstars.com. No GMOs ingredients (in compliance with the USDA National Organic Program). No chemical preservatives. No prohibited synthetic ingredients (in compliance with the USDA National Organic Program). No prohibited chemical pesticides (in compliance with the USDA National Organic Program). Quality guaranteed or your money back. Guiding Stars: 1.,"Water, Organic Whole Soybeans, Magnesium Chloride.",Keep refrigerated. Unused Portions: Add water and store covered in the refrigerator. Change water daily and use within 5 days.,Contains: soy.,,,,,,,,,,,,
"Beyond Meat Plant-Based, Feisty Crumbles",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5b208256-b3cb-4a35-97d6-ec3b1573a1d4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e5f10a0-3c7e-478f-a25f-8559658504c1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_32f08603-9758-4c39-ac73-6b9c8a8cabd4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3380c01a-c65d-4b73-9ab9-a75a5e78af59.jpg 4x","These convenient and flavorful plant-based beef crumbles add a punch of protein to any meal and go from freezer to plate in 5 minutes or less. Beyond Beef Crumbles are an excellent source or protein (14g per serving), and have no cholesterol, no saturated fat and only 3 g of total fat per serving. Made from simple plant-based ingredients - like peas - Crumbles have no GMOs, soy or gluten. Each 10 oz bag is frozen and ready to toss in chili, on pizza, nachos and beyond. See nutrition panel for fat, sat fat and sodium content.","Water, pea protein*, expeller-pressed canola oil, spice, rice flour, tomato powder, natural flavor, sugar, potassium chloride, contains 0.5% or less: citric acid, paprika extract (for color)","Cook Method: Non-Stick Skillet Two Servings: Preheat pan to medium-high heat and lightly oil. Add 1 cup of frozen crumbles and sauté for about 4 minutes, stirring frequently. Full bag: Preheat pan to medium-high heat with oil. Add frozen crumbles and sauté for about 6 minutes, stirring frequently. Equipment may vary. Times given are approximate. Always cook to an internal temperature of 145 degrees F. Not recommended microwave or air fryer.,These feisty crumbles deliver fiesta-worthy flavor in every bite, pre-crumbled to help you make easy meals full of big beef taste. Carefully crafted seasoning brings an extra kick to tender ground beef. All made from 100% plant-based protein for fully-rounded, red-hot recipes.,Perishable: Keep frozen. Storage & Prep: Store frozen. Cook from frozen.,Tear.",*Peas are legumes. People with severe allergies to legumes like peanuts should be cautious when introducing pea protein into their diet because of the possibility of a pea allergy. Contains no peanuts or tree nuts.,,,,,,,,,,,,
RollinGreens Ground Taco Plant-Based Me'eat,$7.99,$8.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_31c1160c-1df2-4c00-a8d6-2092bd4b5f23.png 4x,,"Pea Protein, Pinto Bean Flakes (pinto Beans, Salt), Onion Powder, Garlic Powder, Chili Powder, Cumin, Sea Salt, Apple & Carrot Juice (color), Jalapeño","Cooking Instructions: 1 Add 2 cups of water and 1-2 tbsp of olive oil or your preferred oil to a pan or pot and turn heat to high. 2 Bring water to a boil. 3 Add laco Meeat contents to boiling water and stir. 4 Reduce heat to Medium-low. 5 Let Cook for 1-10 minutes or until water evaporates, stir occasionally. 6 Remove from heat and allow it to cool for 1-2 minutes. Serve in your favorite tortilla shell for tacos, burritos, nachos, chili, taco salad. sloppy foes & more.",,Gluten Free,,,,,,,,,,,
"Lightlife Deli Slices, Plant-Based, Hardwood Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6aeddace-83e7-419d-98ea-f51d2007117e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d802b384-a5b4-4095-a6de-28cdf380d058.png 4x",,"Water, Wheat Gluten, Soy Protein Isolate, Soybean Oil, Dehydrated Vegetables (onion, Garlic, Tomato), Contains Less Than 2% Of: Spices, Sea Salt, Wheat Starch, Carrageenan, Natural Flavor, Salt, Gum Arabic, Yeast Extract, Smoked Paprika (color), Cane Sugar, Natural Smoke Flavor",Keep refrigerated,"Contains: soy, wheat.",,,,,,,,,,,,
Big Mountain Foods Cauli Crumble Veggie Grounds,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e0fbc39-ec3f-472e-b536-5ee13df9d5e6.png 4x,"Craft unbeatable tacos, elevate pasta dishes, master stir-fries, and conquer wrap creations with the award-winning Cauli Crumble Veggie Grounds","Canadian Yellow Split Peas, Cauliflower, Red Pepper, Sunflower Seeds, Coconut Oil, Sunflower Oil, Onion, Salt, Garlic, Tomato Powder, Black Pepper, Smoked Paprika.","Warm Me Up (Heating Instructions): Remove plastic. Although our products are pre-cooked. We recommend heating to 160 degrees F (71 degrees C) minimum before consuming. Add to only recipe that will be cooked, or heat it on its own. To pan-fry, cook in lightly oiled pan, medium heat, for 2-5 minutes. To microwave, place in a microwave-safe dish and heat on high for 90 seconds or until hot. If kept frozen, thaw before cooking.,We're fresh. Keep us in the fridge.,For optimal freshness, consume within 3 days of opening, or freeze for later, heating instructions and best before date listed on bottom.",,,,,,,,,,,,,
"Tofurky Deli Slices, Bologna Style, Plant-Based",,$4.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5ed9534a-f18b-4042-8888-5dc43ca99af3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27a7fe3d-43c5-493c-9f1a-adbb1a573d10.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0ab39772-54e0-47ad-a182-1a9c678af4b3.png 4x","Still family owned & independent since 1980. Sandwiches are everything we ever wanted in a meal - savory, stackable, shareable, happily wrapped packages of yum. Pickles plus one. Friendliest Food on the Plate: Good food is kind to people, animals, the environment, and especially tastebuds. That's exactly the kind of food we've been making att Tofurky for more than 35 years. Recycle it. Certified B Corporation.","Water, Vital Wheat Gluten, Tofu (water, Soybeans, Magnesium Chloride, Calcium Chloride), Expeller Pressed Canola Oil, Cane Sugar, Contains Less Than 2% Of Sea Salt, Spices, Granulated Garlic, Onion Powder, Natural Flavor, Natural Smoke Flavor, Color (lycopene, Purple Carrot Juice), Oat Fiber, Carrageenan, Dextrose, Konjac, Potassium Chloride, Sunflower Oil, Xanthan Gum.",Keep refrigerated / ok to freeze.,"Contains: soy, wheat.",,,,,,,,,,,,
"Nasoya Tofu, Silken",,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e727ef6-46f0-4a60-a7aa-5a53b24607e1.jpg 4x,"Pasteurized. No preservatives.,• Kosher,• Cholesterol Free/No Cholesterol,• No Preservatives/No Artificial Preservatives","Water, Whole Soybeans, Calcium Sulfate, Nigari (sea Water Extract)",Perishable. Keep refrigerated unused portion: Add water and store covered in refrigerator change water daily and use within 5 days.,Contains: soy.,,,,,,,,,,,,
"Field Roast Celebration Roast, Sage & Garlic, Plant-Based",,$10.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94075415-f635-456f-857b-74c09041289e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d900c1de-43c9-4a0f-b9a5-4bfec8f841bd.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_985fd39a-1a14-4f6d-8a38-ac37284a3cf1.png 4x","Vegan. Non GMO Project Verified. nongmoproject.org. Discover a world of flavor. Ready to eat. A perfectly seasoned plant-based roast enjoyed as a centerpiece, appetizer or in a sandwich. fieldroast.com. fieldroast.com/carbonneutral. Carbon Zero (Learn more about our commitment to carbon neutrality: fieldroast.com/carbonneutral): Made by a carbon neutral company.","Ingredients: Filtered Water, Vital Wheat Gluten, Expeller Pressed Safflower Oil, Wheat Protein Isolate (wheat Gluten, Trisodium Phosphate, Malic Acid, L-cysteine), Yeast Extract (yeast, Salt, Sugar), Barley Malt Extract, Wheat Flour, Butternut Squash, Dehydrated Garlic, Onion Powder, Apples, Organic Wheat Flakes, Garlic, Yellow Pea Flour, Mushrooms, Cultured Cane Sugar, Vinegar, Lentils, Lemon Juice Concentrate, Sea Salt, Tomato Paste, Red Cooking Wine (red Wine, Water, Salt), Black Pepper, Paprika (color), Rubbed Sage, Spices, Rosemary, Carrots, Natural Smoke Flavor.","Preparation: Serve hot or cold. Field Roast Celebration Roast is fully cooked and ready to eat. Thaw and remove packaging before use. Oven (as a Centerpiece): Preheat oven to 325 degrees F. Place roast in a pan, baste with broth or oil and herbs, and reheat until warmed through (30-40 min). Stove Top (as slices): Slice into 1/4 inch pieces. Lightly brown in saute pan with a little oil or gill. Microwave: Slice and place on microwavable-safe plate. Reheat for one minute or less. Avoid overcooking.,Serve Cold: Slice and use in sandwiches and salads.,Keep refrigerated. May have been previously frozen. Okay to refreeze.",Manufactured in a facility that processes tree nuts. Contains: wheat.,,,,,,,,,,,,
"Yves Veggie Cuisine Veggie Dogs, Jumbo",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_44b236bf-d019-4fcb-9f24-82fe60c49762.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_afd798e6-843c-472d-a407-d873a88be906.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3b2b371-0bff-4f56-bffd-94d73d750480.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40c83245-b93f-4082-bb57-b280aadc30ae.png 4x",Contains no meat. Pre cooked. Just heat & enjoy!,"Water, Soy Protein Isolate, Vital Wheat Gluten, Contains 2% or Less of: Salt, Sugar, Wheat Starch, Spices, Yeast Extract, Carrageenan, Natural Flavors, Vitamin and Mineral Blend (Dimagnesium Phosphate, Ferric Orthophosphate, Zinc Oxide, Niacinamide, Vitamin B12, Calcium Pantothenate, Thiamine Hydrochloride, Pyridoxine Hydrochloride, Riboflavin), Red Iron Oxide and Red Beet Powder (for Color), Extractives of Spices.","Cooking Instructions: Steam or Boil: Steam or boil for 3 to 4 minutes. Microwave: Place 2 wieners in water and loosely, cover dish. Microwave on high power for 2 to 3 minutes. BBQ: Lightly brush with oil. Grill over medium heat for 2 to 3 minutes, turning halfway through.,Keep refrigerated.",This product contains soy and wheat. It is manufactured in a facility that uses egg ingredients.,,,,,,,,,,,,
"Yves Veggie Cuisine Ground Round, Mexican Veggie",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8c0173fa-c41b-4bf7-a936-7a071dd2fe70.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_49433959-dcfd-4fca-a4e3-a628f62c34d9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d04b5873-373c-46cb-baea-1e157d110c51.png 4x",,"Water, Textured Soy Protein, Onions, Canola Oil, Spices, Salt, Sugars (Cane Sugar, White Sugar), Malted Barley Extract, Natural Flavours, Yeast Extract, Lemon Powder (Rice Syrup Solids, Lemon), Guar Gum, Tapioca Starch, Red Peppers, Black Pepper, Maltodextrin, Citric Acid, Onion Powder, Vitamin and Mineral Blend (Rice Flour, Ferrous Fumarate, Zinc Oxide, Niacinamide, Vitamin B12, Calcium Pantothenate, Thiamine Hydrochloride, Pyridoxine Hydrochloride, Riboflavin), Wheat Starch.","Just heat and enjoy! For best results add veggie ground round in the last few minutes of cooking. You can also enjoy right out of the package. Freezable up to 3 months. Thaw or cook from frozen; use within 4 days.,Keer refrigerated.","Contains: soy, wheat, mustard, barley.",,,,,,,,,,,,
Unreal Deli Unreal Roasted Turk'y Premium Plant-Based Deli Slices,,$7.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_697849b8-141d-4cbb-a39a-de0d709ca107.png 4x,"Vegan Roasted Turkey Slices,How have you bean? Whole cannellini beans join forces with the almighty chickpea to pack every slice of our savory roasted turk'y with tons of vitamins and minerals in addition to a protein-rich punch at 16g per serving!,Made for a classic Deli Cold Cut Sub or Turkey BLT layered with lettuce, mayo, tomato, and cheese, these slices are sure to satisfy your nostalgic hankering for the good stuff. Not to mention slathering it in cranberry sauce and mushroom gravy for some traditional Thanksgiving leftover action!,Along with our recyclable/compostable packaging, we source our ingredients locally and never use anything GMO so that our carbon footprint is as minimal as possible.,Eat Good. Feel Good. Do Good.","Water, Wheat Protein, White Beans (white Kidney Beans, Water, Salt, Calcium Chloride), White Corn, Potato Starch, Apple Cider Vinegar (apple Cider Vinegar, Water), Celery, Onion, Spice Mix (garlic, Onion, Sea Salt, Spices, Shiitake Mushrooms), Contains 2% Or Less Of: Cultured Dextrose, Nutritional Yeast (inactive Dry Yeast, Vitamin B3, Vitamin B1, Vitamin B2, Vitamin B6, Folic Acid, Vitamin B12), Canola Oil, Vegan Natural Flavors (safflower Oil, Yeast Extract, Potato Starch, Salt, Sunflower Oil, Dextrose, Natural Flavors), Sea Salt, Methylcellulose, Soy Sauce (water, Soybeans, Wheat, Salt, Lactic Acid, Less Than 0.1% Sodium Benzoate), Titanium Dioxide (for Color), Dijon Mustard (water, Mustard Seeds, Vinegar, Salt)","Ready to eat cold or heated.,Perishable. Keep refrigerated. Ok to freeze.,Best enjoyed within 5 days of opening.",Consume within 5 days of opening.,,,,,,,,,,,,
House Foods House Firm Tofu,,$3.51Buy 12 for $41.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b394d313-f4f0-4435-8e1b-dfb7f889b751.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2a33f31b-e4cd-4729-b90a-73ce0366cdd6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_555348a2-c6ad-42f6-b669-4cc3375391ff.png 4x",Pasteurized with double cooling system for premium quality. Certified gluten-free. Non GMO Project verified. nongmoproject.org. 4 pieces. How firm is firm? 4. Cook up happiness. No preservatives. www.house-foods.com. Made with US soybeans.,"Water, Soybeans, Calcium Sulfate.",Keep refrigerated. Perishable. Store in water.,Contains soy,Gluten Free,,,,,,,,,,,
Oscar Mayer Bratwurst Style Plant Based Sausages,,$10.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b6b641f1-6fc2-4253-933e-c42963fc9efc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ceed1458-eabf-411a-9960-b91e881b240b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9992bf69-2fd7-4730-85c6-d468c86ba8c4.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8e4c3d9d-0de0-46d7-ab08-c9be3212a14a.jpg 4x","Introducing Oscar Mayer Plant-Based NotSausage, Bratwurst Style, available in a 10.7 oz, 4 count pack. Grill up plant-based goodness with our delicious, mouthwatering Bratwurst Style NotSausage. Try our plant-based sausage with your favorite foods and recipes, like our Bratwurst Style NotSausage with sauerkraut or grilled onions. In a bun or on a plate, our plant-based Bratwursts are a tasty alternative to meat!,• One 10.7 oz pack containing 4 Oscar Mayer Plant-Based NotSausage, Bratwurst Style links,• Grill up plant-based goodness with our delicious, mouthwatering Bratwurst Style NotSausage,• Our first ever plant-based Oscar Mayer dinner sausage,• In a bun or on a plate, our plant-based dinner sausage are a tasty alternative to meat,• Try our plant-based sausage with your favorite foods and recipes, like our Bratwurst Style NotSausage with sauerkraut or grilled onions,• Oscar Mayer — a trusted household name has teamed up with NotCo to create tasty plant-based dinner sausage,• 75% less saturated fat than the leading pork sausage brand; This product contains 1g saturated fat per serving, leading pork sausage brand contains 7g saturated fat,• 12g of protein per serving (16% daily value),• Once opened, please keep our fully cooked plant-based dinner sausages refrigerated and consume within 5 days of opening","Water, Canola Oil, Textured Pea Protein (pea Protein, Pea Fiber), Wheat Gluten, Methylcellulose, Cultured Sugar (to Support Quality), Sugar, Potato Starch, Salt, Natural Flavor (non-meat), Bamboo Fiber, Yeast Extract, Nutritional Yeast (inactive Dried Yeast, Thiamin [b₁], Riboflavin [b₂), Niacin [b₃], Pantothenic Acid [b₅], Pyridoxine [b₆], Folic Acid [b₉], Cyanocobalamin [b12), Zinc Sulfate), Casing (sodium Alginate, Konjac Gum, Guar Gum), Carrageenan, Soy Lecithin, Mushroom Powder, Sunflower Oil, Vegetable Juice (for Color).","Heating Directions: Skillet: Heat 1 tsp. oil in non-stick skillet over medium heat. Add sausages; cook 5 to 6 min. or until heated through, turning frequently. Grill: Heat grill to medium-high heat. Add sausages; cook 5 to 6 min. or until heated through, turning frequently.,Keep refrigerated.,For best quality, purchase and use by date on pack. Once opened, best consumed within 5 days.","Contains: wheat, soy.",,,,,,,,,,,,
Franklin Farms Chickpea Tofu,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa9ad60d-fe18-4200-b91e-e4ff9ae1b679.png 4x,,"Water, Chickpea Flour.",,,,,,,,,,,,,,
"House Foods Tofu + Sauce Starter Kit, Spicy Orange, Vegetarian",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cbfdcbfd-2556-48c0-b9d6-a180e058da0b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4e21e13f-c47f-490b-9ca2-850f1b8486e3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d56842ff-1aba-49b5-90e2-b74449d2bebb.png 4x",,"Tofu: Water, Soybeans, Calcium Sulfate, Calcium Chloride. Sauce: Water, Sugar, Soy Sauce (Water, Soybeans, Wheat, Salt), Orange Juice Concentrate, Tomato Paste, Corn Starch, Contains 2% or Less of: Salt, Ginger Puree (Ginger, Citric Acid), Red Jalapeno Peppers (Red Jalapeno Peppers, Salt, Acetic Acid, Calcium Chloride), Distilled Vinegar, Dehydrated Minced Garlic, Onion Puree (Onion, Citric Acid), Sesame Oil, Dehydrated Orange Peel, Natural Flavors, Spices, Xanthan Gum.","Directions: From fridge to pan to plate in 10 minutes. 1. Drain water from the tofu and dry as much as possible with paper towel. 2. Heat 1 Tbsp. vegetable oil (optional) in nonstick pan. 3. Cook tofu on high heat until golden brown (about 3 minutes). 4. Add 6 oz cut vegetables of your choice (broccoli, carrots, snow peas, etc). Cook about 2 minutes. 5. Reduce heat to low. Add contents of sauce packet and stir. Cook for 1-2 minutes.,Perishable. Keep refrigerated.","Contains: soy, wheat and sesame.",,,,,,,,,,,,
