Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
"Echo Falls Atlantic Salmon, Scottish, Whisky Cask Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01306d1b-c9bf-4fbd-bff3-74370e2eb106.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1666d507-d839-42be-910b-f0ce0dd72e9a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07018f26-c1a2-431d-990e-403ded46ad16.png 4x",,,,"Atlanitic Salmon (color Added), Salt, Natural Hardwood Smoke.","Serving Suggestions: 1. Roll a slice of smoked salmon and place on top of a rye cracker with herbed cream cheese, a sprig of dill, and lemon zest. 2. Shingle smoked salmon slices on a platter and complement with your favorite garnishes; sprigs of dill, lemon wedges, cracked black pepper, diced red onions, and more as desired. 3. Craft smoked salmon boats by filling endive leaves or cucumber wedges with a dollop of crème fraiche, diced red onions, capers, and top with a slice of rolled salmon.,Important: Must be kept refrigerated at or below 38 degrees F. For best quality enjoy by date marked on package. Use within 4 days after opening.,For best quality enjoy by date marked on package. Use within 4 days after opening.",May contain bones.,,,,,,
Acme Smoked Fish Honey Maple Smoked Salmon,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7b9aa69c-ff81-4003-aea0-7553c05ff04b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c92f17ba-885a-407f-958a-7542802e8862.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_086e181a-4235-4e04-9067-e125e51ae547.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_904a328f-deac-4c00-8f12-ab1313d1f46c.jpeg 4x",,,"Atlantic salmon, glazed with a house blend of honey and maple, then hot smoked. For second-to-none succulence, fork-tender texture, and I’ll-be-having-seconds flavor.","Salmon, salt, honey, maple syrup and natural hardwood smoke.",Store below 38 degrees Fahrenheit,May contain bones,,,,,,
"Spence & Co., Ltd. Salmon Pinwheels, Smoked",,$19.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_114d7701-8f26-43f2-94f1-a683f648f722.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a39a95c8-922c-438f-abc1-7de633f7f4f3.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c63b5b82-7700-4289-9345-547e207672fe.png 4x",,,"Hand-made. Delicately prepared using all-natural hard wood smoked salmon. Spence or Spens: One of the ancient clans of Scotland - meaning dispenser or keeper of the larder (food store). This tradition of Scottish smoking is carried on and cherished by Spence & Co. Emulating the past to preserve the future. Spence & company, ltd. Has taken its buttery soft, subtly smoky, Scottish-style smoked salmon and hand-rolled it with a fine herb cream cheese to produce a connoisseur's delight: The smoked salmon pinwheel. Perfect as an hors d'oeuvre when served on a cucumber slice, your favorite cracker, as an accompaniment for a salad, or garnish for an entree. The recipes and uses are endless. Bon appetit! The carotenoid used in the feed of farm-raised salmon is identical to the natural carotenoid consumed by salmon in the wild and is the source of the color of this fish.,• Kosher","Smoked Salmon (atlantic Salmon, Salt, Hardwood Smoke), Cream Cheese (pasteurized Cultured Milk And Cream, Salt, Stabilizers (carob Bean And/or Guar Gums)), Lemon Juice, Chives, Sodium Caseinate, Maltodextrin, Enzyme",Perishable; Keep refrigerated at 38 degrees F or below.,"Contains: fish, milk may contain bones",,,,,,
"Nathan’s Famous Salmon, Nova, Keta, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f70cb3e0-7a90-48ee-a667-7ee8bd8a3e2e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f52ea49b-bbd1-4863-87a1-0c710a791b38.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c08bd3cb-fa41-46c4-8736-bcd195f3ab68.png 4x",,,"Nathan's Smoked Wild Caught Nova Salmon is pre-sliced, ready to eat and easy to use. For decades we have been creating delicately Smoked Wild Caught Nova Salmon using our traditional recipe. Our salmon are cured and slowly hardwood smoked, so that the delicate qualities of the salmon balance with just the right amount of smoky flavor. The result is the superb flavor you would expect from a traditional delicatessen smoked salmon.","Ingredients: King Salmon, Salt, Sugar, Sodium Benzoate, Sodium Erythorbate, Sodium Nitrite (added As Preservatives), Fd&c Yellow #5, Yellow #6, Red #40, Blue #1, Natural Hardwood Smoke.",Important: Must be keep refrigerated at or below 38 degrees F.,"Allergens: contains fish, fd&c yellow #5.",,,,,,
"Blue Hill Bay Salmon, Herb, Smoked",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_18d0b055-509b-4154-80db-916354636022.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e89643d0-d039-49ab-8aff-0408571de642.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bfd5db54-4f91-46d4-a0df-df106bc7e667.png 4x",,,"Fully cooked. Blue Hill Bay, Acme's signature line of premium smoked fish products, is an homage to flour generations of proud Acme family, Brooklyn tradition, since its inception in 2000, the acclaimed Blue Hill Bay line follows traditional European curing and smoking methods using only the freshest fish available and the finest natural ingredients. Astaxanthin is a carotenoid used in the feed of farm raised Atlantic salmon; it is in the same family as Vitamin A. Carotenoids are part of the natural diet consumed by salmon in the wild and give salmon its distinctive color.,• No Preservatives/No Artificial Preservatives,• Gluten Free,• Kosher","Salmon, Salt, Dill, Natural Hardwood Smoke","Handling Instructions: This product is ready-to-eat. Best if used within 5 days of opening. Must keep refrigerated at 38 degrees F or below. Smoked fish can also be kept frozen for extended shelf life. If frozen, it must be thawed under refrigeration. Avoid cross-contamination by keeping this product separate from raw foods.,Serving Suggestions: For the best taste, remove smoked fish from the package and allow it to sit at room temperature for a few minutes before serving.,Keep refrigerated at 38 degree F or below.",May contain bones,,,,,,
"GreenWise Flounder Fillets, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7278da59-cf1f-4645-b222-f6ffda44f8c0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ef5bcc9-adec-4f29-b01a-3ab935961c6e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ead2e25d-5646-4b95-9824-5b2bcf7c6f20.png 4x",,,"Contains 255 mg of EPA and DHA omega-3 fatty acids per serving. Excellent source of protein. All natural. Fresh frozen. Boneless. Skinless. No artificial preservatives. Publix Guarantee: Complete satisfaction or your money back. publix.com/greenwise. Scan for more information. Sustainably sourced (For more information, visit publix.com/seafood-sustainability). Product of USA.",Ingredients: Flounder Fillets.,"Thawing Instructions: Achieve best results by removing fish from all packaging. Cover fish, place in refrigerator, and thaw for 8-12 hours (or overnight). Thaw quickly by removing fish from outer bag and placing sealed fish under cold running water for 15-20 minutes or until thawed. Prepare fish when thawed. Do not refreeze. Cooking Instructions: Preheat oven to 400 degrees F. Arrange single layer of fish in lightly greased baking pan; season as desired. Bake about 5-10 minutes, if thawed (about 15-20 minutes, if frozen). Fish is done when flesh is opaque, separates easily with a fork, and has an internal temperature of 145 degrees F. For best results, do not overcook. Care is taken to remove bones. However, some may escape detection. Use reasonable care with this product. Ovens vary; adjust cooking times as needed.,Keep frozen.","Consuming raw or undercooked seafood may increase your risk of foodborne illness, especially if you have certain medical conditions.",,,,,,
"Publix Crab Meat, Swimming, Claw",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_53702ba7-47e1-432d-a956-fbfe30c30227.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c998f133-8ae5-457d-9572-22f13e7f0418.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e3b7da1c-3ba9-46d7-a71d-69569d1692dc.png 4x",,,"Ready to serve and eat. Responsibly (For more responsibly sourced information, visit publix.com/seafood-sustainability) sourced. Wild caught.","Pasteurized Swimming Crab Meat, Sodium Acid Pyrophosphate To Promote Color Retention.",Keep refrigerated. Keep at 33 degrees F - 36 degrees F. Do not freeze. Consume within 2 days of opening. Discard container after use.,Contains crab.,,,,,,
"Tria Crab Cakes, Handcrafted",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b0eeba28-2c9a-41ba-9bea-b69ae96c5a64.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_276f0516-97e3-4e4d-aacb-749d50b74206.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa87abdd-71c2-40a6-9bd3-d5e4ce5be845.png 4x",,,,"Crabmeat (crabmeat, Sodium Acid Pyrophosphate To Retain Color). Mayonnaise (soybean Oil, Vinegar, Eggs, Egg Yolks, Salt, Sugar, Water, Lemon Juice Concentrate, Ground Red Pepper, Dried Garlic, Mustard Oil), Panko Breadcrumbs (wheat Flour, Cane Sugar, Yeast, Sea Salt), Liquid Eggs (whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid). Duon Mustard (water, Vinegar, Mustard Seed, Salt, White Wine, Fruit Pectin, Citric Acid, Tartaric Acid, Sugar, Spice), Sweet Peppers (sweet Peppers, Water, Sugar, Vinegar, Salt, Citric Acid, Ascorbic Acid, Calcium Chloride), Lemon Juice (meyer Lemon Juice And Lemon Juice, Natural Flavors), Green Onion, Heavy Cream, Worcestershire Sauce (distilled White Vinegar, Molasses, Sugar, Water, Salt, Onions, Anchovies, Garlic, Cloves, Tamarind Extract, Natural Flavorings, Chili Pepper Extract), Sugar, Seasoning (celery Salt [salt, Celery Seed], Spices Including Red Pepper And Black Pepper And Paprika), Salt, Cayenne Pepper.","Cooking Instructions: Conventional Oven From Frozen: 1. Preheat oven to 350 degrees F (175 degrees C). 2. Place crab cake on baking sheet and put on middle rack in the oven. 3. Allow to cook for 22-24 minutes or until crab cake reaches an internal temperature of 165 degrees F (74 degrees C). 4. Allow to rest for 1 minute and serve.,Best if used by.","Contains: egg, fish (anchovies), milk, shellfish (crab), wheat. May contain shell fragments.",,,,,,
Skin-off Wild Caught Pollock Fillets,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b91f7f49-92e9-4329-a7e9-56b06b182a07.jpg 4x,,,,"Pollock, Water, Sodium Tripolyphosphate (added To Retain Moisture).",,Contains: pollock. Caution: may contains bones.,,,,,,
"Food Lion Crab Meat, Imitation",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9afc0d9a-8ebb-4acd-b148-5a8375dcc426.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8b99e05e-dcfa-418c-9b05-833b7b6482c7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f50cddb-5a27-479d-9423-cbc0d55f7b21.png 4x",,,"Food Lion Crabmeat, Imitation, Flake Style, Bag Cooked & ready to eat. A blend of fish & king crabmeat. 80 calories; 6 g protein. Per 1/2 (85 g) serving.","Alaska Pollock, Water, Egg Whites, Corn Starch, Sugar, Sorbitol, Contains 2% Or Less Of: King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (anchovy, Sardine), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Soy Lecithin, Carmine, Paprika, Color Added.","Keep refrigerated. Product can be frozen prior to use-by date and kept frozen for up to 9 months.,Tear - easy to open and to reseal.,For best results, use within 3 days after opening.","Allergy information; Contains fish (alaska pollock, anchovy, sardine), crustacean shellfish (king crab, blue crab, snow crab, lobster), egg, soy.",,,,,,
"Nature's Promise Atlantic Salmon Portions, Farm Raised, Skin On",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac78f826-9091-4f03-a749-06f7e262449e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2164a8be-63ad-4642-be7e-8e07b931c0ae.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_213d3f33-5ff4-44e1-a78d-bf8005ebb8a2.png 4x",,,,Atlantic Salmon (color Added [astaxantin]).,"Cooking Instructions: Cook thoroughly until flesh is opaque and separates easily with fork (internal temperature should reach 145 degrees F). Oven: Preheat oven to 350 degrees F. Place salmon skin side down on greased pan, bake 14-16 minutes. Air Fryer: Preheat air fryer to 390 degrees F, place salmon directly skin side down on greased rack. Air fry for 7-8 minutes. Broil: Preheat broiler, place salmon skin side up on broiler pan, cook for 3-4 minutes each side.,Previously frozen. Do not refreeze once thawed keep refrigerated.",Contains: atlantic salmon.,,,,,,
"Phillips Lobster, Claw & Knuckle",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37f682ed-7e58-43bb-9e78-54236532488b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c77ffa8f-b428-4a7b-a282-b1f8a1ec1159.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3166c1f-e035-480a-bdce-fa8df14c376f.png 4x",,,,Lobster.,Never frozen. Keep refrigerated.,Contains: Crustacean shellfish (lobster).,,,,,,
Hilton's Extra Small Willapoint Oysters,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51b81a50-9632-4a02-8c2b-3793ce173c86.jpg 4x,,,,,,,,,,,,
Paisley Farm Cowboy Caviar,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35e4d52b-e392-4141-ae5d-42a5396c308e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62416245-70a9-4a27-9609-f8c83e1e4b65.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b845b394-5537-4c24-96b8-5b62bf93b38e.png 4x",,,"Enjoy a blend of corn, peppers, and onion that is perfect as-is, added to salads, or as a ready made chip dip","Whole Kernel Corn (corn, Water, Sugar, Salt), Water, Pinto Beans, Black Beans, Onion, Red Pepper, Sugar, Vinegar, Red Wine Vinegar, Contains 2% Or Less: Natural Flavors, Salt.","Serve straight from jar, add into soups or salads or use as a corn salsa dip.",,,,,,,
"Echo Falls Atlantic Salmon, Oak Smoked, Santa Fe Spice",,$21.69,,,,,"Smoked Atlantic Salmon (Color Added), Brown Sugar, Salt, Honey, Citric Acid, Spices Including Paprika, Chili Powder, Sea Salt, Dehydrated Garlic, Rice Concentrate (Anti-Caking Agent).","Important: Must be kept refrigerated at or below 38 degrees F.,For best quality enjoy by date marked on package. Use within 7 days after opening.","Contains: fish (salmon)., May contain bones.",,,,,,
Nature's Best Seafood Surimi Super Snow Crab Legs,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_997f1334-edd7-4de9-8585-6c440f03eb3f.png 4x,,,"Fully cooked. Ready to eat. Wild caught. Committed to sustainable seafood.,• Gluten Free","Surimi Fish Meat (Cutlassfish and Threadfin Bream), Sugar, Egg White Powder, Sodium Tri Polyphosphate, Tetra Sodium Pyrophosphate, Water, Modified Tapioca Starch, Rice Wine (Rice Wine, Sugar Syrup, Water, Ethanol, Salt, Disodium Succinate, Disodium Guanylate, Disodium Inosinate), Sugar, Salt, Egg White Powder (Egg Solids, Citric Acid), Monosodium Glutamate, Calcium Carbonate, Crab Flavor (Water, Flavoring Preparation (Anchovy), Salt, Medium Chain Triglycerides (Coconut, Palm), Sunflower Oil, Sugar, Monosodium Glutamate, Ribonucleotides, Xanthan Gum, Potassium Sorbate), Skipjack (Skipjack Extract, Salt, Ethanol, Xanthan Gum), Corn Starch, Crab Extract (Water, Glycerol, Fructose Syrup, Salt, Shrimp Extract, Crab Extract, Sugar, Propylene Glycol, Monosodium Glutamate, Tapioca Starch, Disodium 5-Ribonucleotides, Citric Acid, Flavorings, Xanthan Gum, Potassium Sorbate), Lycopene Color, Soy Lecithin, Paprika Color.","Quick Thawing Instructions: While frozen, place into a strainer and rinse gently with cool water until thawed. Keep frozen until ready to use. Once thawed, do not refreeze.,Keep frozen. Keep frozen until ready to use. Once thawed, do not refreeze.","Contains: fish (cutlassfish and threadfin bream), soybean, eggs, tree nut (coconut), and crustaceans (crab and shrimp).",,,,,,
Blue Hill Bay Smoked Wild Alaskan Sockeye Salmon,,$11.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3df5746c-4d34-4212-9999-09f7a432c3f7.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d891a133-c548-4fa3-8d54-95c8b7d6e3d5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8dbfe79f-b251-4a4f-be0d-5b00828321b2.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07289a57-f41c-4c23-9c4c-af21a07a47a0.png 4x",Gluten Free,,"Blue Hill Bay® Smoked Wild Alaskan Sockeye Salmon. Complemented by a full line of smoked wild salmon, other specialty smoked fish including trout, mackerel, whitefish, salmon, alaskan black cod (sable), smoked fish salads, whitefish, pickled herring, and marinated salmon. This ready to eat product packed with protein makes a delightful appetizer, is great on a bagel and delicious in a salad, sandwich or entree. Contains no gluten, preservatives.","Sockeye Salmon, Salt, Celery Powder, Natural Hardwood Smoke","Handling instructions: Must keep refrigerated at 38 degrees F or below. Smoked salmon can also be kept frozen for extended shelf life. If frozen, it must be thawed under refrigeration. Best if used within 5 days of opening. This product is ready to eat. Avoid cross-contamination by keeping this product separate from raw foods.",May contain bones,,,,,,
Marine Harvest Sockeye Salmon,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1459a815-d8ab-4ab9-974c-1578cc03e0bd.png 4x,,,,Wild Sockeye Salmon.,,Contains: fish,,,,,,
Inland Market Tilapia Fillet,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0ddb307f-123c-4807-b93b-830f04082c03.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d628f4a-d3dc-47cb-bf60-66569bf70a0f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_89507da2-5321-4af8-b428-f40833fe1ed2.png 4x",,,"Vacuum sealed for freshness & taste. A Georgia grown company. Delicious tilapia fillets that are ready for the pan, oven or grill. Just add your favorite seasoning, marinade or sauce. Responsibly Sourced: Inland market premium foods and our parent company. Inland seafood, are committed to sourcing sustainable seafood. The health of the oceans is key to protecting our planet and we pledge to responsibly harvest the seafood that is in our package.",Farm Raised Tilapia.,"Cooking Tip: Add a light coating of oil or cooking spray to the cooking surface to keep the fish from sticking. Remove film and remove fish from tray before cooking. Bake at 325 degrees F for 20-30 minutes. Stove top: Saute for 4-7 minutes per side. Grill or broil for 4-7 minutes per side. Cooking Instructions: Always cook seafood to an internal temperature of 165 degrees F as read by thermometer. Warning: Although great care is taken to remove them, bones may be present.,Serving Suggestions Go Classic: Serve simply seasoned with salt & pepper over rice or mashed potatoes with fresh veggies and lemon. Go Green: Serve over crisp field greens with fresh veggies and dressing. Italian Inspiration: Serve over pasta with toasted garlic butter, capers and steamed broccoli or squash.,Previously frozen keep refrigerated.",Contains: fish (tilapia).,,,,,,
"Pier Fish Gulf Shrimp, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ea6ae25d-d112-4a5a-8c38-a2d057520891.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7873694c-acaa-4a83-a532-d409cf47354f.png 4x",,,"Delicious shrimp, peeled & deveined and ready-to-cook. A premium quality seafood harvested from America’s gulf coast. Peeled & deveined – tail off. Responsibly sourced: These shrimp have been responsibly sourced in accordance with pier fish co.’s standards for the safe stewardship of our ocean’s resources.",Shrimp.,"Previously frozen keep refrigerated. Safe Storage & Thawing: Keep frozen or refrigerated. Do not refreeze. To thaw, place tray in refrigerator for minimum of 6 hours before use.",Contains: shellfish (shrimp).,,,,,,
"Handy Crab Meat, Pasteurized, Crab Cake Combo",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e4c47f6e-ca90-436b-9ea0-19901c741420.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2392cc09-7df9-46d7-8b0b-b277abd7faf8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ee6ad74f-485e-4cf9-af2c-69b15d8c3599.png 4x",,,,Crab Meat (Portunus SPP). Contains Sodium Acid Pyrophosphate to Prevent the Formation of Struvite Crystals.,"Examine and remove any shell before using.,Perishable. Keep refrigerated.",,,,,,,
"Go Wild Flounder Fillets, Skinless, Boneless, Wild Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29ea8433-f88f-4e7e-b57a-76c061090ce4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_694fe81d-ea19-4e72-afea-b6f90cc31a5f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_574cda80-371e-4f5a-9b43-57ab2ae94381.png 4x",,,"Delicious flounder fillets that are ready for the pan, oven, or broiler. Just add your favorite seasoning, marinade, or sauce. Vacuum-sealed for freshness & taste. Taste – Mild: Texture – Delicate. Taste - Medium; Texture - Moderate. Taste - Full; Texture - Firm. Premium wild-caught seafood. Responsibly sourced: Marine Seafood, LLC is committed to sainting sustainable seafood. The health of ifs oceans is key to protecting our planet, and we pledge to responsibly the seafood that is our package. Alaska seafood.",Alaska Flounder.,"Cooking instructions: Always cook product to an internal temperature of 165 degrees read by thermometer, cooking tip. Add a light coating of oil or cooking sway to the cooking surface to keep the fish from sticking. Remove film and fish from tray before cooking. Bake of 375 degrees F for 15-20 minutes. Pan-sear for 4.5 minutes per side. Broil for 12-15 minutes. Fry (pot dry and bread/batter( for 6.8 minutes depending on the thickness of the fish. Warning. Although great core is taken to remove them, bones may be present.,Flounder - sauteed with light lemony caper butter and served over angel hair pasta: Low in fat high in protein, flounder fillets have a delicate mild flavor reminiscent of shellfish. This lean, yet moist flaky fish is best served sauteed in this dish, the fish is removed from the skillet once it’s cooked, and butter, lemon juice, and capers are browned right in the same pane. The toasty nuttiness of the sauce is balanced with the tangy, savory flavors of lemon and capers. Serve over angel hair pasta.,Safe storage and handling: Store in refrigerator (38 degree F or below) until ready to prepare. Do not freeze.,This product has a seven day shelf life. It should not be consumed after the retailers stated use by date.",Contains: fish (flounder).,,,,,,
"Go Wild Haddock, Wild-Caught",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_adf4ba87-12c6-4d4e-b049-3c7200313cc5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87d38d41-49a0-4ae9-8402-bca9ce60e239.png 4x",,,"Fish Palate: Taste: Mild; Delicate texture. Taste: Medium; Moderate texture. Taste: Full; Firm texture. Premium wild-caught seafood. Responsible Sourced: Marine Seafood, LLC is committed to sourcing sustainable seafood. The health of the oceans is key to protecting our planet, and we pledge to responsibly harvest the seafood that is in our package.",Norwegian Haddock.,"Cooking Instructions: Always cook products to an internal temperature of 165 degrees F as read by thermometer. Cooking Tip: Add a light coating of oil or cooking spray to the cooking surface to keep the fish from sticking. Remove film and fish from tray before cooking. Bake: Bake at 375 degrees F for 15-20 minutes. Pan Fry: Pan-sear for 4-5 minutes per side. Boil: Broil for 12-15 minutes. Fry: Fry (pat dry and bread/batter) for 6-8 minutes depending on the thickness of the fish. Warning: Although great care is taken to remove them, bones may be present.,Serving Suggestions: Panko-baked haddock - with roasted red bliss potatoes and fresh steamed green beans Haddock is a delicate, lean fish that holds together well. In this healthy and easy recipe, the fish is partially baked, then topped with parmesan cheese and Panko breadcrumbs before if finishes cooking. When the fish flakes and the top is browned, you know it's done. Serve with roasted red bliss potatoes and steamed green beans, and you've got a complete nutritious meal.,Vacuum-sealed for freshness & taste. Previously frozen. Keep refrigerated. Safe Storage and Handling: Store in refrigerator (38 degrees F or below) until ready to prepare. Do not freeze.,This product has a seven-day shelf life. It should not be consumed after the retailer's stated 'Use By' date.",Contains: fish (haddock).,,,,,,
Sea Star Seafoods Salted Cod Bacalao Salad Style,,$26.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ef93a735-ceb4-484c-a51f-f3229407860d.jpg 4x,Milk Free,,,"Ingredients: Cod, Salt.",,,,,,,,
