Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Egg Free,Soy Free,Peanut Free,Treenut Free,Shellfish Free,Wheat Free,Milk Free
Chobani Vanilla Coffee Creamer,$5.99,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0c5d293b-3fa1-45f9-9c10-2eb23fc35a64.png 4x,,,Rich & creamy. Authentically crafted. No sweeteners. No preservatives. No emulsifiers. No rBST (milk from rBST-treated cows is not significantly different). No carrageenan. simple and delicious. Good for great mornings. Makes every sip of coffee more delicious than the last. Naturally. FSC: Mix - Board. Packaged sustainable in recyclable cartons made with paperboard from FSC-Certified Forests and other controlled sources.,"Milk, Cream, Cane Sugar, Natural Flavors, Vanilla Extract","Shake well.,Keep refrigerated.",,,,,,,,
Daisy Sour Cream,$5.19,$5.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01b89f23-5afe-4b6c-b4fc-5f9ed862166d.jpeg 4x,,,"What makes Daisy America’s favorite sour cream? Every tub of Daisy's rich and cream sour cream is carefully crafted to elevate your favorite recipes. Whether it’s baked potatoes, tacos, chili, or your other favorite foods, a dollop of Daisy’s delicate and dynamic flavor makes everything taste better. The secret to delivering the signature flavor in every dollop of Daisy is one simple ingredient, cultured cream. Daisy pure & natural sour cream is free from preservatives, stabilizers, gums, thickeners, and other things that don't belong in sour cream. Do a dollop of Daisy!,• Fresh and delicious taste,• Made with one wholesome ingredient: cultured cream,• Pure & Natural,• No artificial additives or preservatives,• Grade A,• rBST Free,• Kosher",Cultured Cream.,Keep refrigerated.,Contains milk,,,,,,,
Philadelphia Original Whipped Cream Cheese Spread,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9849f82c-585e-4f54-b8f0-1921476e34bd.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c897530-c82a-41d4-a09d-27056a5b880f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1df73176-775c-4724-8c73-d7c4836d7b4e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0f8ed91-790d-4ffc-8fe0-e3e11061a04d.jpg 4x",,,"Dive into immersive pleasure with Philadelphia Original Whipped Cream Cheese Spread. Fresh milk and real cream are whipped for an extra creamy, multi-dimensional taste you can add to any meal. At Philly, we leave out the artificial preservatives, flavors and dyes to ensure a rich, quality flavor. Our light and fluffy whipped cream cheese spread is easy to spread, making it the perfect choice for adding to your morning bagel or dipping veggies, chips and crackers. Keep our 8 ounce resealable container of cream cheese spread refrigerated. With Philadelphia Cream Cheese Spread, enjoy a rich, creamy experience you don't just taste, you feel.,• One 8 oz tub of Philadelphia Original Whipped Cream Cheese Spread,• Dive into immersive pleasure with our original whipped cream cheese spread,• Fresh milk and real cream are whipped for a light, fluffy experience you don't just taste, you feel.,• Philadelphia stays charmingly real with no artificial preservatives, flavors or dyes,• Easy to spread cream cheese spread creates smooth satisfaction,• Creamy and delicious, Philly cream cheese is perfect to spread on bagels or enjoy with any of your favorite breakfast foods,• Try our light and fluffy whipped cream cheese spread as a dip for veggies, chips and crackers to create a blissful snacking experience,• Packaged in a resealable tub to maintain a rich, dynamic taste,• Kosher","Pasteurized Milk And Cream, Skim Milk, Whey Protein Concentrate, Whey, Modified Food Starch, Salt, Carob Bean Gum, Xanthan Gum, Lactic Acid, Natamycin (a Natural Mold Inhibitor), Vitamin A Palmitate, Cheese Culture","Keep Refrigerated.,For Best Quality, Use Within 10 Days Of Opening.",Contains: milk.,,,,,,,
Nestle Table Cream,,$3.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_93d7ecbc-f214-422e-9641-b31646651007.jpg 4x,,,"• MEDIA CREMA: Nestlé Media Crema has a rich creaminess that enhances all dishes with double consistency: liquid at room temperature or thicker in the refrigerator.,• SWEET AND SAVORY DISHES: Unlock your culinary creativity Media Crema is a versatile, velvety topping or ingredient that transforms both sweet & savory dishes, hot or cold.,• NESTLÉ TABLE CREAM: Stock up worry-free Media Crema is a shelf stable cream for the long run, ready to add creamy goodness to your dishes anytime. Enjoy this Nestlé Cream year-round as well.,• TASTE THE TRADITION: Enjoy the culinary heritage of Nestlé Media Crema. Share meals and share moments with Nestlé Media Crema. Enhance the consistency of any dish with a single touch.,• SECRET INGREDIENT: Media Crema is the secret ingredient that enhances all your dishes. From dips to desserts, Media Crema adds depth and texture to your culinary creations.,• SNAP and EBT Eligible item,Nestlé Media Crema Table Cream, The Perfect Addition To Your Kitchen For All Your Sweet And Savory Dishes. This Media Crema Topping Or Ingredient Is A Versatile Cream That Will Elevate The Consistency Of Any Dish. Whether You'Re Making Enchiladas, Tacos, Tres Leches Cake, Or Even Adding A Rich And Creamy Finish To Your Morning Coffee, This Shelf Stable Cream Is A Must-Have Pantry Staple For Cooking And Baking. Made With Quality Ingredients, Nestlé Media Crema Is Your Go-To Cooking Cream That Adds A Touch Of Indulgence To Any Recipe. This Table Cream Has A Smooth And Velvety Texture That Blends Seamlessly Into Both Hot And Cold Dishes. With Its Convenient 7.6 Fl Oz Can Size, You Can Easily Keep This Table Cream On Hand For Whenever Inspiration Strikes In The Kitchen. The Taste Of Tradition, This Media Crema Is An Essential Ingredient For Any Home Cook. Add Nestlé Media Crema To Your Cart Today And Experience A New Level Of Creaminess. When You'Re Looking For A Reliable Table Cream Nestlé Has You Covered With Their Top-Of-The-Line Products. Elevate Your Culinary Creations With Nestlé Media Crema Today","Light Cream, Carrageenan, Sodium Alginate, Disodium Phosphate, Sodium Citrate","Shake well before use. Shake well.,Keep in a cool dry place. Do not freeze. Refrigerate after opening.,See bottom of can for best if used by date.",Contains: milk.,,,,,,,
Coffee mate French Vanilla Flavored Coffee Creamer,$4.09,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_186a3845-fc2c-4e50-a972-2d8362585406.jpeg 4x,Gluten Free,,"• FOR THE LOVE OF COFFEE: Ditch your boring coffee routine and upgrade your brew game with our Coffee mate French Vanilla Flavored Zero Sugar Coffee Creamer. We’ve been working on our recipes since 1961, so we know what we’re doing when it comes to our flavored coffee creamers,• ICONICALLY GLUTEN-FREE WITH ZERO SUGAR: We’re all about creating tasty creamers that everyone can enjoy. Cheers to inclusive indulgence with our gluten-free, cholesterol-free flavored creamer for coffee with zero sugar,• HOT, ICED, OR MIXED: Our zero sugar creamer is your coffee’s new BFF — We’re here for your coffee mug, your cup and your martini glass. Add our French Vanilla flavored coffee creamer any time you’re looking to sweeten up your cup,• MVP OF CREAMERS: Whoever said they didn’t like coffee creamer clearly hasn’t tried Coffee mate. Make your coffee goals a reality with our zero sugar creamer,• KEEP IT CHILL: Keep your Coffee mate creamer chilled for that perfect coffee flavor. Pop it in the fridge after opening and use your zero sugar creamer within 14 days, if it even lasts that long,• EVERY SIP COUNTS: Cheers to a brighter tomorrow with every mug Our zero sugar coffee creamer comes in recyclable packaging,• SNAP and EBT Eligible item,It’S Time To Make Your Coffee Breaks Iconic With Coffee Mate French Vanilla Flavored Zero Sugar Coffee Creamer. You’Re Going To Fall In Love With Our Liquid Coffee Creamer, Taking You From Your Early Morning Grind To Your Late-Night Fuel Up With Up To Sixty-Three Servings. We’Re Here For Your Coffee Mug, Your Iced Coffee Glass And Your Midnight Martini. Dietary Preferences? We Have Those Covered Too – Our Coffee Mate Liquid Creamer Is Cholesterol-Free, Gluten-Free, And Has Zero Sugar. We Really Like Coffee, Just As Much As We Like Our Recyclable Packaging. Keep Your Zero Sugar Creamer Cool In The Fridge For Up To 14 Days (If You Don’T Finish It Right Away). Ready To Level Up Your Coffee Game With Our French Vanilla Flavored Coffee Creamer Yet?","Water, Soybean Oil, And Less Than 2% Of Micellar Casein (a Milk Derivative), Maltodextrin**, Dipotassium Phosphate, Monoand Diglycerides, Natural And Artificial Flavor, Carrageenan, Sucralose, Acesulfame Potassium (non-nutritive Sweetener).","Shake before use.,Try in iced coffee.,Do not freeze. Storage Advice: Keep refrigerated.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
Coffee mate Coffee Mate Italian Sweet Creme Creamer,$4.09,$6.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e824f40b-2d39-470d-b36c-c37ac08456cf.jpeg 4x,Gluten Free,,"• FOR THE LOVE OF COFFEE: Ditch your boring coffee routine and upgrade your brew game with our Coffee mate Italian Sweet Crème Flavored Coffee Creamer. We’ve been working on our recipes since 1961, so we know what we’re doing when it comes to our flavored coffee creamers,• ICONICALLY NON-DAIRY AND GLUTEN-FREE: We’re all about creating tasty creamers that everyone can enjoy. Cheers to inclusive indulgence with our gluten-free, cholesterol-free, and non-dairy flavored creamer for coffee,• HOT, ICED, OR MIXED: Our liquid creamer is your coffee’s new BFF — We’re here for your coffee mug, your cup and your martini glass, any time you’re looking to sweeten up your cup,• MVP OF CREAMERS: Whoever said they didn’t like coffee creamer clearly hasn’t tried Coffee mate. Make your coffee goals a reality with our Italian Sweet Crème flavored creamer,• KEEP IT CHILL: Keep your Coffee mate creamer chilled for that perfect Italian Sweet Crème flavor. Pop it in the fridge after opening and use your creamer within 14 days, if it even lasts that long,• EVERY SIP COUNTS: Cheers to a brighter tomorrow with every mug Our Italian Sweet Crème flavored creamer comes in recyclable packaging,• SNAP and EBT Eligible item,It’S Time To Make Your Coffee Breaks Iconic With Coffee Mate Italian Sweet Crème Flavored Coffee Creamer. You’Re Going To Fall In Love With Our Liquid Coffee Creamer, Taking You From Your Early Morning Grind To Your Late-Night Fuel Up With Up To Sixty-Three 1 Tbsp Servings. We’Re Here For Your Coffee Mug, Your Iced Coffee Glass And Your Midnight Martini. Dietary Preferences? We Have Those Covered Too – Our Coffee Mate Liquid Creamer Is Non-Dairy, Cholesterol-Free, And Gluten-Free. We Really Like Coffee, Just As Much As We Like Our Recyclable Packaging. Keep Your Italian Sweet Crème Flavored Creamer Cool In The Fridge For Up To 14 Days (If You Don’T Finish It Right Away). Ready To Level Up Your Coffee Game With Our Italian Sweet Crème Flavored Creamer Yet?","Water, Sugar, Soybean Oil, And Less Than 2% Of Dipotassium Phosphate, Micellar Casein (a Milk Derivative), Mono & Diglycerides, Salt, Cellulose Gel, Cellulose Gum, Carrageenan, Sucralose, Natural Flavor.","Shake before use.,Try in iced coffee.,Do not freeze. Storage Advice: Keep refrigerated.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: milk.,,,,,,,
"SARGENTO Sliced Sharp Natural Cheddar Cheese, 11 slices",,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51e71467-36db-43f9-ab1b-4e24b3d67e1a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fbfc49f7-d90b-4fc4-b75a-3df6b108576d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_696866a1-605c-4fce-87ea-13c416b54675.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_23920dc4-5ea1-4b86-9a64-4a842e426923.jpg 4x",,,"Sargento® Sharp Cheddar Natural Cheese is bursting with flavor all on its own, but these slices add a delicious complexity to a wide variety of recipes and bring a tangy zing to everything from burgers to a slice of hot apple pie. Plus, it creates an amazing grilled cheese sandwich. This convenient packaged cheese is ideal for all your favorite appetizers and entrées","Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto (vegetable Color)","Keep refrigerated.,Freshness is assured in unopened packages until the date stamped on the front of the package. Enjoy within 5 days of opening for maximum freshness.",,,,,,,,
Chobani No Fat Vanilla Greek Yogurt,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e198694f-7c7f-48ea-b7a5-0ad7713c4bc1.png 4x,Gluten Free,,"Only natural ingredients. Carried from some far-off, exotic place, where a little flower became a little bean. And that little bean, suspended and unremarkable, the cloak that conceals the magic within. Flavor like perfume, folded up in earthen envelopes, rich and warm and wonderful. Gently opening like the blossom that began it all. Authentically Crafted: No artificial sweeteners; no rBST (Milk from rBST-treated cows is not significantly different). Tear off label and recycle cup.","Cultured Nonfat Milk, Cane Sugar, Water, Natural Flavors, Fruit Pectin, Guar Gum, Locust Bean Gum, Vanilla Extract, Lemon Juice Concentrate",Keep refrigerated.,,,,,,,,
Reddi-wip Dairy Topping Extra Creamy,$5.79,$6.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66a8ad05-d09c-419d-959a-208b25843df8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_abd44cf4-a6fa-46d1-a203-e6a378d98ae6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c8cdefc-3a97-4229-a033-61398f9a46c9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6db4339b-0250-4596-9c1a-3810eb750c91.jpg 4x",Gluten Free,,"Enjoy a versatile dessert topping that serves up rich and creamy taste with Reddi-wip Extra Creamy Whipped Topping. This delicious, extra creamy version of the original dairy whipped topping can offers even more of the dairy flavor you know and love with an extra creamy texture and full, rich cream taste. Trust us, after just one whoosh, you won't miss the other whipped cream products you were using before. Made with real cream as the first ingredient, this gluten free whipped topping for fruit, desserts and more is made with no artificial flavors or artificial sweeteners. It's also keto friendly (0g of protein, 1g net carbs [1g total carbs minus 0g dietary fiber], and 1g added sugar per serving) and fits a low carb lifestyle (1g net carbs per serving [1g total carbs minus 0g dietary fiber]). Reddi-wip can transform any moment. Unleash the joy.","Heavy Cream, Water, Sugar, Nonfat Milk, Less Than 2% Of: Maltodextrin, Cellulose Gel, Mono- And Diglycerides, Natural Flavor, Carrageenan, Cellulose Gum, Propellant: Nitrous Oxide","Directions: For best results: 1. Shake well 4 times before use then remove cap. 2. Turn can completely upside down & press nozzle sideways with finger. 3. Rinse nozzle thoroughly with warm water and replace in refrigerator.,Important: Must be kept refrigerated to maintain safety. Will stay freshest when stored at normal refrigerator temperatures of 35 degrees to 40 degrees F. Freezing is not recommended.",Contains: milk.,,,,,,,
Chobani S'mores S'mores Flip Greek Yogurt,$1.67,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_130bfe2e-6aaa-4b5f-ba92-d788e64a4040.png 4x,,,"Satisfy cravings with indulgent Chobani Flip cups that combine creamy Chobani yogurt with crunchy, natural mix-ins. Chobani Flip cups are perfectly portioned and ready to be enjoyed as an easy high-protein breakfast, snack, or treat. Throw a Chobani Flip into your lunch bag for a deliciously convenient side for school, work or on-the-go days. Chobani Flip cups are full of fun and full of real flavor made with only natural-non GMO ingredients and no artificial flavors or preservatives.,• Good source of protein,• Includes live & active cultures, and three types of probiotics,• No modified cornstarch or high fructose corn syrup,• Less than 5% lactose—a perfect part of a very low lactose diet,• Naturally low in sodium","Cultured Lowfat Milk, Cane Sugar, Water, Wheat Flour, Chocolate, Brown Sugar, Cocoa Butter, Tapioca Flour, Palm Oil, Milk, Natural Flavors, Wheat Germ, Guar Gum, Fruit Pectin, Wheat Bran, Salt, Soy Lecithin, Honey, Lemon Juice Concentrate, Vanilla Extract, Baking Soda",Keep refrigerated.,"Contains milk, wheat, and soy.,manufactured on a line that also handles peanuts and tree nuts.",,,,,,,
Philadelphia Strawberry Cream Cheese Spread,,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_55a6a5f2-b0b3-4797-b9d6-e866d4e05388.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dbae2607-4a11-4c29-b3f8-cb53e44dcc5f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_78c8f6fd-15e2-4ec8-9e40-da977e101336.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b155664-6bf2-408d-9606-00291b9d7f5b.jpg 4x",,,"Dive into immersive pleasure with Philadelphia Strawberry Cream Cheese Spread. Made with fresh milk, real cream and strawberries for an extra creamy, multi-dimensional taste you can add to any meal. At Philly, we leave out the artificial preservatives, flavors and dyes to ensure a rich, quality flavor. Our sweet cream cheese spread is easy to spread, making it the perfect choice for adding to your morning bagel or crafting a decadent fruity dessert. Keep our 7.5 ounce resealable container of cream cheese spread refrigerated. With Philadelphia Cream Cheese Spread, enjoy a rich, creamy experience you don't just taste, you feel.,• One 7.5 oz tub of Philadelphia Strawberry Cream Cheese Spread,• Dive into immersive pleasure with our sweet cream cheese spread made with real strawberries,• Our cream cheese is made with fresh milk and real cream for a rich, creamy experience you don't just taste, you feel,• Philadelphia stays charmingly real with no artificial preservatives, flavors or dyes,• Easy to spread cream cheese spread creates smooth satisfaction,• Creamy and delicious, Philly cream cheese is perfect to spread on bagels or enjoy with any of your favorite breakfast foods,• Packaged in a resealable tub,• Kosher,• SNAP & EBT eligible food item","Pasteurized Milk And Cream, Sugar, Strawberry Puree, Whey Protein Concentrate, Whey, Dried Strawberries, Salt, Modified Food Starch, Carob Bean Gum, Color Added, Natural Flavor, Natamycin (a Natural Mold Inhibitor), Vitamin A Palmitate, Cheese Culture","Keep Refrigerated.,Use Within 10 Days Of Opening. Slight Color Variation Is Normal Due To Use Of No Artificial Dyes.",Contains: milk.,,,,,,,
Coffee mate French Vanilla Liquid Coffee Creamer,$10.39,$11.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6d54bb57-352f-4b3e-a264-545766c2ef21.jpeg 4x,Gluten Free,,"• One 64 fl oz bottle of Coffee mate French Vanilla Flavored Liquid Coffee Creamer, 2x more creamer than 32 fl oz,• Coffeemate French Vanilla creamer adds the classic taste of vanilla to your morning cup,• This non dairy creamer is 2X richer than milk and is gluten free and cholesterol free,• Convenient bottle with a snap lid makes it easy to add the right amount of flavor to hot or iced coffee every time,• Turn the coffee you like into coffee you love, ready in an instant,• Store Coffee mate creamer in the refrigerator,• SNAP and EBT Eligible item,Coffee Mate French Vanilla Flavored Liquid Coffee Creamer Is The Perfect Way To Create A Delicious Cup Of Coffee Perfection. Coffee Mate French Vanilla Flavored Coffee Creamer Adds The Classic Taste Of Vanilla To Your Morning Cup. This Non Dairy Creamer Is 2X Richer Than Milk And Is Gluten Free And Cholesterol Free. Coffee Mate Liquid Creamer Provides An Easy Way To Transform Your Hot Or Iced Coffee Into Flavorful Deliciousness, Whether It's Your Morning Cup Of Coffee Or Afternoon Pick-Me-Up. The Warm French Vanilla Taste Is Perfect For A Delicious Morning Ritual. Coffee Mate Coffee Creamer Comes In A Convenient Bottle With A Snap Lid To Allow For Easy Pouring And Storage. Store Coffee Mate French Vanilla Coffee Creamer In The Refrigerator.","Water, Sugar, Soybean Oil, And Less Than 2% Of Dipotassium Phosphate, Micellar Casein (a Milk Derivative), Mono- And Diglycerides, Cellulose Gel, Cellulose Gum, Carrageenan, Natural & Artificial Flavor, Sucralose, Acesulfame Potassium (non-nutritive Sweetener).","Shake before use.,Try in iced coffee.,Storage Advice: Keep refrigerated. Do not freeze.,Completely remove freshness seal under cap.,For best quality, use within 14 days of opening.",Contains: a milk derivative.,,,,,,,
Yoo-hoo Chocolate Drink,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d91cb1e-f606-41ea-bc35-c282a8f805b6.jpg 4x,,,"Shake up some delicious fun with the classic chocolate taste of Yoo-hoo. With a chocolaty goodness that goes down smooth and easy, Yoo-hoo delivers the refreshing fun flavor you won’t find anywhere else. For almost 100 years, Yoo-hoo Chocolate Drink has been delivering the refreshing flavor that chocolate lovers want. Not only is Yoo-hoo a delicious chocolate beverage, but it’s also 99% fat-free, 100% caffeine-free, and rich in both calcium and Vitamin D. First introduced in the 1920s by Natalie Olivieri, a small grocery store owner in New Jersey, Yoo-hoo is the perfect chocolate beverage that everyone loves. With its rich, smooth, and delicious chocolate flavor, it always hits the spot. Yoo-hoo is sweet, easy-to-sip, and goes perfectly with all your favorite snacks. In addition to the original chocolate flavor, you can also enjoy Yoo-hoo in Strawberry, and Cookies and Cream. No matter which flavor you choose, you can enjoy the great taste and get your refreshing chocolate fix with every delicious sip of Yoo-hoo!","Water, High Fructose Corn Syrup, Whey (from Milk), Contains Less Than 2% Of Cocoa (alkali Process), Nonfat Dry Milk, Natural And Artificial Flavors, Sodium Caseinate (from Milk), Corn Syrup Solids, Calcium Phosphate, Dipotassium Phosphate, Palm Oil, Guar Gum, Xanthan Gum, Mono- And Diglycerides, Salt, Spice, Soy Lecithin, Sucralose, Niacinamide (vitamin B3), Vitamin A Palmitate, Riboflavin (vitamin B2), Cholecalciferol (vitamin D3)",Refrigerate after opening.,"Contains: milk, soy.",,,,,,,
Daisy Light Sour Cream,,$3.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6c2bbea1-5d85-4efa-86ff-22cc37f64479.png 4x,,,"What makes Daisy America’s favorite sour cream? Every tub of Daisy's rich and cream sour cream is carefully crafted to elevate your favorite recipes. Whether it’s baked potatoes, tacos, chili, or your other favorite foods, a dollop of Daisy’s delicate and dynamic flavor makes everything taste better. The secret to delivering the signature flavor in every dollop of Daisy is one simple ingredient, cultured cream. Daisy pure & natural sour cream is free from preservatives, stabilizers, gums, thickeners, and other things that don't belong in sour cream. Do a dollop of Daisy!,• Fresh and delicious taste,• Made with one wholesome ingredient: cultured cream,• 50% less fat and 1/3 fewer calories than regular sour cream,• No artificial additives or preservatives,• Grade A,• rBST Free,• Kosher","Cultured Cream, Skim Milk.",Keep refrigerated.,Contains milk,,,,,,,
Yoplait Original Low Fat French Vanilla Yogurt Cup,,$1.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a219af0a-711c-4c48-8896-6b23b4031dde.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_560ec4f8-ca19-4988-b24f-26bf89a73847.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a48e5726-4e5e-4f98-9941-876f543c90c5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07ef40af-467f-4867-ab32-5110eb32448c.png 4x",Gluten Free,,"Savor Yoplait Original Low Fat French Vanilla Flavored Yogurt as a delicious addition to an easy breakfast or snack! Made with live and active yogurt cultures, there are no artificial flavors or colors from artificial sources, and no high fructose corn syrup. Each serving is a good source of calcium, contains vitamins A and D, and is gluten free. Enjoy the yogurt plain or add fresh fruit like a banana, pair it with granola, or blend into a refreshing French vanilla smoothie. Make it a tasty alternative to Greek yogurt. Grab a convenient yogurt cup as a part of breakfast to go. Or stock up for quick snacks for the family. Also try our other varieties, such as low fat strawberry yogurt and low fat peach yogurt. Store Yoplait Yogurt in the refrigerator and keep cold until you're ready to grab a spoon and enjoy. Yoplait brings goodness to everyday moments, one serving of yum at a time.,• CREAMY AND DELICIOUS: Smooth and creamy French vanilla flavored yogurt made with live and active cultures; No artificial flavors or colors from artificial sources, and no high fructose corn syrup,• LOW FAT YOGURT: Gluten free, our low fat yogurt is a good source of calcium, and contains vitamins A and D; Enjoy the yogurt plain or topped with fresh fruit like a banana or strawberries,• YOGURT CUP: Single serve low fat yogurt cup with 140 calories per serving; Explore other varieties such as low fat strawberry yogurt and low fat harvest peach yogurt,• MORNING OR SNACK TIME: Enjoy yogurt as a quick breakfast food, afternoon snacks, or packed in a lunch box as a kids snack; Liven up snacking with the taste of our Yoplait Yogurt as an alternative to plain Greek yogurt or kefir,• CONTAINS: One 6 oz yogurt cup of Yoplait Original French Vanilla Low Fat Yogurt","Cultured Grade A Reduced Fat Milk, Sugar, Water, Modified Corn Starch. Contains 1% Or Less Of: Corn Starch, Tricalcium Phosphate, Natural Flavor, Vitamin A Acetate, Vitamin D3.",Keep refrigerated.,Contains Milk Ingredients.,,,,,,,
"fairlife Fat Free Ultra-Filtered Milk, Lactose Free",,$8.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2edaf243-a89c-4e1a-a376-e60cb1f3ab12.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3f3f826a-f366-4bd2-9a7e-dcf5294be1c9.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_023d5140-a311-4496-a494-97a1a564024e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eeb1c117-b7cd-4cdc-92b1-2e5d19235535.jpg 4x",,,"We are driven by a simple belief: we can always make the world better.,Proper nourishment allows us all to grow and thrive. At fairlife, we provide the health and vitality people need by starting with the wholesome simplicity of real cow’s milk.,All our milk flows through soft filters to concentrate its goodness like protein and calcium while filtering out some of the natural sugars. Our delicious and satisfying fairlife Fat-Free Ultra-Filtered Milk has 50% less sugar and 50% more protein than regular milk. Plus, there’s no artificial growth hormones used and it’s lactose free.,So sip, drink and chug as you enjoy our delicious ultra-filtered milk.,• 50% more protein and 50% less sugar than regular milk,• 13g of protein per serving,• Delicious, satisfying and lactose-free,• No Artificial Growth Hormones Used*,• 52oz bottle,• *No significant difference has been shown between milk derived from rbST-treated and non-rbST treated cows","Nonfat Ultra-filtered Milk, Lactase Enzyme, Vitamin A Palmitate, Vitamin D3","Keep refrigerated.,Consume within 14 days of opening.",Contains milk.,,,,,,,
"Chobani Yogurt, Greek, Almond Coco Loco",$1.99,$2.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_17edbfd1-29a8-40e0-87df-b8a61ba6fb21.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46daa754-db9c-4774-b721-73a1f547b309.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_248ac557-62b2-4061-a071-e9569ef55145.png 4x",Gluten Free,,Coconut low-fat Greek yogurt with honey roasted salted almonds & dark chocolate. We have been on a mission since day one: to provide better food for more people. No artificial flavors. Low fat. Gluten-free. 1.5% milkfat. Only natural ingredients. Greek yogurt. No fake fruit. No artificial sweeteners. No preservatives. No rBST (Milk from rBST-treated cows is not significantly different). Grade A.,"Cultured Lowfat Milk, Cane Sugar, Water, Almonds, Chocolate, Coconut, Tapioca Flour, Honey, Fruit Pectin, Guar Gum, Natural Flavors, Sea Salt, Cocoa, Cocoa Butter, Lemon Juice Concentrate, Vanilla Extract",Keep refrigerated.,"Contains milk, almonds, and coconut.,manufactured on a line that also handles peanuts, soy, and tree nuts.",,,,,,,
